"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2408","S109","130 ns","2","",""
"2","2481","S015","130ns","2","",""
"3","6326","S054","117.25","0","Numerical error; answer far from correct 130ns",""
"4","3533","S117","130","2","",""
"5","2731","S093","(15 + 100) * 0.85 + (15 + 100 + 100) * 0.15 = 130ns","2","",""
"6","3044","S012","30ns","0","Incorrect calculation",""
"7","3880","S108","130ns","2","",""
"8","2906","S099","127.75","1","Correct weighted average approach but missed TLB access in miss path (used 200 instead of 215)",""
"9","2369","S070","130ns","2","",""
"10","3853","S080","130ns","2","",""
"11","3382","S003","130ns","2","",""
"12","3035","S035","130 ns","2","",""
"13","3929","S037","130ns","2","",""
"14","2461","S096","0.85 * (15 + 100) + 0.15 * (15 + 100 + 100) = 130","2","",""
"15","3767","S013","127.75ns","1","Correct weighted average approach but missed TLB access in miss path (used 200 instead of 215)",""
"16","2871","S040","130ns","2","",""
"17","3111","S124","(100+15) * 0.85 + (100+100) * 0.15 = 127.75","1","Correct weighted average approach but missed TLB access in miss path (used 200 instead of 215)",""
"18","6347","S121","0.85*15ns + 0.15*200ns ","0","Incorrect: hit case missing memory access, miss case missing TLB access",""
"19","6624","S068","130ns","2","",""
"20","2613","S102","0.85*15+0.85*(15+100) = 85+25.5ns = 110.5ns","0","Incorrect formula; used 0.85 for both terms",""
"21","3954","S034","EAT=0.85*(15+100)+0.15*(15+100+100)=97.75+32.25=130ns","2","",""
"22","3198","S084","0.85*(15+100)+0.15*(15+100+100)=130ns","2","",""
"23","3822","S079","130ns","2","",""
"24","2278","S122","30ns","0","Incorrect calculation",""
"25","4570","S086","0.85*115+0.15*215 =130 ns","2","",""
"26","3490","S052","130ns","2","",""
"27","3536","S033","30","0","Incorrect calculation",""
"28","2701","S123","115*0.85+215*0.15=130ns","2","",""
"29","2698","S027","(15+100)*0.85+(15+100+100)*0.15=131.5 ns","1","Correct formula but arithmetic error; 97.75+32.25=130, not 131.5",""
"30","1782","S081","130.00ns","2","",""
"31","3024","S008","130ns","2","",""
"32","3142","S078","200","0","Incorrect; no valid calculation shown",""
"33","4397","S087","130ns","2","",""
"34","2635","S022","130ns","2","",""
"35","4747","S110","130ns","2","",""
"36","2948","S082","0.85 * (15 + 100) + 0.15 * (15 + 100 + 100) = 130ns","2","",""
"37","3778","S105","147.25ns","0","Incorrect calculation",""
"38","2842","S111","115ns","0","Answered TLB hit access time only, not EAT",""
"39","2543","S085","15+100+0.15*100=130ns","2","Valid alternative formula (TLB+Mem+miss_rate*Mem)",""
"40","2755","S004","130ns","2","",""
"41","1722","S011","130ns","2","",""
"42","2439","S046"," 130ns","2","",""
"43","4258","S005","117.25 ns","0","Numerical error; answer far from correct 130ns",""
"44","3219","S061","1.3","0","Incorrect; answer should be 130ns",""
"45","2853","S014","130 ns","2","",""
"46","2498","S028","130ns","2","",""
"47","2607","S107","117.25","0","Numerical error; answer far from correct 130ns",""
"48","2637","S126","0.85*(15+100)+0.15*(15+100+100)","1","Correct formula but no final numeric answer",""
"49","2855","S017","130","2","",""
"50","3939","S115","130ns","2","",""
"51","2320","S089","130ns","2","",""
"52","4190","S009","20ns","0","Incorrect calculation",""
"53","4005","S094","130ns","2","",""
"54","4951","S066","130ns","2","",""
"55","2133","S041","130ns","2","",""
"56","3532","S031","130ns","2","",""
"57","4509","S116","42.75ns","0","Incorrect calculation",""
"58","3163","S059","0.85*(15+100)+0.15*(15+100+100)=130ns","2","",""
"59","2057","S064","130ns","2","",""
"60","2509","S101","30","0","Incorrect calculation",""
"61","4063","S103","130ns","2","",""
"62","6302","S104","0.85(15ns+100ns)+0.15(15ns+2*100ns)=130ns","2","",""
"63","2619","S023","130ns","2","",""
"64","3447","S113","130ns","2","",""
"65","2477","S055","0.85*(15+100)+0.15*(15+100+100) =130 ns","2","",""
"66","2748","S119","130ns","2","",""
"67","3610","S067","0.85*(15ns + 100ns) + 0.15*(15ns+100ns+100ns)","1","Correct formula but no final numeric answer",""
"68","3982","S076","EAT = 130","2","",""
"69","6319","S074","0.85(15+100) + 0.15(15+ 2*100) = 130.22","1","Correct formula but arithmetic error (should be 130, not 130.22)",""
"70","2736","S063","130ns","2","",""
"71","3584","S090","0.85*(15ns + 100ns) + 0.15*(15ns + 200ns) = 130ns","2","",""
"72","4737","S100","205.25ns","0","Incorrect calculation",""
"73","2910","S114","130","2","",""
"74","2020","S038","130ns","2","",""
"75","2753","S047","130","2","",""
"76","2730","S044","130ns","2","",""
