"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2727","S109","96Kb+16Mb 約為16Mb","","",""
"2","2845","S015","roughly 16MB","","",""
"3","6544","S054","16MB+98KB","","",""
"4","3926","S117","96KB + 16MB","","",""
"5","3043","S093","(12 + 2k) * 8k = 96k + 16M 大約等於16MB","","",""
"6","3717","S012","96kB + 16 MB","","",""
"7","4508","S108","96KB + 16MB","","",""
"8","3458","S099","96KB + 16GB","","",""
"9","2849","S070","(12+2K)*8KB=16480KB","","",""
"10","4322","S080","96KB+16MB","","",""
"11","3017","S003","96KB + 16MB","","",""
"12","3506","S035","96KB + 16MB","","",""
"13","4432","S037","96KB+16MB","","",""
"14","6075","S096","96KB + 16MB","","",""
"15","4255","S013","16MB + 96KB","","",""
"16","3996","S040","96KB + 16MB","","",""
"17","4481","S124","96KB + 16MB","","",""
"18","2940","S121","16Mb+96Kb","","",""
"19","6750","S068","1024 TB","","",""
"20","3148","S102","16GB","","",""
"21","4384","S034","file size: 12*8K+2K*8K=96K+16M","","",""
"22","3930","S084","(12+(2K))*8K = 96KB+16MB, 約為16MB","","",""
"23","4720","S079","3*2^15+2^24 bytes","","",""
"24","2572","S122","16MB","","",""
"25","4137","S086","96 KB + 16MB","","",""
"26","3912","S052","96KB+16MB (約16MB)","","",""
"27","3975","S033","16.096million bytes","","",""
"28","3363","S123","(12+2K)*8KB=96KB+16MB","","",""
"29","3398","S027","16M+96K","","",""
"30","2946","S081","4kb","","",""
"31","3481","S008","48 GiB + 8KiB","","",""
"32","3845","S078","8KB*(12 + 2048)= 16480 KB","","",""
"33","4194","S087","96KB+16MB","","",""
"34","2935","S022","6MB + 1GB","","",""
"35","5317","S110","96KB+16MB","","",""
"36","3653","S082","(12 * 8 + 1 * 2048 * 8) = 96KB + 16MB","","",""
"37","5002","S105","16.48 GB","","",""
"38","2799","S111","16MB + 96KB","","",""
"39","2834","S085","(12*1+1*2K)*8K=96KB+16MB","","",""
"40","3393","S004","96KB+16MB","","",""
"41","2072","S011","16480KB","","",""
"42","3040","S046","96KB+16MB","","",""
"43","2077","S005","32MB+96KB","","",""
"44","3511","S061","12*8K = 96KB , 2K*8K = 16MB Max: 96KB+16MB","","",""
"45","3862","S014","112KB","","",""
"46","2856","S028","16M + 96K","","",""
"47","2896","S107","96KB + 16MB","","",""
"48","3175","S126","56","","",""
"49","5215","S017","96KB+16MB","","",""
"50","4435","S115","16MB+96KB","","",""
"51","2558","S089","96KB+16MB","","",""
"52","3986","S009","2MB","","",""
"53","3491","S094","4MB","","",""
"54","5548","S066","16MB","","",""
"55","2440","S041","16MB","","",""
"56","4114","S031","96KB+16MB","","",""
"57","5263","S116","96kb+16MB","","",""
"58","4085","S059","12*8K+2K*8K=96K+16M","","",""
"59","6000","S064","4MB","","",""
"60","3023","S101","16MB+96KB","","",""
"61","4734","S103","96KB+16MB","","",""
"62","6113","S104","(8KB)/(4B)=2K, direct 12*8KB=96KB, indirect 2K*8KB=16MB, file size = 16MB+96KB","","",""
"63","3031","S023","32MB+96KB","","",""
"64","3774","S113","(12+2K)*8K bytes","","",""
"65","3762","S055","12*(8KB)+1*(2KB*8KB) ~= 16MB","","",""
"66","3390","S119","24K+16M","","",""
"67","4174","S067","16MB+24KB","","",""
"68","4916","S076","Maximum file size = (12 + 2K) * 8KB = 96KB + 16MB","","",""
"69","6450","S074","96KB + 16","","",""
"70","3058","S063","96KB+16MB","","",""
"71","3909","S090","(12+2^11)*8KB","","",""
"72","5950","S100","32GB + 16MB +96KB","","",""
"73","4811","S114","12 * 8KB + 2048 * 8KB = 16480 KB ","","",""
"74","2275","S038","approx 16MB, exactly size is 16MB+96KB","","",""
"75","3743","S047","16480KB","","",""
"76","3412","S044","(12+2KB)x8KB 大約等於 16MB","","",""
"77","3188","S075","16MB+96KB","","",""
"78","2807","S030","96KB + 16MB","","",""
"79","4183","S106","aprroximately 16MB  (16MB + 96KB )","","",""
"80","6339","S019","96KB + 16MB ","","",""
"81","2793","S020","96KB + 16MB","","",""
"82","4169","S010","96KB+16MB","","",""
"83","3178","S091","96KB+16MB","","",""
"84","4543","S051","96KB+16MB","","",""
"85","4272","S039","16MB+96KB","","",""
"86","3161","S018","96KB+16MB","","",""
"87","3503","S049","(12+4k)*8k=32mb+96kb","","",""
"88","4292","S053","96KB + 16MB","","",""
"89","3707","S092","16 MB + 96 KB","","",""
"90","2690","S125","12*8KB+2KB*8KB=96KB+16MB","","",""
