question_id,question_label,question_order,max_score,model_id,model_label,exam_answer_id,username,answer_text,model_score,model_reason,human_score,human_feedback,subject_id,diff,abs_error,squared_error,exact_match,within_0_5,within_1
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,12787,S109,"(1)call a poll to check the buffer 
(2)pop-up thread created to handle
(3)interrupt handler to map and handle
(4)",3.0,缺第四個方法,3.0,"Polling, pop-up thread, interrupt handler covered. Missing interrupt as a distinct notification.",S109,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,11769,S015,"1. Interrupt the process.
2. The process periodically polls the pool and check the message. Needs `poll()` and `get_message()` functions.
3. Use a pop-up thread to handle the incoming message.
4. Directly handle the message in trap handler after receiving message.",4.0,,4.0,,S015,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,16179,S054,"1, session method (used in AFS)",0.0,未列出任何正確方法,0.0,"Only 'session method (AFS)' mentioned, not matching any of the 4 notification methods.",S054,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,11958,S117,"1. interrupt the receiver
2. process active messages into interrupt handler
3. a pop up thread to handle the message
4. periodically to poll the buffer, check whether any message arrive or not",4.0,,4.0,,S117,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,11634,S093,"1. 當message has arrived就直接interrupt
2. 當message has arrived就直接create一個new thread，讓該thread去處理message
3. 一直花時間去做poll，確認message是否已經抵達
4. 將message傳送這件事在interrupt handler中處理，以此確認是否收到
",4.0,,4.0,,S093,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,11689,S012,"1. signal
2. interrupt
3. polling
4. fork a process to deal with the data",3.0,signal 非四種標準方法之一，缺 active message/interrupt handler,3.0,Signal and interrupt are essentially the same method. Missing active message / interrupt handler processing.,S012,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,11628,S108,"interrupt: 當訊息抵達時會發出 interrupt 中斷 processor 並且讓 handler 來處理訊息
message buffer: 訊息抵達時會修改某處資料，當 processer 去做詢問時便會知道 message 已經抵達。 
pop up thread: 在訊息抵達時，一個 threads 會被創建來處理此訊息。
message action: 訊息本身自帶要執行的動作，直接在 handler 內執行，此需要 completly trusted environment.",4.0,,4.0,,S108,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,11685,S099,"1. 訊息送達時，系統直接打一個 interrupt 給 receiver。
2. 接收端定期地去確認 buffer 狀態是否改變。
3. 訊息送達時，系統動態地建立 pop-up thread 來處理訊息。
4. 訊息送達時直接在 interrupt handler 裡面處理。",4.0,,4.0,,S099,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,11803,S070,1.interupt直接通知 2.polling 不斷去check收到了沒 3.收到message就直接產生新的thread 4.利用interupt handler 直接處理message,4.0,,4.0,,S070,0.0,0.0,0.0,True,True,True
5b9d59d3-4c5a-44ff-81ff-932d69c8cf82,Q6 List methods,6,4.0,deepseek-v4-flash,DeepSeek V4 Flash,12325,S080,"1. interrupt when the message arrived.
2. the receiver need to poll the status of message buffer, and retrieve the message when the status change. it requires poll( ) and get_message( ).
3. pop-up thread to cope with the message.
4. executing the arriving active message in the interrupt handler, this operation can only done in fully trusted environment.",4.0,,4.0,,S080,0.0,0.0,0.0,True,True,True
