"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2650","S109","thread: 是process 中與執行流程相關的一部份
process: program in execution
program: a file of static data and code","3","三者定義與關係正確",""
"2","2723","S015","A thread is like an execute flow of a process.
A process is a program image that is loaded into memory.
A program is a file stored on a secondary storage. It could be loaded into memory by loader.

A process is a loaded program, and a thread is a execute flow created by a process.","3","program、process、thread 定義完整",""
"3","6069","S054","program:儲存在memory的一組code and data.
process:執行中的program.
thread:parts of process, 為執行flow的概念.","3","三者概念與 process/thread 關係正確",""
"4","3829","S117","thread is part of process, related to excution flow.
process is program in running.
program is a file containig code and static data.","3","三者定義正確",""
"5","2968","S093","process: 一段有code sectiom跟data section的程式
program: 正在執行中的process
thread: prcess實際會分配給CPU去做執行的東西","1","program/process 顛倒，僅 thread 觀念部分正確",""
"6","3527","S012","a program is a executable file stays in storage
a process is a running program on cpu after it is brought into memory
thead把process拆成小份在cpu平行的跑，一個process可以有很多threads

a program stays in storage device, after it is brought into memory and runs on cpu, it becomes a process. a process can have multiple threads inside it, concurrently run on cpu.","3","三者定義與關係完整",""
"7","4445","S108","Program 是可以執行的檔案，靜態。
Process 是正在執行的工作，需要占用資源來完成，有自己的 process ID 等等資料並且由 OS 管理。
Threads 則是執行相同工作，但能在不同的 cpu core 上面達到平行化的效率。

process 就是跑起來的 program，
threads 就像 process 裡面的多個引擎，執行相同的 program 但是能分開執行任務","3","概念大致正確，關係有說明",""
"8","3251","S099","program: file with executable code and static data.
process: program in execution.
thread: process 內部的執行單位，也是 CPU Scheduling 的最小單位","3","三者定義正確",""
"9","2686","S070","program是一個包含code and static data的檔案
process是執行的program
thread是process workflow的一部份","3","三者定義與關係正確",""
"10","4201","S080","Thread: thread can be thought as the part of process.
Program: program is a file with data and code.
Process: process is a program in execution.","3","三者定義正確",""
"11","3096","S003","the thread is a part of process
a program is a file containing code and datas, etc
a process is program in operation","3","三者定義正確",""
"12","3415","S035","thread : it can be viewed as an execution flow in the part of process
process : the program that is in execution.
program : a file that contain code and static data","3","三者定義正確",""
"13","4327","S037","Thread: The unit of execution flow, create under process.
Process: program in execution
Program: text with static data","3","三者定義正確",""
"14","3516","S096","program - file with the code
process - program in execution (a program loaded to memory that is executed on the cpu)
thread - execution entities of a process. Program can have several threads but at lease one, threads can share some of the process's resource","3","三者定義與關係完整",""
"15","4144","S013","thread: lightweighting and build fast. Shared in the same process
process: a execution state in a program
program: consist of codes and static data","3","三者概念大致正確",""
"16","3942","S040","thread is a part of process, the minimum unit OS can schedule
process is when a program loaded into memory and running
program is what we write","3","三者定義正確",""
"17","2271","S124","A thread is the execution flow of a process 
A process is a program in execution 
A program is a file containing code and data","3","三者定義正確",""
