"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12701","S109","(1)SI-LB: 在生出一個 process 後是直接由創建他的人去處理，除非他自己也overloaded 才會主動去問誰現在有空
(2)RI-LB: 會先主動去問誰現在是 underloaded 的，那個人有空就去做這件事
(3) Receiver-initiated load balancing algorithm performs better under heavy load","1","RI-LB 描述錯誤（應為 underloaded node 主動 probe，而非詢問誰 underloaded）；未說明 RI-LB 為何維持效能",""
"2","11904","S015","RI-LB maintains performance under heavy load.
In SI-LB, the sender sends the probe to ask for help. This may burden the sender under heavy load.","2","未描述 RI-LB 運作機制",""
"3","16061","S054","SI-LB：65 
RI-LB：66 
RI-LB  maintains performance under heavy load","0","SI-LB/RI-LB 描述無關內容；未說明原因",""
"4","12077","S117","RI-LB maintains performance under heavy load. SI-LB 會將process分配給create他的node, 如果該node overloaded 再將它移植給別的node，在heavy load的情況下會影響performance；RI-LB 在處理完一個process後，如果under loaded 會向別的node移植process來處理。","3","",""
"5","11775","S093","SI-LB: 當node本身太忙的時候，會去問其他的node是否有空，以此確認其他的node能否協助自己的工作 
RI-LB: 當node本身太閒的時候，會去問其他的node是否太忙，以此幫具其他的node完成overloaded的工作
在heavy loads的情況下RI-LB可以維持性能；而SI-LB的性能會很差，因為會一直去問別人有沒有空，但大家都沒空，所以會一直問，降低performance","3","",""
"6","11756","S012","receiver-initiated. For SI-LB in a heavy load scenario, a core is always asking for help from other core, but otehr coresis still over loaded, so it won't get help from other core and slows down the performance","2","未描述 RI-LB 運作機制",""
"7","11975","S108","SI-LB: 當處理器的負載過高 (overloaded) 時，probes others 來將自己的工作丟給負載低的處理器。
RI-LB: 處理器的負載低 (underloaded) 時，probes others 來詢問其他人的工作是否需要幫忙處理。
RI-LB maintains under heavy load.","2","未說明 RI-LB 為何在 heavy load 下維持效能",""
"8","11870","S099","SI-LB: 預設 process 會有建立他的節點來負責執行，當某節點過載時，會去探尋其他節點，若發現該節點是 under loaded，會把 process migrate 到該節點。
RI-LB: Process 執行結束時，該節點發現自己 under loaded，則會主動去探尋其他節點，若探尋到的節點是 over loaded，則會將該節點上的 process migrate 到自己身上。
在 heavy load 情境中，RI-LB 可以 maintain performance，因為在 heavy load 情境下使用 SI-LB 只會白費資源（所有節點都很忙）。","3","",""
"9","11981","S070","SI-LB:cpu繁忙的時候去請求其他cpu幫忙
RI-LB:cpu空閒的時候去問其他cpu需不需要幫忙
RI-LB在heavy load表現一樣好，因為heavy load 不容易空閒，就算空閒也能幫忙別人，SI-LB會造成更繁忙","3","",""
"10","12697","S080","SI-LB: the thread will always assign to the node which created it. when the node is overloaded, it will randomly probe other node for help. if other node is underloaded, it will access the thread, if there is no other node accept it, it will probe until it upper limit N.
RI-LB: when the node is underloaded, it will probe other node to ask who need help, if any node is overloaded, it will migrate the thread to the underloaded node.
RI-LB maintain performance under heavy load.","2","未說明 RI-LB 為何在 heavy load 下維持效能",""
"11","12442","S003","SI-LB is the process is assigned to the node who create it, if he is under overload, he would pass it to the neighbors, calling for help.
RI-LB is after he finish the task, he will ask for works from neighbors , willing to help others

RI-LB maintains under heavy load.","2","未說明 RI-LB 為何在 heavy load 下維持效能",""
"12","12275","S035","Q1 :
SI-LB : when a node is overloaded, it probes other node for help. If the probed node is under loaded, it accept and get some processes or tasks. Otherwise the overloaded node keep probing until a limit number N.
RI-LB : when a node is under loaded, it probes other node for work. If the probed node is overloaded, it accept at give some processes or tasks to it. Otherwise the under loaded node keep probing until a limit number N.
(SI-LB probing for help when overloaded, RI-LB probing for work when under loaded)
Q2 :
SI-LB will degraded and perform badly under heavy load.","2","未明確說明 RI-LB 為何維持效能（僅提及 SI-LB 退化）",""
"13","12842","S037","RI-LB, SI-LB processor asks for help when busy. If the the whole system is under heavy load, processor would keep asking for help. Which would produce performance overhead","2","未描述 RI-LB 運作機制",""
"14","12320","S097","1. SI-LB distributes requests between the receivers on sender's side. RI-LB distributes received requests between its nodes (server, cpu)
2. RI-LN has better performance under heavy load","0","SI-LB/RI-LB 描述錯誤；未說明原因",""
"15","13369","S013","1. SI-LB:
A process stays in the origin node. If the node is over load, then it probes other nodes which is under load.
2. RI-LB:
The node under load probes the nodes over load, and help them to do the process.
3. RI-LB maintains performance under heavy load","2","未說明 RI-LB 為何在 heavy load 下維持效能",""
"16","12404","S040","SI-LB: ask for someone help me to do some job
RI-LB: ask if someone has too many job, I can help
RI-LB maintains performance under heavy load since everyone has many job want other processor help, will cause many useless network load if use SI-LB.","3","",""
"17","11228","S124","In SI-LB, when a node is overloaded it asks other nodes if they can take a task off of their shoulders (and if a node is underloaded, it accepts and takes the task from the overloaded node)

In RI-LB, when a node is underloaded, it asks other nodes if they have a task to give them (and if a node is overloaded, it accepts and gives the task to the underloaded node)

RI-LB is the one who is able to maintain performance under heavy load","2","未說明 RI-LB 為何在 heavy load 下維持效能",""
"18","12390","S121","-SI-LB : when a new process appears on a overloaded computer, it probes the other computer to know if someone is idle. If someone is idle, then the new process is migrated to this computer.
-RE-LB : when a computer is not overloaded, it probes the others to know whether one is overloaded. If one is overloaded then process is migrated to the computer which has initiated the probing.

RE-LB is the one who maintains performance under heavely-loaded system.","2","未說明 RI-LB 為何在 heavy load 下維持效能",""
"19","15979","S068","RI-LB 會有比較好的表現。","0","未描述 SI-LB 與 RI-LB；未說明原因",""
"20","11806","S102","SI-LB是先分配給create該工作出來的cpu，如果在忙才轉移給其他人
RI-LB是在空閒下來的時候，才主動去找別人要工作
在heavy load 情況下，RI-LB可以有比較好的表現。因為如果整個系統都很忙的話，SI-LB會需要找很久才能找到也有空的。","3","",""
"21","11902","S034","1. SI-LB
當node的loading重時，會尋求loading輕的node來轉移工作。當heavy load時，因為大家都在尋求其他人來轉移工作，所以performance會下降。
2.RI-LB
當node的loading輕時，會找loading重得去幫忙它。當heavy load時，只有loading較輕的node才會去尋求，因此可以保持performance。","3","",""
"22","11334","S084","1. SI-LB是過忙時，會向其他人求救幫忙，把任務分擔給別人做。
2. RI-LB是過閒時，會接收其他人的任務幫忙別人。
3. 在heavy load的系統中RI-LB會maintain performance。","2","未說明 RI-LB 為何維持效能",""
"23","12127","S079","SI-LB: every newly born process is added to the CPU ready list where it was created. When the sender CPU is overload it will probe others for help, this process will end if all CPU are probed or nobody can help.

RI-LB: When a CPU is underloaded or free, it will probe others to migrate some process to themselves.

RI-LB","2","未說明 RI-LB 為何維持效能",""
