"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1750","S109","不斷的佔有cpu資源去看條件是否符合","","",""
"2","1778","S015","Busy waiting is a loop to check whether a resource (ex. mutex, semaphore) could be accessed or not. If it can't, continue the loop and waiting. If it can, access the resource and leave the loop.","","",""
"3","1757","S054","busy waiting, also known as spinlock, is when 高優先度的process在檢查狀態以進入critical session,但因資源被低優先度process佔用而進入不斷檢查的loop,會造成priority inversion","","",""
"4","1967","S117","process一直嘗試去enter critical section, 但一直無法 access，陷入不斷嘗試的loop中","","",""
"5","2299","S093","運用一個while迴圈並設計要確立的條件後，要busy waiting的process會根據條件一直做while loop的內容，只有當其可以跳出while loop的時候才可以不用waiting，之所以叫busy waiting是因為該process會搶到CPU的使用權後，卻一直執行無意義的迴圈，會浪費CPU的時間","","",""
"6","1991","S012","一個process在等待特地條件發生時，卡在迴圈裡面直到條件發生才繼續往下做，cpu就會在迴圈裡面一直跑。
會長得像
while(condiction == TRUE); // busy waiting
...","","",""
"7","1994","S108","process 嘗試要存取資料(通常是進入 critical section)時，因為有其他 process 正在存取而被阻擋在外，此時欲存取資料的 process 透過 for loop 的形式，不斷檢查此資料是否變為可用，此 process 在等待時將不做任何事情，而是不斷詢問是否能存取資料，因此叫做 busy waiting。","","",""
"8","2217","S099","一個 process 為了等鎖釋放或某條件成立而在回圈內空轉，佔著 CPU 資源的情況。","","",""
"9","1940","S070","一個high priority thread(process)在等被lower priority thread(process)被占用的資源的時候(lock or something)，因為CPU會把資源給高優先權的，會讓高優先權的一直空轉，導致低優先權的得不到CPU資源一直卡著那個lock。","","",""
"10","2210","S080","Busy waiting is a technique problem that happened when a thread is looping, continue to check a condition exists can allow it to contiue or not. happened when it want to enter a critical section or to poll a device to get the data.","","",""
"11","1726","S003","A process been always watching, continuously waiting for other process to release lock for  resource.","","",""
"12","1925","S035","When a process want a lock or resource hold by other procrss, it keeps waiting for a lock or resource and doesn't do other things.","","",""
"13","1966","S037","when a thread access the resource, the resource has been locked by other thread. The accessing thread would loop continuously to check the mutex is unlock or not.","","",""
"14","1863","S096","Usually used for process synchronization, the idea is to stall CPU until the awaited resource is available. This can be useful if resource will be available soon and context switching time is larger then busy waiting time","","",""
"15","1852","S013","one keeps(e.g. loop) holding the lock, and the other one is waiting the lock to be released. ","","",""
"16","1850","S040","when a thread/process is waiting for lock, if it keep use cpu without sleep, it calls busy waiting. like using a while loop keep check if the lock is freed","","",""
"17","1823","S124","Spinlock is when a process is executing a program and encounters a resource (lock/semaphore) that is currently occupied and that it therefore cannot access. As it's unable to proceed in its execution, the process has to wait for the resource to be available, and is going to loop and continuously check if the resource is available until it is and it can proceed. ","","",""
"18","1931","S121","A busy waiting occurs when a thread or a process is blocked in a loop by a condition while it is not satisfied. Most of the time, it occurs when a thread or process wait for a mutex or a semaphore.","","",""
"19","2170","S068","形容當一個 process 因為其他 process 正在 critical section 而因此等待進入時，會透過一個 loop 空轉卡在進入 section 前，雖然沒有進行任何實際運算或是存取，但仍然使用系統資源進行空轉","","",""
"20","1798","S102","busy waiting is to use a loop to keep waiting until it get lock.","","",""
"21","1949","S034","Busy waiting is a process continuous loops(waste CPU time) to check if a condition is met or lock is released, rather than going to sleep. ","","",""
"22","2088","S084","busy waiting又稱spinlock，是在multi-task的環境中，task需要等待其他task的資源(如lock或semaphore)，而一直定時去確認資源可不可用，此時會耗用CPU資源在等待上。","","",""
"23","2323","S079","spinlock happens when a process A with higher priority wants to get the lock and go to critical section to execute, however, there is a process B of lower priority is having the lock and is inside the critical section. Hence, A is looping outside the critical section and keep trying to get the lock and waisting the CPU.","","",""
"24","1877","S122","multi process and threads 同時要共享資源，導致其他process進不來，需要在外面等待","","",""
"25","1701","S086","busy waiting is the situation that the process is looping, continuous checking the condition exist that allow the process continue.","","",""
