"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1513","S109","5","2","答案為5，正確",""
"2","1504","S015","5","2","答案為5，正確",""
"3","1434","S054","5","2","答案為5，正確",""
"4","1446","S117","5","2","答案為5，正確",""
"5","1449","S093","5","2","答案為5，正確",""
"6","1466","S012","5","2","答案為5，正確",""
"7","1460","S108","5","2","答案為5，正確",""
"8","2031","S099","5","2","答案為5，正確",""
"9","1534","S070","5","2","答案為5，正確",""
"10","1567","S080","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"11","1471","S003","5","2","答案為5，正確",""
"12","1444","S035","5","2","答案為5，正確",""
"13","1441","S037","5","2","答案為5，正確",""
"14","1488","S096","5","2","答案為5，正確",""
"15","1522","S013","6","0","答案為6，超出正確範圍，錯誤",""
"16","1454","S040","5","2","答案為5，正確",""
"17","1514","S124","5","2","答案為5，正確",""
"18","1581","S121","5","2","答案為5，正確",""
"19","1429","S068","3","1","答案為3，部分正確；少算一個process",""
"20","1418","S102","5","2","答案為5，正確",""
"21","1604","S034","3","1","答案為3，部分正確；少算一個process",""
"22","5349","S084","5","2","答案為5，正確",""
"23","1623","S079","1","0","答案為1，顯著錯誤",""
"24","1419","S122","2","0","答案為2，顯著錯誤",""
"25","1440","S086","5","2","答案為5，正確",""
"26","1459","S052","5","2","答案為5，正確",""
"27","1452","S033","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"28","1553","S123","5","2","答案為5，正確",""
"29","1455","S027","5","2","答案為5，正確",""
"30","1409","S081","2","0","答案為2，顯著錯誤",""
"31","1411","S008","5","2","答案為5，正確",""
"32","1467","S078","5","2","答案為5，正確",""
"33","1413","S087","5","2","答案為5，正確",""
"34","1414","S022","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"35","2512","S110","5","2","答案為5，正確",""
"36","1417","S082","5","2","答案為5，正確",""
"37","1490","S105","5","2","答案為5，正確",""
"38","1540","S111","3","1","答案為3，部分正確；少算一個process",""
"39","1507","S085","5","2","答案為5，正確",""
"40","1474","S004","5次","2","答案為「5次」，語意等同5，正確",""
"41","1428","S011","5","2","答案為5，正確",""
"42","2141","S046","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"43","3407","S005","5","2","答案為5，正確",""
"44","2902","S061","5","2","答案為5，正確",""
"45","4696","S014","5","2","答案為5，正確",""
"46","1483","S028","5","2","答案為5，正確",""
"47","1503","S107","5","2","答案為5，正確",""
"48","1432","S126","5","2","答案為5，正確",""
"49","1524","S017","5","2","答案為5，正確",""
"50","1634","S115","5","2","答案為5，正確",""
"51","1461","S089","5","2","答案為5，正確",""
"52","1506","S009","5","2","答案為5，正確",""
"53","1496","S094","3","1","答案為3，部分正確；少算一個process",""
"54","2733","S066","5","2","答案為5，正確",""
"55","1442","S041","5","2","答案為5，正確",""
"56","2231","S031","5","2","答案為5，正確",""
"57","1482","S116","5","2","答案為5，正確",""
"58","1781","S059","5","2","答案為5，正確",""
"59","1422","S064","3","1","答案為3，部分正確；少算一個process",""
"60","1447","S101","5","2","答案為5，正確",""
"61","1542","S103","5","2","答案為5，正確",""
"62","1674","S104","5","2","答案為5，正確",""
"63","1433","S023","3","1","答案為3，部分正確；少算一個process",""
"64","1408","S113","5","2","答案為5，正確",""
"65","1517","S055","5","2","答案為5，正確",""
"66","1481","S119","5","2","答案為5，正確",""
"67","2110","S067","5","2","答案為5，正確",""
"68","1632","S076","5","2","答案為5，正確",""
"69","2437","S074","5","2","答案為5，正確",""
"70","1546","S063","5","2","答案為5，正確",""
"71","1451","S090","5 times","2","答案為「5 times」，語意等同5，正確",""
"72","1658","S100","5","2","答案為5，正確",""
"73","1502","S114","5","2","答案為5，正確",""
"74","1525","S038","5","2","答案為5，正確",""
"75","1739","S047","5","2","答案為5，正確",""
"76","1565","S044","5","2","答案為5，正確",""
"77","1512","S075","5","2","答案為5，正確",""
"78","1438","S030","5","2","答案為5，正確",""
"79","1646","S106","5","2","答案為5，正確",""
"80","6076","S019","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"81","1509","S020","5","2","答案為5，正確",""
"82","1412","S010","5","2","答案為5，正確",""
"83","1962","S091","5","2","答案為5，正確",""
"84","1426","S051","5","2","答案為5，正確",""
"85","1420","S039","5","2","答案為5，正確",""
"86","1430","S018","5","2","答案為5，正確",""
"87","1592","S049","5","2","答案為5，正確",""
"88","1588","S053","5","2","答案為5，正確",""
"89","1718","S092","5","2","答案為5，正確",""
"90","1569","S125","3","1","答案為3，部分正確；少算一個process",""
"91","1584","S021","5","2","答案為5，正確",""
"92","1499","S050","5","2","答案為5，正確",""
"93","1427","S036","7","0","答案為7，超出正確範圍，錯誤",""
"94","1599","S048","3","1","答案為3，部分正確；少算一個process",""
"95","2165","S112","5","2","答案為5，正確",""
"96","1407","S006","5","2","答案為5，正確",""
"97","1598","S026","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"98","4256","S032","2","0","答案為2，顯著錯誤",""
"99","1788","S057","4 time","1","答案為「4 time」，語意等同4，部分正確；常見誤差一個process的printf",""
"100","1721","S002","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"101","1469","S007","5","2","答案為5，正確",""
"102","1630","S016","3","1","答案為3，部分正確；少算一個process",""
"103","1543","S083","5","2","答案為5，正確",""
"104","1576","S088","5","2","答案為5，正確",""
"105","1748","S058","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"106","1484","S043","5","2","答案為5，正確",""
"107","1425","S060","5","2","答案為5，正確",""
"108","1435","S024","5","2","答案為5，正確",""
"109","6538","S095","3","1","答案為3，部分正確；少算一個process",""
"110","1528","S077","5","2","答案為5，正確",""
"111","1561","S120","5","2","答案為5，正確",""
"112","1533","S073","4","1","答案為4，部分正確；常見誤差一個process的printf",""
"113","1415","S069","5","2","答案為5，正確",""
"114","5385","S072","3","1","答案為3，部分正確；少算一個process",""
"115","4251","S042","3","1","答案為3，部分正確；少算一個process",""
"116","1489","S071","5","2","答案為5，正確",""
"117","1979","S062","5","2","答案為5，正確",""
"118","1636","S045","5","2","答案為5，正確",""
"119","1706","S056","5","2","答案為5，正確",""
