username,total_ai_score,total_max,Q0,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17
110704002,32.5,51,,2.0,2.0,3.0,3.0,1.0,2.0,2.0,2.0,3.0,1.0,1.0,3.0,0.5,2.0,2.0,3.0,0.0
111550001,37.0,51,,1.0,,4.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,2.0,4.0,0.0
111550021,28.0,51,0.0,2.0,2.0,3.0,4.0,1.0,0.0,1.0,3.0,3.0,0.0,1.0,3.0,0.0,0.0,1.0,4.0,0.0
111550024,38.5,51,2.0,2.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0,1.5,3.0,2.0,3.0,0.0
111550036,29.0,51,,2.0,0.0,3.0,3.0,3.0,,2.0,3.0,3.0,1.0,1.0,3.0,0.0,0.0,1.0,4.0,
111550079,49.0,51,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,2.0
111550102,40.0,51,1.0,2.0,2.0,4.0,1.0,0.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,2.0,4.0,0.0
111652031,37.0,51,0.0,2.0,1.0,4.0,4.0,3.0,,3.0,2.5,3.0,2.0,1.0,3.0,0.5,2.0,2.0,4.0,0.0
111652044,45.0,51,1.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,4.0,0.0
111705065,42.0,51,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,1.0,3.0,2.0,3.0,1.0,4.0,0.0
112550018,39.5,51,0.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.5,3.0,2.0,2.0,3.0,1.0,3.0,2.0,4.0,0.0
112550059,47.0,51,2.0,2.0,2.0,4.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,4.0,0.0
112550074,42.0,51,2.0,2.0,2.0,4.0,4.0,3.0,2.0,2.0,0.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,4.0,2.0
1125500851,35.0,51,1.0,2.0,2.0,4.0,1.0,0.0,0.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0
112652001,39.5,51,2.0,2.0,1.0,4.0,2.0,3.0,2.0,3.0,2.5,3.0,2.0,3.0,3.0,1.0,2.0,1.0,3.0,0.0
113550058,45.5,51,2.0,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,0.5,2.0,2.0,4.0,2.0
114550829,42.0,51,,2.0,2.0,4.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0
114550831,41.0,51,,2.0,2.0,4.0,4.0,3.0,0.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,4.0,
312551157,24.5,51,,2.0,1.0,,,2.0,2.0,0.0,1.0,3.0,3.0,1.0,3.0,0.5,,2.0,4.0,0.0
313511029,39.0,51,,2.0,2.0,4.0,4.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,1.0,,2.0,4.0,0.0
313512044,41.0,51,0.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,2.5,3.0,2.0,3.0,3.0,0.5,2.0,1.0,3.0,2.0
313512073,41.5,51,0.0,2.0,1.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,1.5,2.0,2.0,4.0,0.0
313513022,46.0,51,,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,4.0,2.0
313513036,35.5,51,,2.0,1.0,4.0,4.0,0.0,3.0,3.0,2.5,3.0,,1.0,3.0,1.0,2.0,2.0,4.0,0.0
