"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3924","S109","mode switch: 是指透過trap來做 priviledge mode 的切換，像是user to kernel mode；context switch 則是會儲存現在在執行process的資訊與相關狀態，並重起另一個process的","2","",""
"2","3729","S015","Mode switch is a CPU change its mode (ex. from user mode to kernel mode). Context switch is a processor changing its currently running process to another.","2","",""
"3","4299","S054","mode switch: process切換不同的previlege，例如從user mode切換至kernel mode；context switch:複製整塊記憶體儲存當下process的資訊，restore 要處理的process(切換process).","2","",""
"4","4959","S117","mode switch: a preocess swith to kernel mode from user mode. context switch: save a process and restore another one","2","",""
"5","5152","S093","context switch是指正在執行中的process要換成另一個process去執行所需要做到的context轉換。mode switch是指從user mode換成privileged mode或是privileged mode換成user mode","2","",""
"6","5273","S012","mode switch means a user-mode cause a trap and switch to kernel-mode, have os solve the trap. context switch means save a process's status and registers, and restore other process's status and registers.","2","",""
"7","6005","S108","mode switch: 在 user mode 或 kernel mode 之間切換，可以執行與使用的資源不同，資源的使用權也會從 user 切換為 OS (或相反)；context switch: 保留正在執行的 process 的工作狀態，lcoal variable 和 program counter 等等，接著將資源使用權交給其他 process。","2","",""
"8","4963","S099","Mode switch: CPU execution 透過 trap 或 system call 從一個 privilege level 轉換到另一個（e.g. User mode to Kernel mode)；context switch: 將一 process(thread) 的 context 儲存起來並 restore 回其他 process(thread) 的 context 的過程。","2","",""
"9","3833","S070","mode switch是權限的改變，像是process遇到trap或system call的時候，會從user mode轉成kernel mode去執行，context switch是process的轉換，會把原本的狀態先儲存，之後載入要換的process的狀態","2","",""
"10","5931","S080","mode switch is to change cpu execution for one priority to another, eg. user->kernel mode. context switch is to save one process' execution and switch to that of another.","2","",""
"11","2399","S003","mode switch is about the operating mode, as the user mode and the kernel mode. context switch is about the switching of different process for operation.","2","",""
"12","5052","S035","mode swtich : switch between different privilege mode(e.g. move from user mode to kernel mode by trap) 2. context swtich : save the context of current process and restore the context of the next process. ","2","",""
