"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12877","S109","access transparency : 不論本地還是遠端 access 的方式都會是相同的
location transparency :不需要知道資源在地實際位置
replication transparency : 複製資源不會產生問題","2","Access 與 Location 正確；Replication 未點出使用者不知情/透明性",""
"2","11543","S015","Access transparency: The resource can be accessed by the same operation from local or remote. ex URL
Location transparency: The resource can be accessed by user without knowing the location of the resource. ex. Cloud drives
Replication transparency: Allow the system to improve the traffic by using multiple resource instances, and the user won't need to know the replicas.","3","",""
"3","16120","S054","1, Access Transparency：no matter who to access
2, Location Transparency：no matter send to where
3, Replication Transparency：no matter whether or not has replication","0","三個定義皆不清楚或錯誤，未正確表達核心概念",""
"4","11652","S117","access transparency: access local or remote resources by using same operations
location transparency: use resouces without knowing the actual location of resouces
replication transparency: use multiple instances of resources without knowing replicas of applicaitons/programs","3","",""
"5","11366","S093","access transparency: 要獲取本地端的資源跟獲取非本地端的資源所要做的步驟相同
location transparency: 不需要知道檔案的確切位置在哪裡，也能夠存取檔案
replication transparency: 系統會在使用者不知情的情況下去對資源做備份，以避免出現資源喪失所造成的error","3","",""
"6","11330","S012","access transparency: a user can access local resource and remote in the same way
local transparency: a user can access a resource without knowing the location of the resource
replication transparency: the system can improve the preformance by replication witt interfere the user processes and correctness, and don't need to change the algorithm to manage the resources ","2","Access 與 Location 正確；Replication 未明確提及使用者不知情",""
"7","11345","S108","Access Trandparency: 存取任何的檔案資料，""方式""應該都相同，不會讓使用者知道差別。
Location Transparency: 無論存取本地或遠端不同位置的資料，都不會讓使用者知道差別。
Replication Transparency: 系統自己為了效能考量等等，重複的資源不會讓使用者知道，共用資源 share memory 等等也不會讓使用者知道正在共用。","2","Access 與 Replication 正確；Location 混入 Access 概念，未說「不需知實際位置」",""
"8","11419","S099","1. Access Transparency: 使用者可以使用「相同的方式」去 access local 和 remote 的資料。
2. Location Transparency: 使用者不必知道資料真實的位置就可以取得該資料。
3. Replication Transparency: 系統會複製多份資料於不同機器用於提高 Performance，且使用者不會意識到資料複製的存在。","3","",""
"9","11542","S070","access transparency:對於本地跟遠端的存取可以用相同的操作存取
location transparency:存取某個資源並不用知道他的實體在哪裡
replication transparency:允許資源有多個複製來提升效率或是備份，process不需要知道複製的存在","3","",""
"10","11905","S080","access transparency: it means the local or remote information resources can be accessed in the identical operation.
location transparency: it means the resources can be accessed without knowing it actual location.
replication transparency: it means multiple instances of the same resources can be used to increase performance and reliability.","2","Access 與 Location 正確；Replication 未提及使用者不知情",""
"11","11084","S003","Access: can access local and remote with same methods
Location: can access without knowing actual location
Replication: can access with replications from different server","2","Access 與 Location 正確；Replication 未提及透明性",""
"12","11830","S035","Access Transparency : accessing the local or remote resource should be identical operation to the user or application.
Location Transparency : the user don't have to know where the location of the resource is.
Replication Transparency : the system may let the resource or data have some copies, but the user or application do not have to know the existence of these copies.  ","3","",""
"13","12311","S037","Access Transparency: local and remote client can access the resource in identity operations
Location Transparency: System no need to know the client's real location.
Replication Transparency: System can replicate the resource to duplicate replicas without the application acknowledge.","2","Access 與 Replication 正確；Location 方向錯誤（應為不需知資源位置）",""
"14","11967","S097","access transparency - all server support the same operation, so all of them can be accessed in the same way. 

location transparency - request can be handled regardless of the physical location of the server.

replication transparency - copies of the resource are created and distributed, it doesn't matter which resource is used to handle the request","2","Access 與 Location 正確；Replication 未明確提及使用者不知情",""
"15","14051","S013","Access: User doesn't know that they access locally or remotely
Location: User doesn't know where the data is located
Replication: User doesn't know that the using data is also replicated in other host.","3","",""
"16","11840","S040","Assess: user can asses resource on local and remote use the same way
Location: user don't need to know where the resource really at
Replication: user don't feel difference if the data has multiple copy in system, just shows one data","3","",""
"17","11104","S124","Acces transparency : ability to access remote and local ressources with the sames operations
Location transparency : ability to access a ressource without knowing where its located
Replication transparency : ability to access a ressources that has been replicated without knowing about the fact that it has multiple copies ","3","",""
"18","11857","S121","Access transparency : the machine use the same primitive to access a remote date or a local data.
Location transparency : the machine does not have to know where a data is stored to access it.
Replication transparency : the machines can make abstraction of the fact that the data can be replicated on different sites.","3","",""
"19","13867","S068","Access: 本地端與伺服器端的資料讀取操作一樣
Location: 存取資料不需要知道實際位置
Replication: 系統中可能有維持多份副本以提升效能，但是使用者或是應用程式不會察覺","3","",""
"20","11428","S102","access transparancy是在remote和本地端都可以使用相同的指令
location transparency是使用者不需要知道系統實際所在的位置
replication transparency是系統多複製很多份資料，但使用者不會知道","3","",""
"21","11413","S034","1. Access Transparency:對取得local或remote資訊的操作是相同的。
2.Location Transparency:取得資訊時不需知道它的確切地址。
3.Replication Transparency:複製多次以提高performance，且不會被copies影響。","2","Access 與 Location 正確；Replication 未提及使用者不知情",""
"22","11038","S084","Access transparency : 用一樣的操作方式就可以存取檔案。
Location transparency : 不用知道檔案實際位置也可以存取。
Replication transparency : 主機複製檔案不會讓application端知道(隱藏細節)。","3","",""
"23","11623","S079","access: 對於不同的user我都可以用相同的方式取得message ex: same URL
location: user不需要知道這個resource的actual physical location仍可以取得資訊 ex: access file from cloud
replication: user不知道這個resource還會有多少個來幫助減少latency的副本存在ex:CDN","3","",""
"24","12836","S122","Access Transparency:會允許他存取
Location Transparency:要開始之前會先知道他的位置
Replication Transparency:每個都是執行一樣的動作","0","三個定義皆不正確；Access 未提相同操作，Location 相反，Replication 概念錯誤",""
"25","11818","S052","Access transparency: 不管是local還是remote resources都可以用相同的operation 去access。
Location transparency: Resources實際放置的地點並不影響使用者的使用。
Replication transparency: 為了提高performance而產生resources的副本並不影響使用者的使用。","2","Access 與 Location 正確；Replication 未提及使用者不知情",""
"26","11555","S033","access transparency是指存取資料的方式都一致
location transparency 是指讀取資料不需要知道location
replication transparency是指多的process可以同時執行","2","Access 與 Location 正確；Replication 解釋錯誤（應為多副本對使用者透明）",""
"27","11842","S123","1. Access transparency enables local and remote resources to be accessed by using identical operations.
2. Location transparency enables resources to be accessed without knowing their location.
3. Replication transparency enables resources to be used to improve performance without interference with each other.","2","Access 與 Location 正確；Replication 未提及使用者不知情",""
"28","11434","S027","Access:本地/遠端用法一樣
location:不用知道資源在哪裡也可以用
replication:有副本但使用者不知道","3","",""
