"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12850","S109","crossbar :n^2
omega:(n/2)*log(n)","2","Crossbar n^2 ✓, Omega (n/2)*log(n) ✓",""
"2","11709","S015","Crossbar network needs n^2 switches.
Omega network needs (n/2)lg(n) switches.","2","Crossbar n^2 ✓, Omega (n/2)*lg(n) ✓",""
"3","16103","S054","crossbar network：n^2
Omega network：(n˙ln(n))/2","1","Crossbar n^2 ✓, Omega 使用 ln (自然對數)而非 log₂ ✗",""
"4","11891","S117","crossbar: n * n crosspoints
omega: (n/2)log2(n)","2","Crossbar n×n ✓, Omega (n/2)log₂(n) ✓",""
"5","11579","S093","crossbar: n^2
Omega: (n/2)*(logn)其中log的底數是2","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"6","11592","S012","crossbar: n^2
omega network: (n/2)*log2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"7","11573","S108","Crossbar: n^2
Omega: (n/2)logn","2","Crossbar n^2 ✓, Omega (n/2)log n ✓",""
"8","11581","S099","Omega: (n / 2) * log_2n
Crossbar: n ^ 2","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"9","11737","S070","crossbar network:n^2
omega network:(n/2)*(log2 n)                                        //以2為底","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"10","12147","S080","crossbar network: n^2
omega network: n/2*log2(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"11","11197","S003","Omega: n/2 log_2(n)
Crossbar: n^2","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"12","11990","S035","1. crossbar network : n^2
2. Omega network : n/2 * log_2(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"13","12597","S037","cross bar: n^2
Omega network: n/2(logn)","2","Crossbar n^2 ✓, Omega n/2*log n ✓",""
"14","12204","S097","crossbar - n^2
Omega - n/2 * log_2 (n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"15","13996","S013","Crossbar: n ^ 2
Omega: (n / 2)*log_2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"16","12000","S040","crossbar: N^2
Omega: (N/2) * log_2(N) (if use 2x2 switch)","2","Crossbar N^2 ✓, Omega (N/2)*log₂(N) ✓",""
"17","11162","S124","For omega network, (n/2) * log2(n)
For crossbar network, n^2
Therefore, crossbar networks requires a lot more switches than omega network ","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"18","12133","S121","Crossbar Network : n'2
Omega network : (n/2)log2(n)","2","Crossbar n² (n'2) ✓, Omega (n/2)log₂(n) ✓",""
"19","14499","S068","Cross bar: n * n
Omega network: about log(n)","1","Crossbar n×n ✓, Omega 'about log(n)' 缺少 n/2 因子 ✗",""
"20","11574","S102","crossbar : n平方
omega: (n/2)*log2(n)  (以2為底)","2","Crossbar n² ✓, Omega (n/2)*log₂(n) ✓",""
"21","11662","S034","crossbar network: n^2 crosspoints
Omega network: (n/2)*log2(n) crosspoints
","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"22","11186","S084","Crossbar network : n^2 switches。
Omega network : (n/2)*log2n。","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"23","11825","S079","crossbar: n^2
Omega: n/2* log_2(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"24","12747","S122"," crossbar network: n^2
Omega network:(n/2)log2(n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"25","11704","S086","Crossbar network needs n^2 crosspoints, Omega network only need n/2 log2(n) switches.","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"26","12098","S052","Crossbar network: n^2 crosspoints
Omega network: (n/2)*log2(n) switches","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"27","11753","S033","crossbar network:n^2
Omega network:(n/2)log2(n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"28","12157","S123","Crossbar network: n^2
Omega network: (n/2)*log2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"29","11490","S027","omega network is cheaper
crossbar:n^2 crosspoints
omega:(n/2)*log2(n) 2*2 switches","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"30","11383","S081","for a crossbar nerwork- n^2
and for omega network- 2log n","1","Crossbar n^2 ✓, Omega '2log n' 缺少 n/2 因子 ✗",""
"31","12092","S008","cross bar: n^2
omega: (n/2) log_2 (n)

cross bar > omega","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"32","12158","S078","crossbar network: n^2
Omega network: n/2 log2n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"33","13215","S087","Crossbar:n^2
Omega:(n/2)log2n","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"34","11005","S022","Crossbar network: n^2
Omega network: (n/2) * (log2 n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"35","12565","S110","crossbar: n^2
omega: n/2 * log2n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"36","12028","S082","Crossbar: n^2
Omega: n/2 * log_2(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"37","12080","S105","crossbar: O(n^2)
Omega: O(log_2 (n) * n/2)","2","Crossbar O(n²) 漸進正確 ✓, Omega O((n/2)log₂(n)) ✓",""
"38","11299","S111","Omega : (n/2) * log n
crossbar : n ^ 2","2","Crossbar n^2 ✓, Omega (n/2)*log n ✓",""
"39","11576","S085","Omega: (n/2)*log_2(n)
crossbar: n^2

omega雖然會發生阻塞但使用較少數量","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"40","11672","S004","crossbar需要n^2個crosspoints
Omega network需要n/2logn個switches(logn的底是2)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"41","11565","S046","Crossbar network: n^2 switches
Omega network: (n/2)log2n switches","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"42","11262","S005","Crossbar: n^2

Omega network : (n/2) * (log2(n))","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"43","11247","S014","crossbar:n*n
Omega:(n/2)log2 n
","2","Crossbar n×n ✓, Omega (n/2)log₂(n) ✓",""
"44","11684","S107","crossbar network: n^2
Omega network: (n/2) log2 (n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"45","11700","S126","1.crossbar network  n平方
2.Omega network  n/2*log2(n) 個switch","2","Crossbar n² ✓, Omega n/2*log₂(n) ✓",""
"46","13470","S017","crossbar : n^2
omega : n/2*log_2(n)      也就是n/2乘上底數為二的log(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"47","11047","S115","Crossbar: n^2
Omega: n/2(log2(n))","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"48","11636","S089","Crossbar : n*n
Omega : (n/2) * (log_2 (n))","2","Crossbar n×n ✓, Omega (n/2)*log₂(n) ✓",""
"49","11730","S009","Crossbar network have n^2 switches
Omega network have (n/2)*log_2(n/2)","1","Crossbar n^2 ✓, Omega (n/2)*log₂(n/2) 內部參數應為 n 而非 n/2 ✗",""
"50","11951","S094","1. crossbar：n^2
2. Omega：(n/2)log2(n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"51","12324","S066","crossbar network: n^2
Omega network: (n/2)*log2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"52","11726","S041","Crossbar: n * n
Omega: (n/2)log(2)n","2","Crossbar n×n ✓, Omega (n/2)log₂(n) ✓",""
"53","13781","S031","crossbar network : n^2
Omega network : n/2 * log_2 n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"54","11557","S116","crossbar n^2
OMEGA n/2*logn(log的下標為2) 2分之n乘上log2乘n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"55","12122","S059","crossbar network: n^2
Omega network: n/2*log2(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"56","10979","S064","crossbar：n^2
omega：(n/2)log(2)n","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"57","11752","S101","Crossbar: n^2
Omega: (n/2)log2(n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"58","11529","S103","1. crossbar : n^2
2. omega : (n/2)*log2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"59","14471","S104","crossbar : n^2 個
Omega network : (n/2)log2n (以2為底的n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"60","11932","S023","Crossbar network 需要 n^2 個交換節點，Omega network 只需要 n/2 log_2 n 個。
Omega network 可能發生 Blocking ，但因硬體成本低非常多，所以仍被廣泛使用。","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"61","11499","S113","Corssbar:n^2
Omega:(n/2)log(n) <-這個log是以2為底的。","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"62","11779","S055","crossbar:只需要一個 但複雜度超大的switch
Omega:需要log(n)層 每層有n/2個2*2的switches","1","Crossbar '只需要一個' 錯誤(應 n²) ✗; Omega log(n)層×n/2個/層 → (n/2)log(n) ✓",""
"63","11683","S119","Crossbar network:n平方
Omega network: (n/2)*log下標2(n)","2","Crossbar n² ✓, Omega (n/2)*log₂(n) ✓",""
"64","11849","S067","crossbar: n^2
Omega: (n / 2) *  log2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"65","12235","S076","Crossbar network: n^2. The crosspoints needed is n^2, so it's more expensive (non-blocking)
Omega Network: (n/2)log_2n. The switches needed is (n/2)log_2n, so it's cheaper (blocking)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"66","10948","S074","Cross bar requires n switches while omega requires (n/2)log n","1","Crossbar 'n switches' 錯誤(應 n²) ✗; Omega (n/2)log n ✓",""
"67","11938","S063","Crossbar: n*n
Omega: n/2* lg(n)","2","Crossbar n×n ✓, Omega n/2*lg(n) ✓",""
"68","11795","S090","Crossbar: n^2
Omega: n/2*log2n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"69","14415","S100","Crossbar : n*n
Omega : (n/2) * log_2 (n)","2","Crossbar n×n ✓, Omega (n/2)*log₂(n) ✓",""
"70","11303","S114","crossbar : n*n 
omega network : (n/2) * log(n)","2","Crossbar n×n ✓, Omega (n/2)*log n ✓",""
"71","12671","S038","crossbar :n^2

Omega network (n/2) log(2,n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"72","11750","S047","crossbar network：n^2
Omega： n/2 ( log_2_n )","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"73","12494","S044","1. crossbar: n^2
2. omega: (n/2)*(log2 n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"74","11722","S075","crossbar network: n^2
omega network: (n/2)*log2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"75","11680","S030","crossbar  network : O(n^2) 
omega network : 1/2 * n lgn","2","Crossbar O(n²) 漸進正確 ✓, Omega (n/2)*lg(n) ✓",""
"76","11491","S106","crossbar : n^2 
Omega : (n/2)logn (以2為底)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"77","11714","S019","Crossbar network : n^2
Omega network n/2(lgn)
","2","Crossbar n^2 ✓, Omega n/2*lg(n) ✓",""
"78","11396","S020","Crossbar: n^2
Omega: (n/2)log2n","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"79","11665","S010","for crossbar network: n^2 crossbars.
for omega network: (n/2)log2(n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"80","11660","S091","crossbar=o(n平方)
Omega=n/2log2n(二分之n*log2的n)","2","Crossbar O(n²) ✓, Omega n/2*log₂(n) ✓",""
"81","11496","S051","crossbar will have n^2 switches.
omega network will have (n/2)*log(n) switches.","2","Crossbar n^2 ✓, Omega (n/2)*log n ✓",""
"82","13459","S039","crossbar: n^2
Omega: (n/2)*lgn","2","Crossbar n^2 ✓, Omega (n/2)*lg(n) ✓",""
"83","11661","S018","crossbar:n^2 crosspoint
omega:(n/2)*(log n) switch","2","Crossbar n^2 ✓, Omega (n/2)*log n ✓",""
"84","11595","S049","crossbar:n^2
Omega:n/2*log_2 n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"85","11804","S053","crossbar n*n switches
omega (n/2) * (log2 n) switches","2","Crossbar n×n ✓, Omega (n/2)*log₂(n) ✓",""
"86","11667","S092","crossbar network: n^2
Omega network: (n/2)log(n)","2","Crossbar n^2 ✓, Omega (n/2)log n ✓",""
"87","11422","S125","crossbar:n^2
omega:(n/2 )*log2(n)","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"88","11133","S021","crossbar n^2 Omega n/2 log2n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"89","11727","S050","crossbar: n^2
omega: n/2*log以2為底n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"90","11742","S036","crossbar:n平方
Omega network:(n/2)*log(2下標)n","2","Crossbar n² ✓, Omega (n/2)*log₂(n) ✓",""
"91","11494","S048","1. Crossbar : n^2
2. Omega : (n/2)logn2","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"92","11762","S112","crossbar network: n平方 
Omega network: 1/n(log2(n))   -->(log底是2的意思!)","1","Crossbar n² ✓; Omega 1/n×log₂(n) 錯誤(應 n/2×log₂(n)) ✗",""
"93","11627","S006","1. crossbar, n^2
2. omega, n/2 * log_2 n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"94","11859","S057","Crossbar : n2 ( n 平方 )
Omega : n/2  log n","2","Crossbar n² (n2) ✓, Omega n/2*log n ✓",""
"95","13960","S002","crossbar network: n^2
Omega network: n/2 * log2n","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"96","11794","S007","Crossbar: n^2
Omega: n/2 log_2(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"97","12012","S118","Number of switches in an Omega Network is log2(N) * N/2. while crossbar network requires 2N number of switches.","1","Omega N/2×log₂(N) ✓; Crossbar '2N' 錯誤(應 N²) ✗",""
"98","13659","S016","crossbar network : N^2
Omega network : n/2*log_2 n
","2","Crossbar N^2 ✓, Omega n/2*log₂(n) ✓",""
"99","16203","S083","Crossbar：N^2
Omeage：n/2 log 2 n","2","Crossbar N^2 ✓, Omega n/2*log₂(n) ✓",""
"100","11640","S088","crossbar : n^2
Omega : (n/2)log2(n)","2","Crossbar n^2 ✓, Omega (n/2)log₂(n) ✓",""
"101","12334","S058","crossbar network : n^2
omega network : (n/2)log n      (log下標2)
","2","Crossbar n^2 ✓, Omega (n/2)*log₂(n) ✓",""
"102","11545","S043","crossbar:n^2
omega:n/2*log_2(n)","2","Crossbar n^2 ✓, Omega n/2*log₂(n) ✓",""
"103","11462","S060","Omega：n^2
crossbar: n/2 ×log n（log use 2 basic）","0","公式交換：Omega 寫 n²(實為 Crossbar)、Crossbar 寫 n/2×log₂(n)(實為 Omega)，兩者配錯網路",""
"104","11531","S024","crossbar: n switches
omega: (n/2)log 2(n)","1","Crossbar 'n switches' 錯誤(應 n²) ✗; Omega (n/2)log₂(n) ✓",""
