"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","11797","S109","(1)可以做非同步的溝通 (2)擴充不會影響現有的訂閱者 (3)訂閱者可以自由選擇自己有興趣收到的頻道訊息","","",""
"2","12978","S015","1. Decoupled: The middleware decouples the communication. It means that the operation of send and receive are not associated with other.
2. Asynchronous: The middleware can store the message and send it receiver at any time. So it don't need both sender and receiver are ready.
3. Many-to-Many communication: The middleware could receive and store the message from multiple publishers and sends it to multiple receivers.","","",""
"3","14825","S054","1, scalability
2, decoupling
3, 一個point同時傳送相同訊息給多個points時
","","",""
"4","13992","S117","many to many: 可以有多個publisher向多個subscriber發送message
scalability: 如果有新的subscriber，直接加入subscriber的list，擴展方便
loose connected: publisher不需要關注有哪些subscriber","","",""
"5","12514","S093","1. scalability: 可以有很多的publisher跟subscriber
2. asynchronous: 在未上線時，如果有收到message依然可以在之後上線時觀看；publisher可以上線傳完message後直接下線不用等subscriber都上線
3. many-to-many: 可以讓many publisher傳訊息給many subscriber","","",""
"6","13065","S012","1. scalibility: it is easy to add a publisher or a subscriber in the system without interfere other publishers or subscribers
2. asymmertric communication; publisher and subscriber don't need to stay online in the same time to complete the communication
3. decouple: publishers and subscribers are not tightly coupled, a publish/subscribe middleware helps transmitt the message from publishers to subscribers","","",""
"7","13017","S108","Decoupled: 當 publisher 傳送訊息時，Subscriber 不一定要在線上
可擴展性: 只需要加入頻道即可接受資訊，實作方便
匿名: 不需要知道 process 的名稱等等資訊","","",""
"8","12817","S099","1. 可擴展性: 加入其他節點對整個系統幾乎沒有影響
2. 節點間可以非同步通訊
3. 可以 Many-to-Many 通訊。","","",""
"9","12763","S070","1.擴展性高，加入容易
2.高匿名性，不需要知道彼此的確切資料
3.不需要大家都同時在線上","","",""
"10","14196","S080","scalability: it is scalable when there is new subscriber, it wont effect the original subscriber or the publisher.
decoupling: the model is decoupled, the publisher and the subscribers don't need to know each other's existance.
asychronous communication: the publisher can send message to the subscriber even when the subscriber is not online.","","",""
"11","11793","S003","scalability
asynchronous
source replication","","",""
"12","13434","S035","1. scability : when a new subscriber is added to the system, the performance won't be influenced or degraded.
2. decoupling : the publisher/subscriber doesn't have to know where the publisher/subscriber is.
3. asynchronous : the publisher and subscriber don't have to be online in the same time when they want to communicate with each other.","","",""
"13","15031","S037","1. Asynchronous
2. many-to-many
3. scalability","","",""
"14","13254","S097","1. Scalability: it's easier to add more nodes to pub/sub systems, because existing nodes don't know about other other nodes. So there would be no need to update nodes' info in the existing nodes

2. There can be many senders in the pub/sub

3. There can be several channels in the pub/sub","","",""
"15","11522","S013","1. Scalability: It's easy to be added into the group. 
2. Many to Many: by grouping the subscribers and Publishers, it can achieve group-to-group communication
3. Decoupling: It doesn't need to know who should be sent and the receivers doesn't have to be online to receive.","","",""
"16","13754","S040","1. no need both sender and receiver both online
2. many to many communication become easier
3. more scaliable, people who want receive just subscribe, no need to modify code.","","",""
"17","14395","S124","- Easier to implement 
- Can easily add a new subscriber instead of having to set-up a new communication 
- Less greedy (One to Many instead of Many One to One)","","",""
"18","14364","S121","- it allows many-to-many communication
- scalability : it is easy to add or remove subscribers without interfering with the publishers and the other subscribers.
- transparency : the publishers do not have to know about the subscribers.","","",""
"19","11933","S068","1. 非對稱
2. 透明性較高
3. 自由性較佳","","",""
"20","12750","S102","可以多對多
可以不用知道publisher、Subscriber的資訊
容易擴充","","",""
"21","15207","S034","1.可擴展性：因為publisher和subscriber不會知道對方有哪些。
2.非同步通訊：不需要publisher和subscriber同時在線。
3.decoupled: 因為publisher和subscriber不會知道對方有哪些。","","",""
"22","11845","S084","1. Loosely coupled (decoupled)
2. Asynchronous，對方不用在線也能傳遞到。
3. Many-to-many，支援多對多的溝通。","","",""
"23","16080","S079","1. scalability高，在middleware我可以支援many client to many server同時使用，而點對點的通訊只針對一對client/ server，效率比較低
2. middleware 穩定性高，如果其中一個switch fail, 還會有其他switch可以讓這個network work, 不會全部崩壞
3. middleware model can use the share virtual memory from many other RAMs, who also use this middleware, which is more resourceful than a point to point communication.","","",""
"24","13419","S122","靈活性高
避免單點中斷
可以共享
","","",""
"25","13290","S086","1. Simplicity
2. Reduce overhead
3. Better resource utilization","","",""
"26","14072","S052","1. Scalability: publishers和subscribers數可持續增加，不影響系統效能。
2. Asynchronous communication: publishers和subscribers不用同時在線就可以做通訊。
3. Many-to-many communication: 多個publishers可同時傳送訊息給多個subscribers。","","",""
"27","12966","S033","1.asynchronous communication
2.many to many communication
3.scalability","","",""
"28","13647","S123","1. Scalability: New subscribers can be added without affecting existing member
2. Decoupling: Publishers and subscribers do not need to know each other.
3. Many-to-Many: Multiple publishers can communicate with multiple subscribers.","","",""
"29","12651","S027","Scalability:容易增加subscriber
decoupling: publisher/subscriber 不用互相知道
asynchronous:雙方不用等待對方","","",""
"30","14370","S081","1. doesnt get lost and able to reconfigure
2. it communicates many to many models
3. it is more stable and quicker","","",""
"31","14033","S008","1. Many-to-many property: many publishers can communicate with many subscribers.
2. Asynchronous communication: The communication between publishers and subscribers are asynchronous, the publishers can send message even when the subscribers are not online.
3. Scalability: It is convenient and simple to add a new publisher or subscriber without changing or affecting the whole system.","","",""
"32","12474","S087","1.可以非同步的傳遞訊息
2.可以是many-to-many的傳遞訊息","","",""
"33","13108","S022","1. Higher safety.
2. Higher redundancy.
3.","","",""
"34","13885","S110","1. easy to add and remove member
2. support many to many communication
3. do not need to know the receiver's information","","",""
"35","14223","S082","1. support many to many message passing.
2. time decoupled: sender and receiver don't need to be online at the same time. 
3. no need to know who the receiver is .","","",""
"36","15736","S105","1. Number of traffics may reduce.
2. ","","",""
