"index","exam_answer_id","username","original_score","original_feedback"
"1","2408","S109","2.0",""
"2","2481","S015","2.0",""
"3","6326","S054","0.0",""
"4","3533","S117","2.0",""
"5","2731","S093","2.0",""
"6","3044","S012","0.0",""
"7","3880","S108","2.0",""
"8","2906","S099","0.0",""
"9","2369","S070","2.0",""
"10","3853","S080","2.0",""
"11","3382","S003","2.0",""
"12","3035","S035","2.0",""
"13","3929","S037","2.0",""
"14","2461","S096","2.0",""
"15","3767","S013","0.0",""
"16","2871","S040","2.0",""
"17","3111","S124","0.0",""
"18","6347","S121","0.0",""
"19","6624","S068","2.0",""
"20","2613","S102","0.0",""
"21","3954","S034","2.0",""
"22","3198","S084","2.0",""
"23","3822","S079","2.0",""
"24","2278","S122","0.0",""
"25","4570","S086","2.0",""
"26","3490","S052","2.0",""
"27","3536","S033","0.0",""
"28","2701","S123","2.0",""
"29","2698","S027","1.0","Calculation error"
"30","1782","S081","2.0",""
"31","3024","S008","2.0",""
"32","3142","S078","0.0",""
"33","4397","S087","2.0",""
"34","2635","S022","2.0",""
"35","4747","S110","2.0",""
"36","2948","S082","2.0",""
"37","3778","S105","0.0",""
"38","2842","S111","0.0",""
"39","2543","S085","2.0",""
"40","2755","S004","2.0",""
"41","1722","S011","2.0",""
"42","2439","S046","2.0",""
"43","4258","S005","0.0",""
"44","3219","S061","0.0",""
"45","2853","S014","2.0",""
"46","2498","S028","2.0",""
"47","2607","S107","0.0",""
"48","2637","S126","1.0","Correct formula, but no exact answer."
"49","2855","S017","2.0",""
"50","3939","S115","2.0",""
"51","2320","S089","2.0",""
"52","4190","S009","0.0",""
"53","4005","S094","2.0",""
"54","4951","S066","2.0",""
"55","2133","S041","2.0",""
"56","3532","S031","2.0",""
"57","4509","S116","0.0",""
"58","3163","S059","2.0",""
"59","2057","S064","2.0",""
"60","2509","S101","0.0",""
"61","4063","S103","2.0",""
"62","6302","S104","2.0",""
"63","2619","S023","2.0",""
"64","3447","S113","2.0",""
"65","2477","S055","2.0",""
"66","2748","S119","2.0",""
"67","3610","S067","1.0","Correct formula, but no exact answer."
"68","3982","S076","2.0",""
"69","6319","S074","1.0","Calculation error."
"70","2736","S063","2.0",""
"71","3584","S090","2.0",""
"72","4737","S100","0.0",""
"73","2910","S114","2.0",""
"74","2020","S038","2.0",""
"75","2753","S047","2.0",""
"76","2730","S044","2.0",""
"77","2661","S075","0.0",""
"78","2391","S030","2.0",""
"79","2792","S106","2.0",""
"80","6189","S019","2.0",""
"81","2563","S020","2.0",""
"82","3848","S010","2.0",""
"83","4583","S091","2.0",""
"84","4062","S051","2.0",""
"85","4672","S039","2.0",""
"86","2689","S018","2.0",""
"87","3046","S049","2.0",""
"88","3837","S053","2.0",""
"89","3417","S092","2.0",""
"90","2343","S125","2.0",""
"91","6267","S021","2.0",""
"92","2524","S050","2.0",""
"93","2416","S036","2.0",""
"94","2684","S048","0.0",""
"95","6498","S112","0.0",""
"96","2724","S006","1.0","Correct formula, but no exact answer."
"97","3321","S026","0.0",""
"98","4667","S057","0.0",""
"99","5945","S002","2.0",""
"100","6427","S007","2.0",""
"101","3955","S016","2.0",""
"102","4413","S083","0.0",""
"103","2821","S088","0.0",""
"104","3453","S058","0.0",""
"105","3290","S043","2.0",""
"106","2478","S060","2.0",""
"107","2441","S024","2.0",""
"108","2804","S095","2.0",""
"109","2921","S077","2.0",""
"110","2681","S120","2.0",""
"111","2820","S073","0.0",""
"112","2683","S069","2.0",""
"113","3821","S072","2.0",""
"114","2691","S042","2.0",""
"115","2695","S071","2.0",""
"116","4249","S062","2.0",""
"117","2674","S045","2.0",""
"118","2511","S056","2.0",""
"119","3199","S029","2.0",""
"120","3147","S065","2.0",""
"121","5205","S025","2.0",""
"122","2534","S098","2.0",""
