"index","exam_answer_id","username","original_score","original_feedback"
"1","12287","S109","2.0",""
"2","12261","S015","2.0",""
"3","15837","S054","1.0","有回答 pub/sub 行為，但未說明如何透過 group communication 實作，故部分給分。"
"4","12895","S117","2.0",""
"5","12485","S093","2.0",""
"6","15401","S012","1.5","the publisher sends message to the channel, and the middleware sends the message to all subscribers or the subscribers can poll the channel regularly ot fetch the message"
"7","12385","S108","2.0",""
"8","12300","S070","2.0",""
"9","16101","S080","1.5","有回答 publish 與訊息散播概念，但未清楚說明 channel 對應 group 與 subscribe/join group 機制，故酌扣分。"
"10","11376","S003","2.0",""
"11","12729","S035","2.0",""
"12","13558","S037","2.0",""
"13","12620","S097","2.0",""
"14","12733","S013","1.5","有回答 subscribe 與訊息傳遞概念，但 group 模型不夠精確（誤分 publisher/subscriber groups），故酌扣分。"
"15","12992","S040","2.0",""
"16","11313","S124","2.0",""
"17","13069","S121","2.0",""
"18","16204","S068","0.0","討論 clock 同步問題，與 group communication 實作無關"
"19","12217","S102","2.0",""
"20","12319","S034","2.0",""
"21","11539","S084","2.0",""
"22","15906","S079","0.5","回答偏向 tuple space / client-server communication，未正確說明 channel-based pub/sub 如何以 group communication 實作，故僅部分給分。"
"23","16160","S122","0.0","內容與題目無關"
"24","12302","S086","2.0",""
"25","13129","S052","2.0",""
"26","12464","S033","1.5","channel 對應 group 與 subscribe/join group 機制"
"27","13115","S123","1.5","multicasting"
"28","12067","S027","2.0",""
"29","13891","S081","0.5","回答偏向一般 distributed/group communication，未正確說明 channel-based pub/sub 的實作方式，且 publish/subscribe 概念描述不正確，故僅部分給分。"
"30","13673","S087","2.0",""
"31","14504","S022","0.0","題目是 publish/subscribe system  你回答的是open close"
"32","12988","S110","2.0",""
"33","12858","S082","2.0",""
"34","12513","S105","0.0","描述 push/pull 模型，與 group communication 實作無關"
"35","11621","S111","2.0",""
"36","12215","S085","2.0",""
"37","12379","S004","2.0",""
"38","12041","S046","2.0",""
"39","11504","S005","0.0","回答過於簡略，未解釋如何用 group communication 實作"
"40","11455","S014","0.5","Subscribing   Publishing"
"41","15003","S107","2.0",""
"42","12754","S126","0.0","回答不完整"
"43","14892","S017","2.0",""
"44","12857","S115","2.0",""
"45","12082","S089","2.0",""
"46","12708","S094","2.0",""
"47","13137","S066","2.0",""
"48","12146","S041","2.0",""
"49","15105","S031","1.5","Each channel is mapped to a multicast group."
"50","12099","S116","2.0",""
"51","12893","S059","2.0",""
"52","12924","S064","1.0","沒有提到group communication"
"53","12681","S101","2.0",""
"54","12252","S103","1.5","但未清楚說明 channel 對應 group 與 subscribe/join group 機制，故酌扣分"
"55","13144","S104","2.0",""
"56","12712","S023","2.0",""
"57","12008","S113","2.0",""
"58","12350","S055","2.0",""
"59","12456","S067","2.0",""
"60","13124","S076","2.0",""
"61","11404","S074","2.0",""
"62","12650","S063","2.0",""
"63","12527","S090","2.0",""
"64","12734","S100","1.5","有回答 group dissemination 概念，但未清楚說明 channel 對應 group 與 subscribe/join group 機制，故酌扣分"
"65","11748","S114","0.0","未作答（not sure）"
"66","13109","S038","1.5","group communication 實作"
"67","12389","S047","2.0",""
"68","13418","S044","2.0",""
"69","12466","S075","1.0","有回答 pub/sub 解耦與基本概念，但未說明如何透過 group communication 實作，故部分給分。"
"70","12234","S030","1.5","完整說明 channel 對應 group 與 multicast 機制"
"71","11986","S106","2.0",""
"72","12367","S019","2.0",""
"73","11994","S020","0.5","有回答 pub/sub 基本概念，但未說明如何透過 group communication 實作，故僅部分給分。"
"74","15330","S010","1.0","有回答 pub/sub 基本流程，但未說明如何透過 group communication 實作，故部分給分。"
"75","12686","S091","0.5","multicast group
channel"
"76","12136","S051","1.0","未說明如何透過 group communication 實作"
"77","12885","S039","2.0",""
"78","12209","S018","2.0",""
"79","12038","S049","1.5","未完整說明 channel 對應 group 與 multicast 機制"
"80","12409","S053","2.0",""
"81","12560","S092","1.5","有回答 subscribe 與 multicast 概念，但未清楚說明 channel 對應 group，且 multicast 描述略不精確，故酌扣分。"
"82","11860","S125","0.5","未正確說明以 group communication 實作（如 group mapping / multicast），描述較偏向自行檢查與過濾機制，故僅部分給分。"
"83","12373","S050","2.0",""
"84","12455","S036","2.0",""
"85","12143","S048","2.0",""
"86","12331","S112","2.0",""
"87","12166","S006","1.0","未說明如何透過 group communication 實作，故部分給分。"
"88","12339","S057","2.0",""
"89","14544","S002","1.0","multicasting"
"90","12348","S007","1.5","未清楚說明 channel 對應 group 與 subscribe/join group 機制"
"91","14120","S118","1.0","沒寫完"
"92","16164","S016","0.0","回答不完整"
"93","14938","S083","2.0",""
"94","12488","S088","2.0",""
"95","13228","S058","2.0",""
"96","12059","S043","2.0",""
"97","11851","S060","1.0","Each channel is mapped to a multicast group"
"98","12120","S024","1.5","未完整說明 channel 對應 group 與 join group 機制"
"99","12417","S095","2.0",""
"100","12336","S077","2.0",""
"101","14689","S120","1.5","有回答 subscribe 與 group 關係，但未完整說明 channel 對應 group 與 multicast 機制，故酌扣分。"
"102","12720","S073","2.0",""
"103","12277","S069","2.0",""
"104","12693","S072","2.0",""
"105","15043","S042","2.0",""
"106","12548","S071","1.0","有回答 pub/sub 基本概念與解耦，但未說明如何透過 group communication 實作，故部分給分。"
"107","12198","S062","1.5","未清楚說明 channel 與 group 的對應關係(multicast"
"108","12531","S045","2.0",""
"109","13203","S056","2.0",""
"110","13360","S128","0.5","是在講 network performance / deployment environment?? 不是 implementation mechanism"
"111","13408","S029","2.0",""
"112","12376","S065","2.0",""
"113","12688","S098","2.0",""
