"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","13125","S109","(1) cmp 中的 cpu 通常都會緊密相連，只要有其中一個 cpu 掛掉的話，就可能會導致數個 cpu 也掛掉；而mp就是沒有這個問題
(2) mp 比較好做擴充，不像是後者會有物理上、散熱上的限制","1","Point 1 missing: only mentions failure propagation and scalability, no shared L2 cache contention",""
"2","11168","S015","1. On CMPs, an L2 cache could be added to improve the overall performance. But traditional MP can't take advantage of this strategy.
2. On CMPs, all components are close to each other. Thus, a failure of single shared component may bring down multiple processors. But this problem won't occur to traditional MP.","1","Point 1 not fully correct: 'L2 cache added to improve performance' is not the same as shared L2 cache causing contention; Point 2 correct",""
"3","14179","S054","1, efficiency
2, architecture","0","Too vague - 'efficiency' and 'architecture' are not specific differences between MP and CMP",""
"4","11121","S117","1. CMP共用L2 cache可能影響performance: 當一個core佔據太多entries of cache, 其他core無法存太多data 到cache, 整體效率下降
2. processors is closely connected in CMP, if one component failure, may broken several processor once.","2","",""
"5","11080","S093","1. MP的scalability比CMP好，因為CMP受限於物理上的晶片位置不足，要再擴充有難度；而MP只需額外的材料即可，例如: bus controller
2. 因為CMP的每個CPU靠得很近，所以如果一個shared component壞掉了，可能會有很多的CPU壞掉","1","Point 1 missing: only discusses scalability and failure propagation, no shared cache contention",""
"6","10978","S012","1. processors in MP are connected with bus, while processors in CMP are attached on a single chip
2. CMP shares L2 cache, if there is a greedy core, it could occupy too much cachem and slows down other cores","2","",""
"7","11028","S108","CMP 在不同的 processor 之間有共用的 L2/L3 cache
CMP 的可擴充性較 MP 差，MP 只需要增加 bus component，但是 CMP 需要在晶片上增加新的 processor 有散熱以及排線等等問題不易解決。","2","",""
"8","11106","S099","1. Chip-level 是共用 L2 Cache 的，因此若有某個 processor 去佔據大量的 L2 Cache 空間，會嚴重影響其他 processor 的效能。
2. Chip-level 的所有元件都在一片晶片上，且排列得非常緊密，因此若有某共享元件壞掉，很容易造成多個 processors 故障。","2","",""
"9","11207","S070","1.cmp是都做在同一個chip，他們共享L2 cache
2.cmp的擴展性比較低，要考慮散熱跟空間等，而mp直接接上bus就好","2","",""
"10","11125","S080","the L2 shared cache may affect performance. the greedy core may had lots of cache to effect others' performance
the MP has multiple processors via a shared system bus, while the CMP's multiple processors is intergrated  in a single chip.","1","Point 2: only describes architecture difference (bus vs chip) without failure/scalability implication",""
"11","11004","S003","CMP's L2 cache can share and would affect performance
CMP's cpu are allocated more closely, and would bring down others due to failure of one cpu","2","",""
"12","11225","S035","1. the shared L2 cache may influence the performance, since the greedy core may occupy the cache resource, and hurt other cores.
2. the cores in Chip-level Multiprocessor is close, when the component or resources crash, it may influence multiple cores.","2","",""
"13","11454","S037","1. CMP shared the L2 cache, a greedy process may affect other process
2. In CMP, one component fail in memory may affect other process","2","",""
"14","11170","S097","1. On CMP CPU's are located on the same chip and they share some resources (e.g. cache). On the other hand MP system is when where several CPU's are located on different chips, but connected via a bus.

2. These systems differ in their scalability. On MP it's simpler to add more chips, because just need to add more buses. On CMP it's harder to place more CPU""s on the same cheap, because of spatial and heat constraints.","2","",""
"15","14863","S013","1. CMP is worse on scalability  than MP
2. CMP has the problem that single point of failure","1","Point 1 missing: only scalability and single point of failure, no shared L2 cache contention",""
"16","11275","S040","1. CMP share the cache on chip, which may cause some problem like one process took all L2 cache
2. CMP is more weak. if some component fault, all processor may fault","2","",""
"17","11034","S124","- CMP shares the L2 cache between processors, which can affect the performance of the system if a processor is greedy and keeps using it (while no cache is shared in MP)
- In CMP, processors are tightly connected together as they are in the same chip, therefore, in case of a processor failure, other processors may fail as well (which doesn't happen in MP)","2","",""
"18","11254","S121","- Scalability : to scale a MP, it only requires to add a processor and a bus with its controller while for CMP, it is not easy to add a new processor to the chip because of the physical limits (e.g. overheat)
- A MP is multiple processors connected by a bus while a CMP is multiple processors only one chip. ","1","Point 1 missing: only describes architecture and scalability, no shared cache contention",""
"19","11074","S068","1. CMP 上面的 processor 可以共享 L2 cache 使溝通成本比 MP 低
2. 共用元件故障可能影響多核心","2","",""
"20","11164","S102","CMP的core彼此之間比較近，所以shared component壞掉的時候，有可能會有很多個core一起壞掉
如果有比較greedy的core的話，L2 cache會被它佔滿，導致其他的core效能下降。","2","",""
"21","11204","S034","1.跟MP相比CMP的L2是共享的，因此如果有greedy core的話，可能會佔掉大數的L2。
2.CMP是整合在一個晶片上，所以如果有共享的元件壞掉時，可能會有多個CPU失效。","2","",""
"22","10952","S084","1. CMP的設計可以共享L2 cache，可能會有greedy core霸佔這個cache的問題。
2. CMP內部的元件是tightly connected，一個元件故障就可能讓整個系統死機。","2","",""
"23","11136","S079","chip level multiprocessor通常會share L2 cache, 在這個前提下，就會有兩個差異出現
1. 如果其中一個是greedy core, 因為share cache的關係，會影響其他core 的performance
2. 如果一個component fail, 則其他core processor也會一起陪葬","2","",""
"24","12957","S122","l2 cache的位置
server執行位置


","0","Too vague - 'l2 cache的位置' and 'server執行位置' are not clear differences",""
"25","11127","S086","1. The shared L2 cache can affect the performance.
2. The CPU on the CMP are so closely connected, and the shared component failure may bring down multiple CPUs at once.","2","",""
"26","11203","S052","1. For CMP, CPUs and shared memory are integrated in a chip, while traditional MP is a bigger system.
2. For CMP, CPUs of CMP is closely connected in a small chip, so if a shared component fails, the whole system fails.","1","Point 1 missing: only describes architecture and failure propagation, no shared cache contention",""
"27","11054","S033","1.MP比較容易做擴充，CMP則須考慮架構及溫度
2.CMP容易因為核心放在一起，在出現failure時多個核心會一起出現問題","1","Point 1 missing: only scalability and failure, no shared L2 cache contention",""
"28","11305","S123","1. A greedy core may hold a lot of shared cache to hurt the performance of other cores.
2. All CPUs of CMPs are closed connected, so the shared component failures may bring down multiple CPUs.","2","",""
"29","11069","S027","structure:MP:separates cpu connected by a bus,CMP:multiple cores on one chip
shared resource/failure:CMP shared L2 cache and shared component may cause performance interference and multipule-core failure","2","",""
"30","12295","S081","1.  traditional MP shared RAM and the CMP has shared memory
2.  traditional MP uses TSL and CMP uses deadlocks","0","Describes shared RAM/memory and TSL/deadlocks, which are not the correct differences",""
"31","11160","S008","1. Since CPUs are closely connected on CMP, a common resource/component failure may lead to the whole system's failure.
2. MP is more scalable, since it only takes additional bus controller to add a new processor, whereas it is challenging to add more CPUs on the chip due to some physical barriers (chip area cost,散熱問題 etc).","2","",""
"32","14403","S078","MP have same cache
CMP need to run on each chip","0","Statements too vague - 'MP have same cache' and 'CMP need to run on each chip' do not clearly identify differences",""
"33","11120","S087","1.因為在CMP中，L2 cache是共享的，可能會因為greedy core霸佔L2 cache而造成效能變差
2.CMP的各個processor都在同個chip上，如果共享元件壞掉，整個系統都沒辦法順利運行","2","",""
"34","10887","S022","1. L1 cache is closer to processor in CMP.
2. ","0","Only mentions L1 cache proximity; second point is empty. No valid differences identified",""
"35","12093","S110","1. CMP shared L2 cache may affect performance
2. CMP gets all CPU in single chip, has single point failure problem","2","",""
"36","11181","S082","1. CMP shares the L2 cache.
2. MP's scalaribility is better than CMP which is limited by the hardware.","2","",""
"37","11117","S105","1. L2 layer cache is shared in CMP, but is not shared in MP.
2. More shared resources in CMP would cause the cores in the same chip fail together easier.","2","",""
"38","10976","S111","1. CMP有L2 cach，有些時候會被特定processor大量佔用。
2. CMP因為各個component很接近，因此可能會有某些元件crash時，多個元件一起crash的風險","2","",""
"39","11130","S085","CMP較集成，不易擴展規模
CMP共用L2 cache，有發生資源分配不均的可能性

","2","",""
"40","11078","S004","共享L2 cache影響效能:某個greedy core占用大量cache，進而傷害其他core效能
Chip-level multiprocessor的CPU連結緊密:一旦部分元件壞掉可能讓多個CPU一起失效","2","",""
"41","11089","S046","1. MPs 通常由多個 processors 透過shared bus組成，CMP會將多個processors整合到單一chip上。
2. MPs is more scalable than CMP。","1","Point 1 missing: only architecture difference and scalability, no shared L2 cache contention",""
"42","11046","S005","1.CMP may shared L2 cache, Mp will not
2.CMP is on the chip, so its scalability  is poor","2","",""
"43","11081","S014","MP擴展性好，CMP共享效能較佳
","0","Too vague - 'MP擴展性好，CMP共享效能較佳' does not identify two specific, clear differences",""
"44","11131","S107","1. CMP:  the shared component failure may affect multiple cpus.
2. each CPU in MP has its own memory, while CMP shares a memory pool.","1","Point 1 missing: only failure propagation and memory architecture difference, no shared L2 cache contention",""
"45","11219","S126","1.cmp多了L2 cache 可能會有greegy core 占用記憶體
2.CMP core 都集中在同一個晶片上，會有溫度過高等問題","2","",""
"46","12576","S017","1.CMP有 shared L2 cache，但greedy one 可能占用shared cache導致其他processors效能低下
2.MP通常都是好幾個processors由shared bus來連結，但CMP則是所有processors integrated on a single chip.
3.CMP因為緊密相連在一個CHIP上，shared components壞掉的話可能直接讓所有人一起故障","2","",""
"47","10931","S115","A CMP have a shared L2 cache, which might lower performance when a greedy core is present
When traditional MP uses system buses to communicate, a CMP usually are directly integrated to one another
When a processor in CMP dies, it will very likely effect CMPs nearby","2","",""
"48","11286","S089","1. MP利用Bus system來連結，CMP將CPU融合進一塊晶片中
2. MP的Scalability比CMP大得多
3. CMP因為CPU緊密連接，所以一旦發生錯誤很容易大區域的Error","2","",""
"49","11058","S009","MP have great scalability due to only change its bus controller, but CMP is difficult due to its physical space 
CMP is a system on integrated-chip level and MP is not","1","Point 1 missing: only scalability and architecture difference, no shared L2 cache contention",""
"50","11369","S094","1. traditional MP是將多個處理器透過bus連接在一起，CMP是將多個CPU裝在同一個晶片上
2. traditional MP的可擴充性較高，因為CMP會受限於散熱與晶片面積","1","Point 1 missing: only architecture and scalability differences, no shared L2 cache contention",""
