"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","4560","S109","circular wait, hold and wait","2","答對 circular wait、hold and wait，缺 mutual exclusion 與 no preemption",""
"2","2899","S015","1. The resource is non-preemptive
2. busy waiting
3. 2 or more processes hold at least 1 resource
4. 2 or more processes need resources held by others to execute","3","答對 no preemption、hold and wait、circular wait，「busy waiting」非 deadlock 必要條件",""
"3","6147","S117","no one enter the critical section
more than one process want to access critical section
critical section has lock
no one get the key of lock","0","所述內容（critical section 無人進入、lock/key）均非 deadlock 四個必要條件",""
"4","3110","S093","mutual exclusion, hold and wait, no preemption, circular waiting","4","",""
"5","3866","S012","1. mutual exclusion
2. hold and wait
3. no preemtion
4. circular wait","4","",""
"6","4566","S108","Hold and wait,
Cirtular waiting,
multiple shared resources,
mutual exclution.","3","答對 hold and wait、circular wait、mutual exclusion，「multiple shared resources」非標準必要條件",""
"7","6369","S099","1. Multiple process running
2.  ","0","僅答「Multiple process running」，其餘空白，未答出任何 deadlock 必要條件",""
"8","6729","S070","1.A等B釋放資源 2.B等A釋放資源 3.","1","僅隱含 circular wait（A 等 B、B 等 A），其餘三個條件未提及",""
"9","4424","S080","1. 競爭相同資源：兩個或以上的process需要同一個資源，並且他們不能同時進入
2. 手上拿著其他process需要的資源
3. no preemption:無法搶其他process的資源
4. circular wait：所有process手上有的資源與等待的資源形成一個circle","4","",""
"10","4689","S003","more than one process
multiple resources
both waiting for the each locks","1","描述模糊，僅隱含 circular wait 概念，其餘三個條件未答出",""
"11","3562","S035","1.  the system has two or more threads(processes)
2.  two or more threads(processes) hold the lock or resource simulataneously
3.  when a thread(process) hold the lock, but want to get another lock or resource hold by others
4. both or more threads(processes) don't release their lock and can't get the resource hold by others(other threads(processes) also wait the lock hold by this thread), then no one can't finish the task and release the lock.","2","答對 hold and wait、circular wait，其餘兩項（mutual exclusion、no preemption）未明確提及",""
"12","6126","S037","1. more than one lock
2. two process access the same critical section
3. two process run concurrntly
4. two process get the lock in different order(Process A get x lock first then get y lock, Process B get y lock first and get x lock.)","1","僅第 4 點描述 circular wait 正確，其餘三點均非標準 deadlock 必要條件",""
"13","6223","S096","- No resource preemption
- No mutual exclusion - processes can take resource that other processes may use
- Circular wait (each process waits for a resource the other process holds)","2","答對 no preemption、circular wait；「No mutual exclusion」描述與標準條件相反，不予給分",""
"14","4383","S013","mutex, circular waiting, hold and wait, no preemption","4","",""
"15","3189","S121","{
  ""text"": """"
}","0","空白作答",""
"16","6534","S068","1. circular waiting
2. no preemptive
3. hold and wait
4. ","3","答對 circular waiting、no preemptive、hold and wait，第 4 條空白，缺 mutual exclusion",""
"17","6447","S034","1)thread/process多個同時執行
2)thread/process共享相同資源","0","僅描述多個 thread 與共享資源，均非 deadlock 四個必要條件",""
"18","6634","S084","1. priority inversion
2. priority scheduling
3. busy waiting
4. without priority inheritance","0","所答 priority inversion、priority scheduling、busy waiting 等均非 deadlock 必要條件",""
"19","6744","S079","semaphore<=0: somebody's waiting in the ready queue","0","描述 semaphore 機制，非 deadlock 必要條件",""
"20","6617","S122","排程時間
處理時間
匯入時間
條件","0","所答「排程時間、處理時間、匯入時間、條件」均非 deadlock 必要條件",""
"21","5361","S027","Mutual Exclusion
Hold and Wait
No preemption
Circular wait","4","",""
"22","5994","S081","four necessary conditions-
1. override the operating system
2. kernel mode
3.  resource override
4. overload of the physical memory","0","所答 override OS、kernel mode、resource override 等均非 deadlock 必要條件",""
"23","5841","S008","1. All the process are waiting for some resources.
2. ","1","僅隱含等待資源概念，其餘條件未明確作答",""
"24","6196","S078","no","0","答 no，無實質i作答",""
"25","3368","S087","1.mutual exclusion
2.hold and wait
3.non-preemptive
4.circular waiting","4","",""
"26","2974","S022","Mutual exclusion, hold and wait, no preemption, circular waiting.","4","",""
"27","5889","S110","mutual exclusion
hold and wait
no preemption
circular wait","4","",""
"28","4475","S111","RC?","0","無效作答（「RC?」）",""
"29","3530","S085","非搶佔：程式不因搶佔而中斷、釋放鎖
持有等待：不在持有鎖的同時等待其他資源
互斥：資源不可同時與多程式共享
循環等待：等待鏈成為圈","4","",""
"30","3471","S004","1.mutual exclusion
2.hold and wait
3.no preemption
4.circular wait
","4","",""
"31","6474","S046","Ｒｅａｄｙ、Ｒｕｎｎｉｎｇ、Ｂｌｏｃｋｅｄ、Ｚｏｍｂｉｅ
","0","所答為 process 狀態（Ready/Running/Blocked/Zombie），非 deadlock 必要條件",""
"32","6466","S005","1.many process want to access the shared source at the same time
2.cause race condition
3.the priority is the same
4.nobody get the lock","0","描述 race condition，非 deadlock 四個必要條件",""
"33","3621","S061","mutex ,progress, bounded waiting , hold and wait.","2","答對 mutual exclusion、hold and wait，「progress」與「bounded waiting」為 critical section 條件，非 deadlock 必要條件",""
