"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1591","S109","hellohello","1","未說明 done 不會印出",""
"2","1597","S015","hello hello","1","未說明 done 不會印出",""
"3","1541","S054","print 兩個 hello (excel後不會執行最後一行的print done)","2","",""
"4","1578","S117","hello hello","1","未說明 done 不會印出",""
"5","1530","S093","輸出2個hello","1","未說明 done 不會印出",""
"6","1564","S012","hellohello","1","未說明 done 不會印出",""
"7","1498","S108","two times of hello","1","未說明 done 不會印出",""
"8","2066","S099","hello","0","未說明 fork，hello 次數錯誤",""
"9","1568","S070","hellohello","1","未說明 done 不會印出",""
"10","1616","S080","hello","0","未說明 fork，hello 次數錯誤",""
"11","1539","S003","hello hello","1","未說明 done 不會印出",""
"12","1510","S035","print hello two times","1","未說明 done 不會印出",""
"13","1531","S037","兩個process分別echo hello","1","未說明 done 不會印出",""
"14","1520","S096","hello","0","未說明 fork，hello 次數錯誤",""
"15","1554","S013","hello","0","未說明 fork，hello 次數錯誤",""
"16","1600","S040","output hello in two line","1","未說明 done 不會印出",""
"17","1580","S124","It prints ""hello"" 2 times","1","未說明 done 不會印出",""
"18","1641","S121","It prints 2 times : hello","1","未說明 done 不會印出",""
"19","6747","S068","hellow hellow done","0","誤稱 done 會被印出",""
"20","1464","S102","print hello 2 times","1","未說明 done 不會印出",""
"21","1787","S034","fork(): generate child process; excel():transfer function to print ""hello"", and final print ""done"".","0","誤認 done 會印出，execl 行為描述錯誤",""
"22","5435","S084","2次hello跟2次的done","0","誤認 done 會印出兩次",""
"23","1779","S079","parent 和children的process or function都會被改成echo and terminate, after that the system will print done.","0","誤認系統會印出 done",""
"24","1445","S122","done","0","只說 done，核心概念錯誤",""
"25","1521","S086","hello hello done done","0","誤認 done 會印出兩次",""
"26","1545","S052","print out : hellodone","0","誤認 done 會印出",""
"27","1552","S033","done","0","只說 done，核心概念錯誤",""
"28","1594","S123","none","0","答案完全錯誤",""
"29","1532","S027","hello hello","1","未說明 done 不會印出",""
"30","1463","S081","echo hello done","0","誤認 done 會印出",""
"31","1456","S008","hello hello","1","未說明 done 不會印出",""
"32","2423","S078","hellohello","1","未說明 done 不會印出",""
"33","1479","S087","""hello""""hello""","1","未說明 done 不會印出",""
"34","1473","S022","echo hellodone\n","0","誤認 done 會印出",""
"35","2576","S110","hellohello","1","未說明 done 不會印出",""
"36","1537","S082","hellohello","1","未說明 done 不會印出",""
"37","1657","S105","hellohello","1","未說明 done 不會印出",""
"38","1582","S111","hello","0","hello 次數錯誤，未說明 fork",""
"39","1556","S085","hello\nhello，不會輸出done","2","",""
"40","1558","S004","hellohello","1","未說明 done 不會印出",""
"41","1470","S011","印兩次hello","1","未說明 done 不會印出",""
"42","2205","S046","print hello 2 times","1","未說明 done 不會印出",""
"43","3436","S005","hello hello","1","未說明 done 不會印出",""
"44","4688","S061","hello hello done","0","誤認 done 會印出",""
"45","4480","S014","done done","0","答案完全錯誤",""
"46","1566","S028","hellohello","1","未說明 done 不會印出",""
"47","1538","S107","hello done","0","誤認 done 會印出",""
"48","5993","S126","done","0","只說 done，核心概念錯誤",""
"49","1744","S017","hellohello    該程式只會輸出兩個hello，因為excel會取代程式碼，所以後面的printf(""done\n"")根本不會被執行，parent process和child process都只執行到execl那行，各自輸出一個hello就結束了","2","",""
"50","1709","S115","hellohellohellohellodone","0","hello 次數錯誤且誤認 done 會印出",""
"51","1536","S089","print兩次hello","1","未說明 done 不會印出",""
"52","1583","S009","hello done","0","誤認 done 會印出",""
"53","1515","S094","2","1","僅以數字 2 作答，未說明 done 不會印出",""
"54","2816","S066","2","1","僅以數字 2 作答，未說明 done 不會印出",""
"55","3567","S041","輸出兩個 hello","1","未說明 done 不會印出",""
"56","2262","S031","hellodonehellodone","0","誤認 done 會印出",""
"57","1593","S116","hello hello","1","未說明 done 不會印出",""
"58","1821","S059","hellohello","1","未說明 done 不會印出",""
"59","3531","S064","hello hello done","0","誤認 done 會印出",""
"60","1547","S101","hellohello","1","未說明 done 不會印出",""
"61","1691","S103","hellohello","1","未說明 done 不會印出",""
"62","1814","S104","done","0","只說 done，核心概念錯誤",""
"63","6442","S023","print 2 times hello and done","0","誤認 done 會印出",""
"64","1416","S113","hello","0","hello 次數錯誤，未說明 fork",""
"65","1610","S055","hello hello","1","未說明 done 不會印出",""
"66","1622","S119","hellodone hellodone","0","誤認 done 會印出",""
"67","2174","S067","hello done hello done","0","誤認 done 會印出",""
"68","1733","S076","Two processes print done. Thus, done is printed twice.","0","誤認 done 印兩次，核心概念完全錯誤",""
"69","6386","S074","done done","0","答案完全錯誤",""
"70","1596","S063","hello hello","1","未說明 done 不會印出",""
"71","1555","S090","hellohello","1","未說明 done 不會印出",""
"72","1700","S100","hello, hello","1","未說明 done 不會印出",""
"73","1523","S114","hello","0","hello 次數錯誤，未說明 fork",""
"74","1500","S038","hellohello","1","未說明 done 不會印出",""
"75","1842","S047","hellohello","1","未說明 done 不會印出",""
"76","1667","S044","hellohello","1","未說明 done 不會印出",""
"77","1570","S075","輸出兩個hello","1","未說明 done 不會印出",""
"78","1501","S030","child 會輸出 hello, 本身會輸出 done","0","誤認父行程輸出 done，忽略 execl 取代行為",""
"79","1668","S106","hello","0","hello 次數錯誤，未說明 fork",""
"80","6125","S019","""hello"" ""hello""","1","未說明 done 不會印出",""
"81","1551","S020","hellohello","1","未說明 done 不會印出",""
"82","1477","S010","hellodone","0","誤認 done 會印出",""
"83","2007","S091","hellodone","0","誤認 done 會印出",""
"84","1480","S051","It will only print 2 ""hello"".","2","",""
"85","1494","S039","hellohello","1","未說明 done 不會印出",""
"86","1585","S018","兩個程式code都改成/bin/echo的程式，原本printf不會產生。","2","",""
"87","2144","S049","輸出 hello 兩次 ","1","未說明 done 不會印出",""
"88","1665","S053","hello hello","1","未說明 done 不會印出",""
"89","1816","S092","hello","0","hello 次數錯誤，未說明 fork",""
"90","1612","S125","hello","0","hello 次數錯誤，未說明 fork",""
"91","1614","S021","hello","0","hello 次數錯誤，未說明 fork",""
"92","1603","S050","hello","0","hello 次數錯誤，未說明 fork",""
"93","1549","S036","/bin/echo echo hello done","0","誤認 done 會印出",""
"94","1625","S048","hello","0","hello 次數錯誤，未說明 fork",""
"95","2183","S112","0","0","答案完全錯誤",""
"96","1497","S006","hello, hello","1","未說明 done 不會印出",""
"97","1840","S026","/bin/hello done done","0","答案完全錯誤",""
"98","4229","S032","done","0","只說 done，核心概念錯誤",""
"99","1958","S057","印出兩次 hello ,  done","0","誤認 done 會印出",""
"100","1800","S002","hellohello","1","未說明 done 不會印出",""
"101","1682","S007","hello\nhello\n","1","未說明 done 不會印出",""
"102","1742","S016","done","0","只說 done，核心概念錯誤",""
"103","1672","S083","hello,done","0","誤認 done 會印出",""
"104","1638","S088","hello hello done","0","誤認 done 會印出",""
"105","1918","S058","hellohellodone","0","誤認 done 會印出",""
"106","1590","S043","excel 抹去fork的內容，執行''/bin/echo'', print: done ","0","誤認只印 done，execl 行為描述錯誤",""
"107","1526","S060","印兩個hello 然後印done","0","誤認 done 會印出",""
