"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3989","S109","2^12= 4Kb","2","",""
"2","3815","S015","2^{11} entries","1","使用 physical memory 2^31 計算得 2^11=2048，部分理解但未用 virtual address 2^32",""
"3","3892","S054","2048","1","答案 2048 對應 2^11，使用 physical memory 計算",""
"4","5108","S117","4096","2","",""
"5","4101","S093","4K(2^12)","2","",""
"6","5378","S012","2048","1","答案 2048 對應 2^11，使用 physical memory 計算",""
"7","6053","S108","4096","2","",""
"8","5006","S099","4096","2","",""
"9","3664","S070","2^12=4K","2","",""
"10","5981","S080","4Kbyte","2","",""
"11","2334","S003","4096","2","",""
"12","5085","S035","32-20 = 12, 2^12 = 4096   , Ans : 4096","2","",""
"13","5259","S037","4KB","2","",""
"14","5039","S096","2^(31 - 20) = 2^11 = 2048","1","使用 physical memory 2^31 計算得 2^11=2048，正確推導方向但用了錯誤基數",""
"15","5326","S013","4096 entries","2","",""
"16","5036","S040","4KB","2","",""
"17","5294","S124","2^11 = 2048 entries","1","答案 2^11=2048，使用 physical memory 2^31 而非 virtual address 計算",""
"18","4826","S121","2^19","0","答案 2^19 錯誤，不正確",""
"19","6749","S068","1024","0","答案 1024 錯誤",""
"20","3990","S102","2048","1","答案 2048 對應 2^11，使用 physical memory 計算",""
"21","5314","S034","2^(32-20)=2^12=4096 entries","2","",""
"22","4531","S084","(2^32)/(2^20)=4KB","2","",""
"23","6197","S079","2048 (211) entries","1","答案 2048 對應 2^11，使用 physical memory 計算",""
"24","4036","S122","4KB","2","",""
"25","2762","S086","4 KB","2","",""
"26","5400","S052","4096 entries","2","",""
"27","5621","S033","4096","2","",""
"28","4477","S123","4096","2","",""
"29","4513","S027","2^12=4096","2","",""
"30","5747","S081","11098 entires","0","答案 11098 錯誤",""
"31","5689","S008","4096","2","",""
"32","2388","S078","2^21","0","答案 2^21 錯誤",""
"33","4054","S087","4096","2","",""
"34","4030","S022","2^12 entries","2","",""
"35","6579","S110","2^21","0","答案 2^21 錯誤",""
"36","4947","S082","2^12 = 4096","2","",""
"37","6224","S105","4096","2","",""
"38","4102","S111","2 ^ 12","2","",""
"39","4496","S085","2^32/2^20=2^12=4096","2","",""
"40","4452","S004","4096","2","",""
"41","2356","S011","2048","1","答案 2048 對應 2^11，使用 physical memory 計算",""
"42","4385","S046","4K entries","2","",""
"43","5775","S005","4K","2","",""
"44","2002","S061","4096","2","",""
"45","3684","S014","4096","2","",""
"46","4123","S028","4096 entries","2","",""
"47","3473","S107","12","0","答案 12 為 bit 數而非 entry 數，未給出正確頁表項數",""
"48","4549","S126","2(12)=4096 entries","2","",""
"49","3759","S017","4K enrties    也就是2的12次方  (32-20=12)","2","",""
"50","5498","S115","4096","2","",""
"51","3082","S089","4K entries","2","",""
"52","3630","S009","4K entries","2","",""
"53","2502","S094","21","0","答案 21 錯誤",""
"54","6370","S066","2^12","2","",""
"55","3022","S041","4096","2","",""
"56","5483","S031","4096 entries","2","",""
