"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2503","S109","SCAN: 90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","","",""
"2","2566","S015","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"3","6358","S054","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 40","","",""
"4","3655","S117","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"5","2791","S093","SCAN: 90 120 130 45 20 10 5
C-SCAN: 90 120 130 5 10 20 45","","",""
"6","3172","S012","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"7","3978","S108","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"8","2981","S099","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"9","2469","S070","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 45","","",""
"10","3946","S080","SCAN: 80->90->120->130->45->20->10->5
C-SCAN: 80->90->120->130->5->10->20->45","","",""
"11","3301","S003","Scan
90, 120, 130, 45, 20, 10, 5
C-SCAN
90, 120, 130, 5, 10, 20, 45","","",""
"12","3171","S035","SCAN : 90 120 130 45 20 10 5
C-SCAN : 90 120 130 5 10 20 45","","",""
"13","4020","S037","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","","",""
"14","2573","S096","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"15","3937","S013","1. 80, 90, 120, 130, 149, 0, 5, 10, 20, 45 
2. 80, 90, 120, 130, 5, 10, 20, 45","","",""
"16","3843","S040","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"17","2206","S124","SCAN : 90 120 130 45 20 10 5 
C-SCAN : 90 120 130 5 10 20 45 ","","",""
"18","2706","S121","SCAN : 90, 120, 130, 5, 10, 20, 45
C-SCAN : 90, 120, 130, 5, 10, 20, 45","","",""
"19","6616","S068","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","","",""
"20","2747","S102","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN:90, 120, 130, 5,10,20,45

","","",""
"21","4046","S034","SCAN: 90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","","",""
"22","3346","S084","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN : 90, 120, 130, 5, 10, 20, 45","","",""
"23","4031","S079","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","","",""
"24","2385","S122","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 45","","",""
"25","3210","S086","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","","",""
"26","3590","S052","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN : 90, 120, 130, 5, 10, 20, 45","","",""
"27","3627","S033","SCAN:90 120 130 45 20 10 5
C-SCAN:90 120 130 5 10 20 45","","",""
"28","2827","S123","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN:90, 120, 130, 5, 10, 20, 45","","",""
"29","2782","S027","SCAN:90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","","",""
"30","1926","S081","scan: 90, 120, 130, 45, 20, 10, 5
c-scan: 90, 120, 130, 45, 20, 5, 10","","",""
