question_id,question_order,max_score,model_id,exam_answer_id,subject_id,answer_text,ai_score,human_score,diff,abs_diff,squared_diff,prompt_preview
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,14537,S109,(1) server is down after receiving a request (2)client is down after sending a request (3)request message is lost,2.0,2.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10956,S015,"1. Passing pointer as parameters. It happens when passing a complicated structure.
2. Passing the unbounded numbers of parameters, such as `printf()` function in C.
3. Passing global variable as parameters.",0.0,0.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,13780,S054,"1, LostReq 
2, LostResp
3, SurCrash (before receiving request)",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10910,S117,"1. lost of request
2. lost of response
3. unsussesful execution of request",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,13478,S093,"1. LostResp: lost response message
2. LostReq: lost request message
3. SerCrash: server crashes",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10866,S012,"1. server is lost
2. request message is lost
3. reply message is lost",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,15063,S108,"Server Crash, 
Reciever Lost, 
Sender Lost",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10902,S099,"1. Request message is lost.
2. Reply message is lost.
3. Server crash.",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10861,S070,1.request lost 2. response lost 3.server crash after received request,3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10855,S003,"request message lost
response message lost
Server Crash",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10858,S035,"1. the request message is lost
2. the reply message is lost
3. the server crashed during the execution of the request message (after receiving the request) ",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,11031,S037,"request lost, reply lost, server crash after receiving request",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10922,S097,1. Request lost 2. Response lost 3. Client/Server crash,3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,15221,S013,"1. LostReq
2. LostResp
3. SrvCrash",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,11006,S040,"1. request from client to server loss
2. response from server to client loss
3. server crash before send response",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10991,S124,"- Server not found 
- Lost reply 
- Lost request ",2.0,2.5,-0.5,0.5,0.25,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,11082,S121,"- LosReq : the resquest is lost
- LosRes : The response is lost 
- SerCrash : the server has crashed. He has been able to issue the request.",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10874,S068,"lostReq, LostResp, SerCrush",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10853,S102,"message lost of request
message lost of respond
server crashed ",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,14600,S034,"1. LostReq: lost a request.
2. LostResp: lost a response.
3. SerCrach: unsuccessful execution with a request.  ",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10891,S084,"1. ReqLost
2. RespLost
3. SerCrash",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,16176,S079,"在message exchange中，我們必須要讓client 和server看不出來這個message其實是在從遠端搜集資料，所以必須要維持以下三個條件：
Transparency
scalability 
fault tolerance",0.0,0.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,14039,S122,"lostreq
lostresp
sercrash
",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
8c09a796-304f-491d-910b-126c7178a25d,0,3.0,deepseek-v4-flash,10854,S052,"1. Request is lost.
2. Reply is lost.
3. Server crashes. ",3.0,3.0,0.0,0.0,0.0,What are the three fundamental exceptions that can occur during message exchanges in a client-server model?
