"index","exam_answer_id","username","original_score","original_feedback"
"1","11920","S109","2.0",""
"2","12832","S015","2.0",""
"3","14988","S054","1.0","clean/dirty 有提到，但 dirty 的處理過於簡略"
"4","13596","S117","2.0",""
"5","13138","S093","2.0",""
"6","12657","S012","2.0",""
"7","12818","S108","2.0",""
"8","12589","S099","2.0",""
"9","12638","S070","1.0","只提到不同步與作廢，未完整說明 clean/dirty 規則"
"10","13788","S080","2.0",""
"11","11705","S003","1.0","只提到通知與一致性，未完整說明 clean/dirty 規則"
"12","13204","S035","2.0",""
"13","14811","S037","2.0",""
"14","13024","S097","2.0",""
"15","11912","S013","1.0","有提到 clean/dirty，但把讀寫情境混在一起，表達不完整"
"16","13493","S040","1.0","有提到通知其他 CPU，但未說明 clean/dirty 的基本規則"
"17","11571","S124","2.0",""
"18","13796","S121","2.0",""
"19","15150","S068","1.0","有提到 invalidation 與同步，但缺少 clean/dirty 的完整規則"
"20","12595","S102","1.0","有提到一致性與 dirty write-back，但 clean/通知規則不完整"
"21","12823","S034","2.0",""
"22","11809","S084","2.0",""
"23","13111","S079","2.0",""
"24","14460","S122","0.0","與題目無關"
"25","12840","S086","1.0","只有描述不一致現象與 protocol，未說明具體規則"
"26","13661","S052","2.0",""
"27","15949","S123","0.0","過於籠統，未回答 cache coherence 的寫入規則"
"28","12437","S027","1.0","只提到會不同步，未說明寫入時的處理規則"
"29","12049","S081","1.0","只描述不一致與例子，未完整說出寫入時的處理規則"
"30","13330","S008","2.0",""
"31","13055","S078","1.0","只說其他 CPU 的 cache 需移除，未完整說明 cache coherence 流程"
"32","12553","S087","2.0",""
"33","11970","S022","2.0",""
"34","13522","S110","2.0",""
"35","13624","S082","2.0",""
"36","13265","S105","0.0","內容與題意不符"
"37","11890","S111","1.0","只描述部分情境，未完整說明 write request 與 dirty 處理"
"38","12687","S085","1.0","有抓到通知副本與 dirty/clean，但回寫流程描述不完整"
"39","12762","S004","2.0",""
"40","12509","S046","1.0","有提到通知與 clean/dirty，但處理方式太簡略"
"41","11759","S005","2.0",""
"42","15172","S014","2.0",""
"43","12569","S107","2.0",""
"44","13562","S126","1.0","有提到一致性與 clean/dirty，但把 dirty 說成所有 cache 都要修改，描述不精確"
"45","15640","S017","2.0",""
"46","13062","S115","2.0",""
"47","12381","S089","0.0","把題意混成不同 process/變數，與 cache coherence 不符"
"48","12710","S009","0.0","與題意不符，描述成寫入 cache 空間的檢查"
"49","13346","S094","2.0",""
"50","13467","S066","1.0","把題目寫成 read 情境，雖有提到 clean/dirty，但不完全對題"
"51","12630","S041","1.0","只有說要維持一致性，未完整說明 write request 與 clean/dirty 規則"
"52","15623","S031","2.0",""
"53","12446","S116","2.0",""
"54","13374","S059","2.0",""
"55","12523","S064","1.0","有 clean/dirty 與通知概念，但 dirty 的處理過於簡略"
"56","13498","S101","2.0",""
"57","12738","S103","1.0","有提到 clean/dirty，但未說明通知與完整流程"
"58","12213","S104","2.0",""
"59","13521","S023","2.0",""
"60","12430","S113","2.0",""
"61","12767","S055","2.0",""
"62","13130","S119","2.0",""
"63","12953","S067","2.0",""
"64","13927","S076","2.0",""
"65","11693","S074","1.0","有提到 invalidate，但 dirty/write-back 的說明不完整"
"66","13443","S063","1.0","clean/dirty 與通知流程有提到，但「write more than the size of the cache」這部分不正確"
"67","13338","S090","2.0",""
"68","15432","S100","1.0","有提到 invalidate/modify，但未完整說明 clean/dirty 與通知流程"
"69","11939","S114","2.0",""
"70","14506","S038","1.0","只點出不同步問題，未說明實際寫入規則"
"71","15953","S047","1.0","有提到不同步與 invalidate，但說明混亂且不完整"
"72","14397","S044","1.0","dirty copy 的敘述有些混亂，但大致有抓到 clean/dirty 與回寫概念"
"73","12873","S075","2.0",""
"74","12764","S030","2.0",""
"75","12471","S106","2.0",""
"76","12880","S019","2.0",""
"77","12219","S020","2.0",""
"78","13420","S010","2.0",""
"79","13106","S091","0.0","與題目無關"
"80","12558","S051","1.0","只說 dirty 要重寫，未說明通知與寫回/轉送規則"
"81","14866","S039","1.0","只提到 dirty write-back，未完整說明 cache coherence 與 clean copy"
"82","12759","S018","2.0",""
"83","12364","S049","1.0","只有提到一致性與通知，未完整回答 dirty/clean 處理"
"84","12968","S053","2.0",""
"85","12979","S092","2.0",""
"86","12165","S125","1.0","有提到一致性與 clean/dirty，但規則描述不完整且不夠精確"
"87","11820","S021","0.0","過於簡略，未回答題目重點"
"88","12913","S050","2.0",""
"89","12843","S036","1.0","只有通知其他 CPU 修改資料，未完整說明 cache coherence 規則"
"90","12692","S048","1.0","只提到 dirty data 的處理，未完整說明 coherence 與 clean copy"
"91","13016","S112","2.0",""
"92","12551","S006","1.0","有提到通知與 clean/dirty，但 dirty 的處理與時序不夠完整"
"93","13073","S057","1.0","僅提到通知其他 cache，未說明 clean/dirty 的基本規則"
"94","15012","S002","2.0",""
"95","12771","S007","1.0","有提到 dirty 與更新，但整體流程不夠完整"
"96","12535","S118","2.0",""
"97","16183","S016","2.0",""
"98","16040","S083","1.0","只說會造成不一致與需要協議，未說明具體寫入規則"
"99","13025","S088","2.0",""
"100","14038","S058","1.0","只有概念性描述，缺少寫入時的具體規則"
"101","12338","S043","1.0","只提 clean/dirty 的部分處理，未完整說明題目要求"
"102","12102","S060","1.0","只有提到向其他 cache 發請求，未說明 clean/dirty 與寫入規則"
"103","12501","S024","2.0",""
"104","12824","S095","2.0",""
"105","13085","S077","1.0","dirty copy 的處理描述不正確，且未完整交代失效/回寫流程"
"106","12660","S120","1.0","將 dirty copy 覆蓋成重新複製，規則不夠正確"
"107","13372","S073","2.0",""
"108","12936","S069","2.0",""
"109","13412","S072","2.0",""
"110","12583","S042","2.0",""
"111","13048","S071","2.0",""
"112","12567","S062","1.0","把重點寫成只能存在自己 cache，與題意不符"
"113","13022","S045","1.0","有提到一致性與獨佔概念，但未明確說出 clean/dirty 的處理"
"114","13669","S056","2.0",""
"115","13804","S128","0.0","未作答"
"116","14496","S029","1.0","有通知與更新概念，但 dirty 的處理不正確，未完整回答題目"
"117","12866","S065","2.0",""
"118","12981","S098","1.0","僅提到 dirty write-back，未完整說明 cache coherence 與 clean copy 的處理"
