"index","exam_answer_id","username","original_score","original_feedback"
"1","12129","S109","3.0","三點皆答對。"
"2","12570","S015","3.0","三點皆答對。"
"3","15574","S054","2.0","第 1 點不明確，後兩點正確。"
"4","13302","S117","3.0","三點皆答對。"
"5","12125","S093","3.0","三點皆答對。"
"6","12516","S012","2.5","第 2 點名稱顛倒，另兩點正確。"
"7","12568","S108","3.0","三點皆答對。"
"8","12399","S099","3.0","三點皆答對。"
"9","12453","S070","2.0","第 3 點不夠精確，僅兩點明確。"
"10","13488","S080","2.0","第 1 點不正確，後兩點正確。"
"11","11534","S003","3.0","三點皆答對。"
"12","13090","S035","3.0","三點皆答對。"
"13","14056","S037","3.0","三點皆答對。"
"14","12797","S097","3.0","三點皆答對。"
"15","12616","S013","3.0","三點皆答對。"
"16","13280","S040","3.0","三點皆答對。"
"17","11409","S124","3.0","三點皆答對。"
"18","13519","S121","3.0","三點皆答對。"
"19","16201","S068","1.0","僅有共享記憶體接近第 1 點，其餘兩點不符。"
"20","12391","S102","3.0","三點皆答對。"
"21","12664","S034","3.0","三點皆答對。"
"22","11646","S084","3.0","三點皆答對。"
"23","12939","S079","2.5","第 1 點把 processor 寫成 process，後兩點正確。"
"24","12011","S122","3.0","三點皆答對。"
"25","12594","S086","3.0","三點皆答對。"
"26","13499","S052","3.0","三點皆答對。"
"27","12654","S033","1.0","僅第 2 點正確，其餘不正確。"
"28","13405","S123","3.0","三點皆答對。"
"29","12289","S027","3.0","三點皆答對。"
"30","11610","S081","3.0","三點皆答對。"
"31","13147","S008","3.0","三點皆答對。"
"32","13672","S078","2.0","第 3 點不正確，僅兩點明確。"
"33","12821","S087","3.0","三點皆答對。"
"34","12550","S022","3.0","三點皆答對。"
"35","13311","S110","3.0","三點皆答對。"
"36","13145","S082","3.0","三點皆答對。"
"37","13056","S105","2.0","缺第 1 點，僅答到主從式與對稱式。"
"38","11735","S111","3.0","三點皆答對。"
"39","12445","S085","3.0","三點皆答對。"
"40","12606","S004","3.0","三點皆答對。"
"41","12278","S046","3.0","三點皆答對。"
"42","11599","S005","2.0","第 1 點錯誤，後兩點正確。"
"43","11547","S014","3.0","三點皆答對。"
"44","15335","S107","3.0","三點皆答對。"
"45","13052","S126","3.0","三點皆答對。"
"46","15392","S017","3.0","三點皆答對。"
"47","11648","S115","3.0","三點皆答對。"
"48","12222","S089","3.0","三點皆答對。"
"49","13013","S009","3.0","三點皆答對。"
"50","13164","S094","3.0","三點皆答對。"
"51","14285","S066","2.5","第 1 點未明確寫 OS，僅兩點明確。"
"52","12439","S041","3.0","三點皆答對。"
"53","15439","S031","3.0","三點皆答對。"
"54","12322","S116","3.0","三點皆答對。"
"55","13206","S059","3.0","三點皆答對。"
"56","13184","S064","3.0","三點皆答對。"
