"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1692","S109","scalability: take advantage of multi-core, robustness: kernel thread survives in the face of thread failure","2","",""
"2","1699","S015","1. Kernel-level thread could take advantage of multi-processor or multicore processor, while user-level threads are executed by single core.
2. Kernel-level thread could access hardware directly, while user-level can't.","1","多核正確；第二點「直接存取硬體」非 kernel-level thread 相對 user-level thread 的標準優點，不予計分",""
"3","1620","S054","more robust:user-level threads would 崩潰 by a failure thread 處理，kernel-level threads run concurrently can avoid.

scalebility:user-level threads are bound to single core; kernel-level threads can run concurrently in multicore, scale up by # of core.","2","",""
"4","1843","S117","robustness: 當kernel thread運行發生錯誤時不會使整個process癱瘓，但user-level thread發生錯誤會讓整個process都無法運行
scalability: kernel thread can take advantage of multi-core processors, more efficiency, but user-level thread can only excutes on single processor","2","",""
"5","4939","S093","不會因為有一個thread被block就將整個process block、可以透過multi-thread的方式加速process的執行","2","",""
"6","1864","S012","1. kernel-level threads可以分配在多個processors上面跑，但是user-level threads被限制在單個processor
2. kernel-level threads的scheduling是由os幫忙，所以application不用自己負責scheduling","1","多核正確；第二點「scheduling 由 OS 負責」為機制描述，非明確優點",""
"7","1776","S108","1. 平行化: 不同 kernel-level 的 threads 可以在不同的 cpu core 上面運行達到平行化運算。
2. 便利性: kernel-level threads 直接由 OS 做排程，不需要 user 親自實作。","1","多核正確；第二點「不需 user 親自實作 scheduling」描述機制，非核心優點",""
"8","2139","S099","1. Can use the advantage of multicores.
2. Better robustness.","2","",""
"9","1740","S070","1.可以用到CPU多核心的優勢，user-level threads只能在單一CPU上運行
2.user-level threads只要一個thread錯誤可能就會導致整個process壞掉，但kernel-level threds不會，其他threads會繼續運行。","2","",""
"10","1796","S080","1. kernel-level threads can take advanatge of multi-cores, while use user-level threads can use only single core.
2. When one of the thread in a process failed to operate, it won't effect the whole process in kernel-level thread. But in user-level threads, if one of them failed will let the entire process failed.","2","",""
"11","1673","S003","kernel threads can really and correctly make use of multi-core processor, user-level may still bound by single cpu.
kernel threads can survive after ones failure, but user-level may bring the whole process down.","2","",""
"12","1838","S035","1. scability : kernel-level threads can be executed on different CPU on multi-core system, user-level threads are bounded to one process, which limits the scability.
2. about kernel-level threads, when a thread is broken, other threads won't be influenced and keep executing. about user-level threads, when a thread is broken, it will influence or block other threads for execution.","2","",""
"13","1817","S037","1. kernel thread能夠在多核cpu上同步進行，而user thread只能綁定在單一個cpu核心
2. 當一個user thread被block，所有同process的user thread都會block，而kernel thread不會被其他blocked的kernel thread影響","2","",""
"14","1697","S096","Kernel-level threads can operate fully parallel (on different CPUs simultaneously) and they don't block if any of the threads calls system call (in user-level threads the whole process will block until system call is finished)","2","",""
"15","1653","S013","Scalability and Directly supported by OS","1","Scalability 正確；「Directly supported by OS」屬機制描述，非優點",""
"16","1708","S040","1. kernel-level threads can use multiple cpus
2. for user-level threads, one thread blocked will cause all process blocked, but kernel-level thread won't","2","",""
"17","1683","S124","Kernel-level threads can take advantage of multi-core processors, while user-level threads can only be executed using one core 
Kernel-level threads can execute privileged instructions while user-level threads have to trigger a trap in order to do so","1","多核正確；第二點「可執行特權指令」非此題語境下的標準優點",""
"18","1827","S121","- Kernel-level threads are more robust than user-level threads : If an error occurs in user lever threads then it can break all the process. In contrats, for the kernel-level thread, the process can still run.
- Kernel-level thread can use the advantage of multicore processors, meanwhile user-level threads can't because they are seen by the OS as only one process.","2","",""
"19","1953","S068","1. 穩定度較高，如果遇到程序崩潰，kernel-level threads 還有機會正常執行，但是 user-level threads 可能就會因此 terminated 造成 process 停止或遭遇例外狀況

2. 可以享有多核處理器的好處增加執行效率，反觀同一 process 中 user-level threads 會一起綁定到處理器中的某一個核，無法充分利用多核處理器的資源","2","",""
"20","1607","S102","it can share memory and can have advantages when using multiple CPUs","1","多核正確；「share memory」非 kernel-level thread 的獨特優點",""
"21","1824","S034","1) kernel-level threads可以直接與硬體互動，但user-level threads不行，需要先system call，轉到kernel-level thread，再互動。
2)kernel-level thread can run concurrently on multiple CPU cores, while user-level is bound to single process.","1","多核正確；「直接與硬體互動」非此題標準優點",""
"22","1544","S084","Robustness : kernel-level threads的robustness較好，user-level threads假如其中一個thread卡住，會導致其他thread也卡住。
擴展性 : kernel-level threads的擴展性較好，因為對於OS來說，OS只看的到user-level threads是只有一個。","2","",""
"23","2113","S079","management: kernel-level thread can use operating system to manage, therefore, they enjoy the priviledged of multi-core prosessing.

also, since kernel level threads use operating system to manage and OS manages the problem of syncronization. Hence, they have higher chance of avoiding syncronization problem.

Kernel level threads have more rights to access the priviliged instruction such as set system call, timer interrupt..","1","多核正確；同步問題、特權指令均非此題語境的標準優點",""
"24","1719","S122","USE APPLICATION TO go instead use os 
FAST
USE low power
efficient","0","內容與題意無項從 kernel-level thread 優點",""
