"index","exam_answer_id","username","original_score","original_feedback"
"1","3924","S109","2.0",""
"2","3729","S015","2.0",""
"3","4299","S054","2.0",""
"4","4959","S117","2.0",""
"5","5152","S093","2.0",""
"6","5273","S012","2.0",""
"7","6005","S108","2.0",""
"8","4963","S099","2.0",""
"9","3833","S070","2.0",""
"10","5931","S080","2.0",""
"11","2399","S003","2.0",""
"12","5052","S035","2.0",""
"13","5342","S037","2.0",""
"14","4905","S096","2.0",""
"15","5281","S013","2.0",""
"16","4943","S040","2.0",""
"17","2784","S124","2.0",""
"18","4710","S121","2.0",""
"19","4948","S068","2.0",""
"20","4067","S102","2.0",""
"21","5270","S034","2.0",""
"22","6455","S084","2.0",""
"23","6120","S079","2.0",""
"24","3854","S122","2.0","a. Mode switch: change CPU execution mode from one privilege level to another, e.g., user → kernel via a trap or system call. b. Context switch: save one process’ execution context & restore that of another process."
"25","2841","S086","2.0",""
"26","5239","S052","2.0",""
"27","5557","S033","2.0",""
"28","4958","S123","2.0",""
"29","4450","S027","2.0",""
"30","2746","S081","2.0",""
"31","5606","S008","2.0",""
"32","5181","S078","2.0","b. Context switch: save one process’ execution context & restore that of another process."
"33","3973","S087","2.0",""
"34","4012","S022","2.0",""
"35","6566","S110","2.0",""
"36","4872","S082","2.0",""
"37","6108","S105","2.0",""
"38","4080","S111","2.0",""
"39","4429","S085","2.0",""
"40","4682","S004","2.0",""
"41","2298","S011","2.0",""
"42","4270","S046","2.0",""
"43","2539","S005","1.0","b. Context switch: save one process’ execution context & restore that of another process."
"44","2209","S061","2.0",""
"45","2025","S014","2.0",""
"46","4073","S028","2.0",""
"47","3710","S107","2.0",""
"48","6269","S126","2.0",""
"49","3876","S017","2.0",""
"50","2522","S115","2.0",""
"51","3060","S089","2.0",""
"52","3731","S009","2.0",""
"53","2514","S094","2.0",""
"54","6737","S066","2.0",""
"55","4460","S041","2.0",""
"56","5425","S031","2.0",""
"57","3389","S116","2.0",""
"58","5009","S059","2.0",""
"59","2839","S064","1.0","a. Mode switch: change CPU execution mode from one privilege level to another, e.g., user → kernel via a trap or system call."
"60","4467","S101","2.0",""
"61","6213","S103","2.0",""
"62","4286","S104","2.0",""
"63","5390","S023","2.0",""
"64","2639","S113","2.0",""
"65","4760","S055","2.0",""
"66","4669","S119","2.0",""
"67","5653","S067","2.0",""
"68","6289","S076","2.0",""
"69","5845","S074","2.0",""
"70","3858","S063","2.0",""
"71","5090","S090","2.0",""
"72","2711","S100","2.0",""
"73","4367","S114","2.0",""
"74","2745","S038","2.0",""
"75","5118","S047","2.0",""
"76","4762","S044","2.0",""
"77","4578","S075","2.0",""
"78","4160","S030","2.0",""
"79","5195","S106","2.0",""
"80","5086","S019","2.0",""
"81","3603","S020","2.0",""
"82","2282","S010","2.0",""
"83","4098","S091","1.0",""
"84","5500","S051","2.0",""
"85","3286","S039","2.0",""
"86","4004","S018","2.0",""
"87","4338","S049","2.0",""
"88","5465","S053","2.0",""
"89","5044","S092","2.0",""
"90","4333","S125","2.0",""
"91","6510","S021","2.0",""
"92","5524","S050","2.0",""
"93","3956","S036","2.0",""
"94","4587","S048","2.0",""
"95","4488","S112","2.0",""
"96","3782","S006","2.0",""
"97","5513","S026","2.0",""
"98","5666","S032","2.0",""
"99","6596","S057","2.0",""
"100","6527","S002","2.0",""
"101","4414","S007","2.0",""
"102","6467","S016","2.0",""
"103","6542","S083","2.0",""
"104","4690","S088","2.0",""
"105","5807","S058","2.0",""
"106","6560","S043","2.0",""
"107","4404","S060","2.0",""
"108","4071","S024","2.0",""
"109","6436","S095","2.0",""
"110","3966","S077","2.0",""
"111","4152","S120","2.0",""
"112","4055","S073","2.0",""
"113","4122","S069","2.0",""
"114","2377","S072","2.0",""
"115","3769","S042","2.0",""
"116","4241","S071","2.0",""
"117","6207","S062","2.0",""
"118","5096","S045","2.0",""
"119","3825","S056","0.0",""
"120","6123","S029","2.0",""
"121","4924","S065","2.0",""
"122","6598","S025","2.0",""
"123","5346","S098","2.0",""
