"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2582","S109","shared: process memory, code, text
not shared:  thread id, stack, program counter","5","shared 中 code 與 text 視為同類，僅計 2 項（process memory, code/text）；not shared 3 項正確。",""
"2","2621","S015","shared:
code, static data, process ID

not shared:
program counter, stack, CPU registers","6","",""
"3","6022","S054","shared: global variable, shared meomory, 
not shared: thread id, stack pointer, program counter","5","shared 僅列出 2 項有效答案（global variable, shared memory），缺第 3 項；not shared 3 項正確。",""
"4","3719","S117","shared: file desceiption, code, data
not shared: thread ID, stack, stack pointer","5","not shared 中 stack 與 stack pointer 視為重複，僅計 2 項；shared 3 項正確。",""
"5","4386","S093","shared: heap section, text section, global variable
not shared: thread ID, stack section, program counter","6","",""
"6","3261","S012","shared: open files, text, global data
not shared: pc, stack, signal mask","6","",""
"7","4043","S108","Shared: code section, global variable, static variable
Not shared: thread ID, stack, program counter","6","",""
"8","3004","S099","Shared: Heap, text, data
Not shared: Program counter, register, stack pointer","6","",""
"9","2516","S070","shared:text(code)、static data、global variable
not shared:threadID、program counter、stack","6","",""
"10","4069","S080","shared: BSS segment, data, opened file descriptor
not-shared: ThreadID, saved cpu register, program counter","6","",""
"11","3150","S003","Not shared:
Stack(like local variables), Stack pointer, thread id
Shared
heap, code , data section","5","not shared 中 stack 與 stack pointer 視為重複，僅計 2 項；shared 3 項正確。",""
"12","3298","S035","shared :  1. data/global variable 2. text segment(code) 3. open file
not shared : 1. stack pointer 2. program counter 3. CPU register","6","",""
"13","4159","S037","Shared: heap, shared library, global variable
not shared: PC, stack, cpu register","6","",""
"14","2710","S096","Shared:
- file descriptors
- global variables
- process id

Not shared:
- program counter
- stack pointer
- cpu registers","6","",""
"15","4038","S013","1. stack, register, process ID
2. saved CPU register, thread ID, stack pointer.","4","答案結構混亂，shared 僅能辨識出 process ID 1 項；not shared 有 stack、register、thread ID 共 3 項正確。",""
"16","3877","S040","shared: PC, register, stack
not shared: text, data, bss","0","shared 與 not shared 完全對調，所列項目全部錯誤分類，得 0 分。",""
"17","2243","S124","Global variables, text (code) and data are shared between threads 
Thread ID, priority and stack pointer aren't","6","",""
"18","2828","S121","not shared by threads :
- PC (program counter)
- Stack
- SP (Stack pointer)

shared by threads : 
- Static data 
- text (code)
- heap","5","not shared 中 stack 與 stack pointer 視為重複，僅計 2 項；shared 3 項正確。",""
"19","6603","S068","Shared: 全域變數，記憶體，process ID
Not Shared: 區域變數，暫存器內容，thread IDs","6","",""
"20","2874","S102","Shared: heap, program, process ID
NOT shared : threads ID, stack, CPU register","6","",""
