"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","13260","S109","(1) time: 會需要更多的運算來解決 failure
(2) space: 會需要更多的資料來解決 failures
(3) information: 會需要更多的資訊來做error detection, recovery","2","space redundancy 描述為「更多資料」而非硬體/資源備援，概念混淆。",""
"2","11030","S015","Information redundancy: Use additional data to handle faults. (ex. Hamming Code)
Time redundancy: Use additional calculation to handle faults.
Space redundancy: Use additional components (ex. Disk, Computation nodes) to handle faults.","3","",""
"3","13872","S054","1, time redundancy：錯誤時在執行一次
2, space redundancy：有額外的空間作為備援
3, information  redundancy：多個資訊可以比較，以多個相同者為主","2","information redundancy 描述偏向 voting/majority（屬 space redundancy），非額外 bit/checksum 做 error detection。",""
"4","10959","S117","1. time redundancy: use extra computations to cope from failures
2. space redundancy: add extra resources to cope from failures
3. information redundancy: use extra resources to cope from failures","2","information redundancy 描述與 space 重複（均為 extra resources），未點出額外資訊/bit 做 error detection。",""
"5","10986","S093","1. time redundancy: 提供額外的時間去計算跟處理錯誤
2. space redundancy: 提供額外的資源去應對錯誤的發生
3. information redundancy: 提供額外的訊息去看有沒有錯並應對錯誤的發生","3","",""
"6","15735","S012","1. triple modular redundancy
2. information redundancy
3. Byzantine fault tolerance","0","僅列出部分名稱無描述；TMR 為 space redundancy 實例非三類之一；Byzantine fault tolerance 非 redundancy 類型。",""
"7","10969","S108","time redundancy: 多次計算來避免錯誤，
space redundancy: 多準備硬體來避免硬體壞掉，
information redundancy: 多儲存額外的資訊，例如 parity bit 等等，來實行 error detection or correction.","3","",""
"8","10965","S099","1. Information redundancy: use extra information to detect and recover error.
2. Time redundancy: use extra computation to cope with failure.
3. Space redundancy: use extra resource to cope with failure.","3","",""
"9","10947","S070","1.information redundancy:多一些資料來做錯誤偵測或是錯誤修改(e.g. checksum)
2.time redundancy: 增加check point等 來做到錯誤時可以回到之前的狀態(e.g. recovery block)
3.space redundancy:增加額外的資源、硬體等來減少(偵測)錯誤(e.g. TMR voter)","3","",""
"10","10885","S080","information redundancy: requires more information to allow error detection and recovery
time rudundancy: require more computation time to deal with failure
space redundancy: require more resources to deal with failure","3","",""
"11","10898","S003","Information: add extra information (like checksum)
Space: multiple resources to deal with faults
Tims: do extra calculation","3","",""
"12","10992","S035","1. information redundancy : the additional information are added to detect the error or do the correction.
2. time redundancy : do extra computation to cope with error, like recovery block. 
3. space redundancy : additional resource or space are used to cope with error, like replication of data.","3","",""
"13","11093","S037","information redundancy: use additional resource to deal with fault.
time redundancy: repeat executing the module to and choose the result most module perform.
space redundancy: use checkpoints to store the current status. If the primary module failed, back to checkpoint and use secondary way.","1","information 誤描述為 additional resource（非 extra bits/information）；space 描述 checkpoint/rollback 屬 time redundancy 概念。",""
"14","10957","S097","1. Space redundancy - send more data to be able to recover errors
2. Time redundancy - do more computations to reduce probability of fault
3. Resource redundancy - several copies of resource exists, if one resource is unavailable, the other is used","1","space 描述為 send more data 屬 information 概念；未提及 information redundancy；resource redundancy 名稱非標準三類之一。",""
"15","14976","S013","Information: Store extra information to achieve fault tolerance
Time: use more computation to achieve fault tolerance
Space: use more replications and voting mechanism to achieve fault tolerance","3","",""
"16","11103","S040","information: use extra bit/data to make sure original data is good, like check sum
time: redo multiple times when fault
space: use more resource to do a same thing","3","",""
"17","11007","S124","Information redudancy : additional information to enable error detection/correction in data 
Time redudancy : additional instructions to detect and correct faults during computing 
Space redudancy : additional ressources to assure in case of ressources crash/unavailabitiy ","3","",""
"18","11129","S121","Information redundancy : it adds extra information to the date to prevent corruption and bit changes
Space redundancy : it adds extra copy of data to cope with failure
Time redundancy : it processes several time a action to cope with failure","3","",""
"19","10951","S068","Time：讓計數器可以多一些上限，使 process 以＝有更多時間可以處理或是等待回應
Space：同一份設備複製三次或是多次，用投票當方式選出正確的資料
Information：傳遞或是儲存的資料多一些 bit (資訊) 讓有錯誤時可以透過這些 validation bit 檢查推出正確的數值","2","time redundancy 描述為增加計數器上限/等待時間，非重複執行或多次計算以應對 fault。",""
"20","10960","S102","time redundancy:透過多執行幾次來減少錯誤的發生
space redundancy:透過額外多複製資料來減少錯誤的發生
information redundancy:增加額外的資訊來檢查，像是checksum","3","",""
"21","11086","S034","1.information redundancy: 增加額外的資訊來偵錯或修復。
2.time redundancy: 多次計算來提高正確性。
3.space redundancy: 使用額外的resource。","3","",""
"22","10904","S084","1. Information redundancy : 提供額外的資訊處理錯誤。(ex:hamming code)
2. Time redundancy : 提供額外運算處理錯誤。(ex:recovery block)
3. Space redundancy : 提供額外資源處理錯誤。","3","",""
"23","10944","S079","time redundancy: 重複執行某function 以提高正確性
space redundancy: add extra resource to reduce fault
information redundancy: 額外增加一個bit幫助判斷減少錯誤率 ex: ECC","3","",""
"24","12994","S122","time redundancy:增加額外時間去驗證
information redundancy 新增額外的code去驗證 如hamming code
space  redundancy:新增額外的空間去驗證","3","",""
"25","10953","S086","Information redundancy: add extra information to allow for error detection and recovery
time redundancy: perform extra computation to cope with failure
space redundancy: add extra resource to cope with failure","3","",""
"26","10925","S052","1. Information redundancy: Add extra information to the message for error detection and recovery, e.g. parity, hamming code.
2. Time redundancy: Add extra computations to the message to check whether the message is correct. e.g. recovery block
3. Space redundancy: Add extra resources to the message e.g.replication of the message and receiver vote for the right one.","3","",""
"27","11025","S033","time redundancy
space redundancy
information redunancy","0","僅列出三種名稱，無任何描述。",""
"28","11040","S123","Information redundancy: It adds extra information for error detect and recovery.
Time redundancy: It adds extra computation to deal with failures.
Space redundancy: It adds extra resources to deal with failures.","3","",""
"29","10892","S027","information redundancy:加入額外資訊來偵測錯誤及修復錯誤
time redundancy:透過重複執行或重新計算來修正錯誤
space redundancy:增加額外硬體或資源，當有元件故障時，還有副本備份可以使用","3","",""
"30","14896","S081","1. sequential redundancy
2. Concurrency redundancy
3. FIFO redundancy","0","三項皆非 fault tolerance 的 redundancy 類型（sequential/concurrency/FIFO 非 information/time/space redundancy）。",""
"31","10997","S008","1. Information Redundancy: Add additional information to enable error detection and recovery.
2. Time Redundancy: Such as checkpoint with re-try, or Recovery Block. Re-try different alternative functions when failure happened.
3. Resource Redundancy: Replication of data, software, hardware.","2.5","第三項使用 Resource Redundancy 而非標準 Space Redundancy 名稱，但描述正確。",""
"32","14331","S078","Space redundancy
Time redundancy","0","僅列出兩種名稱且無描述，遺漏 information redundancy。",""
"33","11022","S087","Information redundancy:加入額外的資訊來進行錯誤的偵測或是復原
Time redundancy:多次進行同個操作來避免錯誤
Space redundancy:使用額外的資源或是硬體元件來避免錯誤","3","",""
"34","10864","S022","Time redundancy, space redundancy, information redundancy.","0","僅列出三種名稱，無任何描述。",""
"35","11649","S110","space redundancy: use extra memory space
time redundancy: execute numbers of computations to achieve fault tolerance
information redundancy: use extra data information to correct or restore missing data 
","3","",""
"36","10924","S082","1. information redundancy: using additional information to correct the fault. (hamming code)
2. time redundancy: using additional time to compute the correct reply. (RB)
3. space redundancy: using additional memory space to avoid fault. (TMR)","3","",""
"37","11019","S105","1. Information redundancy
2. Time redundancy
3. Space redundancy","0","僅列出三種名稱，無任何描述。",""
"38","10930","S111","1. 資訊冗餘：藉由使用額外資訊使錯誤發生時可以回復
2. 時間冗餘：當錯誤發生時再次執行已得到結果
3. 空間冗餘：使用額外設備同時執行，在失敗時有backup plan","3","",""
"39","11008","S085","資訊冗餘: 額外資訊用於驗證及復原
時間冗餘: 額外計算時間以應對錯誤
空間冗餘: 額外資源(軟體、硬體等)以應對錯誤
","3","",""
"40","10879","S004","information redundancy:增加額外的資訊以便偵錯、修復
time redundancy:透過額外的計算來避免錯誤
space redundancy:增加額外的resource來避免錯誤","3","",""
"41","10937","S046","Information redundancy: adds extra information to error detection
Time redundancy: performs more compatution to core the failures
Space redundancy: adds extra resource to core the failures","3","",""
