"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3989","S109","2^12= 4Kb","2","答案已寫出 2^12，數值正確；僅單位表達不影響分數",""
"2","3815","S015","2^{11} entries","0","指數錯誤；正確應為 2^12 = 4096",""
"3","3892","S054","2048","0","數值錯誤；正確應為 4096",""
"4","5108","S117","4096","2","答案 4096 正確",""
"5","4101","S093","4K(2^12)","2","已表達 4K/2^12，答案正確",""
"6","5378","S012","2048","0","數值錯誤；正確應為 4096",""
"7","6053","S108","4096","2","答案 4096 正確",""
"8","5006","S099","4096","2","答案 4096 正確",""
"9","3664","S070","2^12=4K","2","已寫出 2^12 = 4K，答案正確",""
"10","5981","S080","4Kbyte","2","4K 約等於 4096，數值正確",""
"11","2334","S003","4096","2","答案 4096 正確",""
"12","5085","S035","32-20 = 12, 2^12 = 4096   , Ans : 4096","2","推導正確，得到 2^12 = 4096",""
"13","5259","S037","4KB","2","4KB 表示 4K，數值正確",""
"14","5039","S096","2^(31 - 20) = 2^11 = 2048","0","指數與計算錯誤；正確應為 2^12 = 4096",""
"15","5326","S013","4096 entries","2","答案 4096 entries 正確",""
"16","5036","S040","4KB","2","4KB 表示 4K，數值正確",""
"17","5294","S124","2^11 = 2048 entries","0","指數錯誤；正確應為 2^12 = 4096",""
"18","4826","S121","2^19","0","位數計算錯誤；正確應為 2^12 = 4096",""
"19","6749","S068","1024","0","數值錯誤；正確應為 4096",""
"20","3990","S102","2048","0","數值錯誤；正確應為 4096",""
"21","5314","S034","2^(32-20)=2^12=4096 entries","2","推導正確，得到 2^12 = 4096",""
"22","4531","S084","(2^32)/(2^20)=4KB","2","運算正確，結果等於 4096；僅單位表達不夠精確",""
"23","6197","S079","2048 (211) entries","0","數值錯誤；正確應為 4096",""
"24","4036","S122","4KB","2","4KB 對應 4096，數值正確",""
"25","2762","S086","4 KB","2","4 KB 對應 4096，數值正確",""
"26","5400","S052","4096 entries","2","答案 4096 entries 正確",""
"27","5621","S033","4096","2","答案 4096 正確",""
