"index","exam_answer_id","username","original_score","original_feedback"
"1","12211","S109","2.0",""
"2","12406","S015","2.0",""
"3","15727","S054","2.0",""
"4","13074","S117","2.0",""
"5","12318","S093","2.0",""
"6","12387","S012","2.0",""
"7","12526","S108","2.0",""
"8","12377","S099","2.0",""
"9","12415","S070","2.0",""
"10","13220","S080","2.0",""
"11","11502","S003","2.0",""
"12","13029","S035","2.0",""
"13","13836","S037","2.0",""
"14","12685","S097","2.0",""
"15","12658","S013","2.0",""
"16","13128","S040","2.0",""
"17","11392","S124","2.0",""
"18","13365","S121","2.0",""
"19","14111","S068","2.0",""
"20","12360","S102","2.0",""
"21","12588","S034","2.0",""
"22","11567","S084","2.0",""
"23","12894","S079","2.0",""
"24","12078","S122","2.0",""
"25","12443","S086","2.0",""
"26","13471","S052","2.0",""
"27","13300","S123","2.0",""
"28","12161","S027","2.0",""
"29","12959","S081","0.0","未回答 spin lock / blocking lock 的適用情況，內容為同步 primitive，與題意不符。"
"30","12869","S008","2.0",""
"31","13921","S078","2.0",""
"32","12907","S087","2.0",""
"33","13071","S022","2.0",""
"34","13213","S110","2.0",""
"35","13064","S082","2.0",""
"36","12947","S105","2.0",""
"37","11715","S111","2.0",""
"38","12269","S085","2.0",""
"39","12450","S004","2.0",""
"40","12180","S046","2.0",""
"41","11537","S005","2.0",""
"42","11488","S014","2.0",""
"43","15254","S107","2.0",""
"44","12844","S126","2.0",""
"45","15269","S017","2.0",""
"46","11505","S115","2.0",""
"47","12177","S089","2.0",""
"48","15101","S009","0.0","未回答 spin lock 與 blocking lock 的適用條件，cache space 並非主要判斷依據。"
"49","13086","S094","1.0","有回答 spin lock 適合短等待時間，但 contention 條件描述錯誤，且未說明 blocking lock 的適用情況，故部分給分。"
"50","13390","S066","2.0",""
"51","12375","S041","2.0",""
"52","15246","S031","2.0",""
"53","12240","S116","2.0",""
"54","13083","S059","2.0",""
"55","11265","S064","2.0",""
"56","12908","S101","2.0",""
"57","12435","S103","2.0",""
"58","13047","S104","2.0",""
"59","12973","S023","2.0",""
"60","12155","S113","2.0",""
"61","12424","S055","2.0",""
"62","12571","S119","2.0",""
"63","12665","S067","2.0",""
"64","13236","S076","2.0",""
"65","16089","S074","2.0",""
"66","13121","S063","2.0",""
"67","12776","S090","2.0",""
"68","12883","S100","2.0",""
"69","11758","S114","2.0",""
"70","13231","S038","2.0",""
"71","12394","S047","2.0",""
"72","13794","S044","2.0",""
"73","12566","S075","2.0",""
"74","12327","S030","2.0",""
"75","12193","S106","2.0",""
"76","12505","S019","2.0",""
"77","12058","S020","2.0",""
"78","13695","S010","2.0",""
"79","12830","S091","2.0",""
"80","12291","S051","2.0",""
"81","12865","S039","2.0",""
"82","12503","S018","2.0",""
"83","12130","S049","2.0",""
"84","12577","S053","2.0",""
"85","12707","S092","2.0",""
"86","11956","S125","0.0","僅部分提及 long critical section，未完整比較 spin lock 與 blocking lock 的適用情況"
"87","13219","S021","0.0",""
"88","12529","S050","2.0",""
"89","14057","S036","2.0",""
"90","12249","S048","2.0",""
"91","12481","S112","2.0",""
"92","12270","S006","2.0",""
"93","12534","S057","2.0",""
"94","14736","S002","2.0",""
"95","12580","S007","2.0",""
"96","11827","S118","2.0",""
"97","16171","S016","2.0",""
"98","15476","S083","2.0",""
"99","12735","S088","2.0",""
"100","13618","S058","2.0",""
"101","12117","S043","2.0",""
"102","11923","S060","2.0",""
"103","12285","S024","2.0",""
"104","12600","S095","2.0",""
"105","12673","S077","2.0",""
"106","12245","S120","2.0",""
"107","13063","S073","2.0",""
"108","12607","S069","2.0",""
"109","12937","S072","2.0",""
"110","12297","S042","2.0",""
"111","12703","S071","2.0",""
"112","12352","S062","2.0",""
"113","12705","S045","2.0",""
"114","13324","S056","2.0",""
"115","13591","S128","0.0",""
"116","13775","S029","2.0",""
"117","12542","S065","2.0",""
"118","12813","S098","2.0",""
