"index","exam_answer_id","username","original_score","original_feedback"
"1","1692","S109","2.0",""
"2","1699","S015","1.0","第二點不正確。 Kernel-level threads 執行使用者程式時，仍然運行在 user mode，無法直接存取硬體。存取硬體需要透過 system call 進入 kernel mode 才行，這對 kernel-level 和 user-level threads 都一樣。「Kernel-level」指的是這些 threads 由核心管理與排程，而不是說它們運行在 kernel mode。"
"3","1620","S054","2.0",""
"4","1843","S117","2.0",""
"5","4939","S093","1.5","第1點正確。第2點「加速process執行」過於模糊，應具體說明：kernel-level threads可利用多處理器/多核心平行執行，user-level threads則不能。"
"6","1864","S012","2.0",""
"7","1776","S108","2.0",""
"8","2139","S099","1.0","第1點正確。第2點「Better robustness」過於模糊。"
"9","1740","S070","2.0",""
"10","1796","S080","2.0",""
"11","1673","S003","2.0",""
"12","1838","S035","2.0",""
"13","1817","S037","2.0",""
"14","1697","S096","2.0",""
"15","1653","S013","0.5","答案過於模糊。需具體說明kernel-level threads的優點。"
"16","1708","S040","2.0",""
"17","1683","S124","1.0","第1點正確（multi-core利用）。第二點不正確： Kernel-level threads 在執行使用者程式碼時，仍然運行在 user mode，並不能直接執行特權指令。不論是 kernel-level 還是 user-level threads，要執行特權操作都需要透過 system call（trap）進入核心。"
"18","1827","S121","2.0",""
"19","1953","S068","2.0",""
"20","1607","S102","1.0","「share memory」是所有threads的通性。"
"21","1824","S034","1.0","第2點多核心平行執行正確。"
"22","1544","S084","2.0",""
"23","2113","S079","1.0","「avoiding synchronization problem」及「privileged instruction」並非kernel-level threads的標準優點。"
"24","1719","S122","0.0","答案未切題。"
"25","6074","S086","2.0",""
"26","1836","S052","2.0",""
"27","1725","S033","0.0","所述為 threads的一般特性，非特指kernel-level threads相對於 user-level threads的優點"
"28","1915","S123","1.0","privileged misspelled. 第二點不正確。 Kernel-level threads 在執行使用者程式碼時，仍然運行在 user mode，並不能直接執行特權指令。不論是 kernel-level 還是 user-level threads，要執行特權操作都需要透過 system call（trap）進入核心。"
"29","1808","S027","0.5","只說明特性未說明優點。 scheduler miss-spelled"
"30","1626","S081","0.5","所述為kernel-level vs user-level threads的機制差異，並非優點。"
"31","1870","S008","2.0",""
"32","5619","S078","0.0","Wrong."
"33","1793","S087","1.0","第1點正確。第2點「mode switch花更多時間」是kernel-level threads的缺點，不是優點。"
"34","1595","S022","2.0",""
"35","2789","S110","2.0",""
"36","1713","S082","2.0",""
"37","1844","S105","1.0",""
"38","1686","S111","2.0",""
"39","1724","S085","2.0",""
"40","1820","S004","1.0","第2點 resource sharing是所有threads的通性，並非kernel-level threads特有優點。"
"41","2797","S011","1.0","第2點多處理器利用正確。第1點有誤：kernel-level threads的context switch比user-level threads更慢，需要mode switch，不是優點。"
"42","1492","S046","1.0","第2點多處理器正確。第1點有誤：kernel-level threads的context switch實際上比user-level threads更慢（需要mode switch），不是優點。"
"43","1559","S005","2.0",""
"44","2759","S061","0.0","兩點均過於模糊，未說明具體優勢。"
"45","4551","S014","0.0","語意不清"
"46","1676","S028","1.0","兩點都是在說多核心/CPU優點"
