"index","exam_answer_id","username","original_score","original_feedback"
"1","13260","S109","3.0",""
"2","11030","S015","3.0",""
"3","13872","S054","3.0",""
"4","10959","S117","3.0",""
"5","10986","S093","3.0",""
"6","15735","S012","2.0",""
"7","10969","S108","3.0",""
"8","10965","S099","3.0",""
"9","10947","S070","3.0",""
"10","10885","S080","3.0",""
"11","10898","S003","3.0",""
"12","10992","S035","3.0",""
"13","11093","S037","3.0",""
"14","10957","S097","3.0",""
"15","14976","S013","3.0",""
"16","11103","S040","3.0",""
"17","11007","S124","3.0",""
"18","11129","S121","3.0",""
"19","10951","S068","3.0",""
"20","10960","S102","3.0",""
"21","11086","S034","3.0",""
"22","10904","S084","3.0",""
"23","10944","S079","3.0",""
"24","12994","S122","3.0",""
"25","10953","S086","3.0",""
"26","10925","S052","3.0",""
"27","11025","S033","3.0",""
"28","11040","S123","3.0",""
"29","10892","S027","3.0",""
"30","14896","S081","0.0",""
"31","10997","S008","3.0",""
"32","14331","S078","2.0",""
"33","11022","S087","3.0",""
"34","10864","S022","3.0",""
"35","11649","S110","3.0",""
"36","10924","S082","3.0",""
"37","11019","S105","3.0",""
"38","10930","S111","3.0",""
"39","11008","S085","3.0",""
"40","10879","S004","3.0",""
"41","10937","S046","3.0",""
"42","11015","S005","3.0",""
"43","11042","S014","3.0",""
"44","11066","S107","3.0",""
"45","10974","S126","3.0",""
"46","12428","S017","3.0",""
"47","12191","S115","3.0",""
"48","11156","S089","3.0",""
"49","10895","S009","3.0",""
"50","11155","S094","3.0",""
"51","11697","S066","3.0",""
"52","11023","S041","3.0",""
"53","12655","S031","3.0",""
"54","10981","S116","3.0",""
"55","11036","S059","3.0",""
"56","10932","S064","3.0",""
"57","11048","S101","3.0",""
"58","11045","S103","3.0",""
"59","15752","S104","3.0",""
"60","10905","S023","3.0",""
"61","10901","S113","3.0",""
"62","11001","S055","3.0",""
"63","12815","S119","3.0",""
"64","10958","S067","3.0",""
"65","11430","S076","3.0",""
"66","13350","S074","2.0",""
"67","11179","S063","3.0",""
"68","11115","S090","3.0",""
"69","12408","S100","2.0",""
"70","10877","S114","3.0",""
"71","12052","S038","3.0",""
"72","11041","S047","3.0",""
"73","11378","S044","3.0",""
"74","11013","S075","3.0",""
"75","10875","S030","3.0",""
"76","10938","S106","3.0",""
"77","10896","S019","3.0",""
"78","10908","S020","3.0",""
"79","11088","S010","3.0",""
"80","11132","S091","3.0",""
"81","10928","S051","3.0",""
"82","13964","S039","3.0",""
"83","10942","S018","3.0",""
"84","10963","S049","3.0",""
"85","11018","S053","3.0",""
"86","10946","S092","3.0",""
"87","13183","S021","0.0",""
"88","11027","S050","3.0",""
"89","11020","S036","3.0",""
"90","10980","S048","3.0",""
"91","11284","S112","3.0",""
"92","10935","S006","3.0",""
"93","11113","S057","3.0",""
"94","13295","S002","3.0",""
"95","11085","S007","3.0",""
"96","10983","S118","3.0",""
"97","12582","S016","3.0",""
"98","11122","S083","3.0",""
"99","10962","S088","3.0",""
"100","11202","S058","3.0",""
"101","10929","S043","3.0",""
"102","10886","S060","3.0",""
"103","10949","S024","3.0",""
"104","10989","S095","3.0",""
"105","11094","S077","3.0",""
"106","10883","S120","3.0",""
"107","10934","S073","3.0",""
"108","11051","S069","3.0",""
"109","10941","S072","3.0",""
"110","10936","S042","3.0",""
"111","11050","S071","3.0",""
"112","11090","S062","3.0",""
"113","11056","S045","3.0",""
"114","11655","S056","3.0",""
"115","11105","S128","0.0",""
"116","10975","S029","3.0",""
"117","10988","S065","3.0",""
"118","11037","S098","3.0",""
