"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2727","S109","96Kb+16Mb 約為16Mb","2","答案接近正確總和，約 16MB。",""
"2","2845","S015","roughly 16MB","2","雖未寫細算，但答案接近正確值。",""
"3","6544","S054","16MB+98KB","2","總量正確，16MB 加上少量 KB 誤差可接受。",""
"4","3926","S117","96KB + 16MB","2","正確列出 direct 與 single indirect 的總和。",""
"5","3043","S093","(12 + 2k) * 8k = 96k + 16M 大約等於16MB","2","公式正確，總量約 16MB。",""
"6","3717","S012","96kB + 16 MB","2","答案等同正確的約 16MB。",""
"7","4508","S108","96KB + 16MB","2","總量正確，符合參考答案。",""
"8","3458","S099","96KB + 16GB","1","direct 部分正確，但 single indirect 單位明顯錯誤。",""
"9","2849","S070","(12+2K)*8KB=16480KB","2","公式與總量正確，16,480KB 等值。",""
"10","4322","S080","96KB+16MB","2","正確，等同約 16MB 的總大小。",""
"11","3017","S003","96KB + 16MB","2","答案正確，符合最大檔案大小。",""
"12","3506","S035","96KB + 16MB","2","答案正確，符合參考值。",""
"13","4432","S037","96KB+16MB","2","答案正確，符合參考值。",""
"14","6075","S096","96KB + 16MB","2","答案正確，符合參考值。",""
"15","4255","S013","16MB + 96KB","2","答案正確，等同約 16MB。",""
"16","3996","S040","96KB + 16MB","2","答案正確，符合最大檔案大小。",""
"17","4481","S124","96KB + 16MB","2","答案正確，符合最大檔案大小。",""
"18","2940","S121","16Mb+96Kb","0","單位不正確，無法對應到檔案大小答案。",""
"19","6750","S068","1024 TB","0","答案明顯錯誤，與題目無關。",""
"20","3148","S102","16GB","0","單位明顯錯誤，結果不符合題意。",""
"21","4384","S034","file size: 12*8K+2K*8K=96K+16M","2","公式正確，已算出 direct 與 single indirect 的總和。",""
"22","3930","S084","(12+(2K))*8K = 96KB+16MB, 約為16MB","2","計算正確，總量約 16MB。",""
"23","4720","S079","3*2^15+2^24 bytes","2","以位元組表示且數值正確。",""
"24","2572","S122","16MB","2","答案正確，符合約 16MB。",""
"25","4137","S086","96 KB + 16MB","2","答案正確，符合總檔案大小。",""
"26","3912","S052","96KB+16MB (約16MB)","2","答案正確，等同約 16MB。",""
"27","3975","S033","16.096million bytes","1","量級接近，但數值與正確答案有落差。",""
"28","3363","S123","(12+2K)*8KB=96KB+16MB","2","公式正確，總量正確。",""
"29","3398","S027","16M+96K","2","答案接近正確總和。",""
"30","2946","S081","4kb","0","答案明顯錯誤，與題意無關。",""
"31","3481","S008","48 GiB + 8KiB","0","單位與數值都明顯不符。",""
"32","3845","S078","8KB*(12 + 2048)= 16480 KB","2","計算正確，得到 16480 KB。",""
"33","4194","S087","96KB+16MB","2","答案正確，符合參考答案。",""
"34","2935","S022","6MB + 1GB","0","數值與單位明顯錯誤。",""
"35","5317","S110","96KB+16MB","2","答案正確，符合參考答案。",""
"36","3653","S082","(12 * 8 + 1 * 2048 * 8) = 96KB + 16MB","2","公式與總量正確。",""
"37","5002","S105","16.48 GB","0","答案單位與數值明顯錯誤。",""
"38","2799","S111","16MB + 96KB","2","答案正確，等同總大小。",""
"39","2834","S085","(12*1+1*2K)*8K=96KB+16MB","2","公式正確，總量正確。",""
"40","3393","S004","96KB+16MB","2","答案正確，符合參考答案。",""
"41","2072","S011","16480KB","2","答案正確，等同 16480KB。",""
"42","3040","S046","96KB+16MB","2","答案正確，符合總大小。",""
"43","2077","S005","32MB+96KB","0","答案明顯過大，與題意不符。",""
"44","3511","S061","12*8K = 96KB , 2K*8K = 16MB Max: 96KB+16MB","2","有寫出 direct 與 indirect，總量正確。",""
"45","3862","S014","112KB","0","答案明顯偏離正確大小。",""
"46","2856","S028","16M + 96K","2","答案正確，等同約 16MB。",""
"47","2896","S107","96KB + 16MB","2","答案正確，符合參考答案。",""
"48","3175","S126","56","0","答案明顯錯誤，與題意無關。",""
"49","5215","S017","96KB+16MB","2","答案正確，符合參考答案。",""
"50","4435","S115","16MB+96KB","2","答案正確，符合總大小。",""
"51","2558","S089","96KB+16MB","2","答案正確，符合參考答案。",""
"52","3986","S009","2MB","0","答案過小，未符合最大檔案大小。",""
"53","3491","S094","4MB","0","答案明顯不足，與正確值差距大。",""
"54","5548","S066","16MB","2","答案正確，符合約 16MB。",""
"55","2440","S041","16MB","2","答案正確，符合約 16MB。",""
"56","4114","S031","96KB+16MB","2","答案正確，符合參考答案。",""
"57","5263","S116","96kb+16MB","2","答案正確，僅大小寫差異不影響。",""
"58","4085","S059","12*8K+2K*8K=96K+16M","2","公式正確，總量正確。",""
"59","6000","S064","4MB","0","答案明顯不足，未達正確大小。",""
"60","3023","S101","16MB+96KB","2","答案正確，符合參考答案。",""
"61","4734","S103","96KB+16MB","2","答案正確，符合總大小。",""
"62","6113","S104","(8KB)/(4B)=2K, direct 12*8KB=96KB, indirect 2K*8KB=16MB, file size = 16MB+96KB","2","公式與總量正確。",""
"63","3031","S023","32MB+96KB","0","答案明顯過大，與題意不符。",""
"64","3774","S113","(12+2K)*8K bytes","2","公式正確，已能推出正確大小。",""
"65","3762","S055","12*(8KB)+1*(2KB*8KB) ~= 16MB","2","概念正確，總量接近正解。",""
"66","3390","S119","24K+16M","1","有抓到 indirect 大項，但 direct 部分計算錯誤。",""
"67","4174","S067","16MB+24KB","1","有寫出部分組成，但數值不正確。",""
