"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12850","S109","crossbar :n^2
omega:(n/2)*log(n)","2","",""
"2","11709","S015","Crossbar network needs n^2 switches.
Omega network needs (n/2)lg(n) switches.","2","",""
"3","16103","S054","crossbar network：n^2
Omega network：(n˙ln(n))/2","1","Omega 公式錯誤：使用 ln(n) 自然對數而非 log2(n)",""
"4","11891","S117","crossbar: n * n crosspoints
omega: (n/2)log2(n)","2","",""
"5","11579","S093","crossbar: n^2
Omega: (n/2)*(logn)其中log的底數是2","2","",""
"6","11592","S012","crossbar: n^2
omega network: (n/2)*log2(n)","2","",""
"7","11573","S108","Crossbar: n^2
Omega: (n/2)logn","2","",""
"8","11581","S099","Omega: (n / 2) * log_2n
Crossbar: n ^ 2","2","",""
"9","11737","S070","crossbar network:n^2
omega network:(n/2)*(log2 n)                                        //以2為底","2","",""
"10","12147","S080","crossbar network: n^2
omega network: n/2*log2(n)","2","",""
"11","11197","S003","Omega: n/2 log_2(n)
Crossbar: n^2","2","",""
"12","11990","S035","1. crossbar network : n^2
2. Omega network : n/2 * log_2(n)","2","",""
"13","12597","S037","cross bar: n^2
Omega network: n/2(logn)","2","",""
"14","12204","S097","crossbar - n^2
Omega - n/2 * log_2 (n)","2","",""
"15","13996","S013","Crossbar: n ^ 2
Omega: (n / 2)*log_2(n)","2","",""
"16","12000","S040","crossbar: N^2
Omega: (N/2) * log_2(N) (if use 2x2 switch)","2","",""
"17","11162","S124","For omega network, (n/2) * log2(n)
For crossbar network, n^2
Therefore, crossbar networks requires a lot more switches than omega network ","2","",""
"18","12133","S121","Crossbar Network : n'2
Omega network : (n/2)log2(n)","2","",""
"19","14499","S068","Cross bar: n * n
Omega network: about log(n)","1","Omega 公式錯誤：缺少 n/2 因子，僅寫約 log(n)",""
"20","11574","S102","crossbar : n平方
omega: (n/2)*log2(n)  (以2為底)","2","",""
"21","11662","S034","crossbar network: n^2 crosspoints
Omega network: (n/2)*log2(n) crosspoints
","2","",""
"22","11186","S084","Crossbar network : n^2 switches。
Omega network : (n/2)*log2n。","2","",""
"23","11825","S079","crossbar: n^2
Omega: n/2* log_2(n)","2","",""
"24","12747","S122"," crossbar network: n^2
Omega network:(n/2)log2(n)","2","",""
"25","11704","S086","Crossbar network needs n^2 crosspoints, Omega network only need n/2 log2(n) switches.","2","",""
"26","12098","S052","Crossbar network: n^2 crosspoints
Omega network: (n/2)*log2(n) switches","2","",""
"27","11753","S033","crossbar network:n^2
Omega network:(n/2)log2(n)","2","",""
"28","12157","S123","Crossbar network: n^2
Omega network: (n/2)*log2(n)","2","",""
"29","11490","S027","omega network is cheaper
crossbar:n^2 crosspoints
omega:(n/2)*log2(n) 2*2 switches","2","",""
"30","11383","S081","for a crossbar nerwork- n^2
and for omega network- 2log n","1","Omega 公式錯誤：寫成 2log n，應為 (n/2)*log2(n)",""
"31","12092","S008","cross bar: n^2
omega: (n/2) log_2 (n)

cross bar > omega","2","",""
"32","12158","S078","crossbar network: n^2
Omega network: n/2 log2n","2","",""
"33","13215","S087","Crossbar:n^2
Omega:(n/2)log2n","2","",""
"34","11005","S022","Crossbar network: n^2
Omega network: (n/2) * (log2 n)","2","",""
"35","12565","S110","crossbar: n^2
omega: n/2 * log2n","2","",""
"36","12028","S082","Crossbar: n^2
Omega: n/2 * log_2(n)","2","",""
