"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3989","S109","2^12= 4Kb","1","答案為 2¹² 正確但標記為 4Kb（混淆 entries 與 KB），且缺乏推導過程",""
"2","3815","S015","2^{11} entries","1","使用 physical memory 31 bits 計算（31-20=11），推導自洽但混淆 virtual/physical address space",""
"3","3892","S054","2048","0","答案 2048 錯誤，無推導過程",""
"4","5108","S117","4096","1","答案正確但無推導過程",""
"5","4101","S093","4K(2^12)","1","答案正確（4K=2¹²）但無推導過程",""
"6","5378","S012","2048","0","答案 2048 錯誤，無推導過程",""
"7","6053","S108","4096","1","答案正確但無推導過程",""
"8","5006","S099","4096","1","答案正確但無推導過程",""
"9","3664","S070","2^12=4K","1","答案正確（2¹²=4K entries）但無推導過程",""
"10","5981","S080","4Kbyte","1","答案 4K 正確但標記為 Kbyte，混淆 entries 與 bytes",""
"11","2334","S003","4096","1","答案正確但無推導過程",""
"12","5085","S035","32-20 = 12, 2^12 = 4096   , Ans : 4096","2","",""
"13","5259","S037","4KB","1","答案數量正確（4K）但單位誤寫為 KB，混淆 entries 與 bytes",""
"14","5039","S096","2^(31 - 20) = 2^11 = 2048","1","使用 physical memory bits（31-20=11），推導自洽但混淆 virtual/physical address space",""
"15","5326","S013","4096 entries","1","答案正確但無推導過程",""
"16","5036","S040","4KB","1","答案數量正確但單位誤寫為 KB，混淆 entries 與 bytes",""
"17","5294","S124","2^11 = 2048 entries","1","使用 physical memory bits（2¹¹=2048），推導自洽但混淆 virtual/physical address space",""
"18","4826","S121","2^19","0","答案 2¹⁹ 錯誤，無合理推導",""
"19","6749","S068","1024","0","答案 1024 錯誤，無合理推導",""
"20","3990","S102","2048","0","答案 2048 錯誤，無推導過程",""
"21","5314","S034","2^(32-20)=2^12=4096 entries","2","",""
"22","4531","S084","(2^32)/(2^20)=4KB","1","推導方向正確（2³²/2²⁰=2¹²）但答案標記為 4KB，混淆 entries 與 bytes 單位",""
"23","6197","S079","2048 (211) entries","1","使用 physical memory bits（2¹¹=2048），推導自洽但混淆 virtual/physical address space",""
"24","4036","S122","4KB","1","答案數量正確但單位誤寫為 KB，混淆 entries 與 bytes",""
"25","2762","S086","4 KB","1","答案數量正確但單位誤寫為 KB，混淆 entries 與 bytes",""
"26","5400","S052","4096 entries","1","答案正確但無推導過程",""
"27","5621","S033","4096","1","答案正確但無推導過程",""
"28","4477","S123","4096","1","答案正確但無推導過程",""
"29","4513","S027","2^12=4096","1","答案正確（2¹²=4096）但無完整推導過程",""
"30","5747","S081","11098 entires","0","答案 11098 錯誤，無合理推導",""
"31","5689","S008","4096","1","答案正確但無推導過程",""
"32","2388","S078","2^21","0","答案 2²¹ 錯誤，無合理推導",""
"33","4054","S087","4096","1","答案正確但無推導過程",""
"34","4030","S022","2^12 entries","1","答案 2¹² 正確但無完整推導過程",""
"35","6579","S110","2^21","0","答案 2²¹ 錯誤，無合理推導",""
"36","4947","S082","2^12 = 4096","1","答案正確但無完整推導過程",""
"37","6224","S105","4096","1","答案正確但無推導過程",""
"38","4102","S111","2 ^ 12","1","答案 2¹² 正確但無完整推導過程",""
"39","4496","S085","2^32/2^20=2^12=4096","2","",""
"40","4452","S004","4096","1","答案正確但無推導過程",""
"41","2356","S011","2048","0","答案 2048 錯誤，無推導過程",""
"42","4385","S046","4K entries","1","答案正確（4K=4096）但無推導過程",""
"43","5775","S005","4K","1","答案數量正確（4K）但無推導過程",""
"44","2002","S061","4096","1","答案正確但無推導過程",""
"45","3684","S014","4096","1","答案正確但無推導過程",""
"46","4123","S028","4096 entries","1","答案正確但無推導過程",""
"47","3473","S107","12","0","答案 12 是 page number bits 數而非 entries 數，錯誤答題",""
"48","4549","S126","2(12)=4096 entries","1","答案正確（2¹²=4096）但無完整推導過程",""
"49","3759","S017","4K enrties    也就是2的12次方  (32-20=12)","2","",""
"50","5498","S115","4096","1","答案正確但無推導過程",""
"51","3082","S089","4K entries","1","答案正確但無推導過程",""
