"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2000","S109","他是反直覺的，增加 frames 卻沒有降低the number of page faults，反而變多了；approximately least recently used、mostly used recently","1","定義正確，但演算法答 approximately least recently used（LRU）而非 FIFO",""
"2","2180","S015","Belady's Anomaly is the situation happens when FIFO policy is used. When we increase the number of frames, the number of page fault is increasing, which is not intuitive.","2","",""
"3","5884","S054","it's a counterinstinct 情形 that increase page frame would bring increase page faults.","1","未回答哪個演算法有此 anomaly",""
"4","2620","S117","belady's anomaly指的是載入的page越多，page fault越多。
該alogorithm會在page fault時替換掉距離上次access時間最久的page。","1","演算法描述為「替換掉距離上次 access 最久的 page」即 LRU，非 FIFO",""
"5","2378","S093","當可以用的frame更多時，page fault的次數也更多，FCFS algorithm會有belady's anomaly","2","",""
"6","2664","S012","Belady's Anomaly是當給予更多frame空間時，frame switch卻更頻繁發生。
first in first out時會發生，最早加入frame 空間的frame會先被交換出去。","2","",""
"7","3372","S108","在增加頁框數目後，page fault 次數不減反增。
例如 FIFO 就有此種問題。","2","",""
"8","2542","S099","增加 number of page frames 導致 page fault 比例增加的情況。
","1","未回答哪個演算法",""
"9","2012","S070","當frame的數量增加 page fault也增加 ，FIFO容易發生","2","",""
"10","2883","S080","a belady's anomaly means that more frames won't have fewer page fault.
FIFO","2","",""
"11","3443","S003","when the numbers of frames increase ,the page fault rate was even higher
FCFS","2","",""
"12","2464","S035","q1 : when page number increases, the page fault rate doesn't decrease but increase. This is the allocate frame number n is not the subset of allocate frame number n + 1.
q2 : FIFO","2","",""
"13","2819","S037","Belay' s anomaly是一個很反常的現象，就是當physical frame增加而page fault不僅沒有相應的減少而是增加。此現象往往發生在FCFS replacement algorithm。","2","",""
"14","2117","S096","Belady's Anomaly is a scenario when giving a process more memory frames results in bigger amount of page faults. This anomaly may happen if FIFO replacement algorithm is used","2","",""
"15","3105","S013","1. increase the pages but increase the page fault
2.FCFS","2","",""
"16","2462","S040","In FIFO replacement algorithm, more pages are given, more page fault happen. This wired thing call Belady's Anomaly.","2","",""
"17","2070","S124","Belady's Anomaly is a counter-intuitive phenomenon where having more available slots to load pages in a page replacement algorithm actually leads to more page faults. Per example, the same sequence of page requests will lead to more page faults if you have 4 slots to load them than if you have 3. It happens in the FIFO algorithm.","2","",""
"18","2257","S121","Belady's anomaly is the curious behavior when allocating more frames to a process induces a increase a page fault.

The algorithm where the oldest page is replace by the new one, has this anomaly, ","2","",""
"19","6738","S068","形容 page 數量增加卻讓 page fault 的次數也增加的反直覺現象。FCFS 先到先服務的演算法可能會有此現象。","2","",""
"20","2104","S102","FIFO時，給他更多的frames會導致更多的page fault","2","",""
"21","2580","S034","A Belady's anomaly is a situation in the OS memory management where increasing the number of pages frame lead to increase of paging faults.
EDF has this anomaly.","1","演算法答 EDF，非 FIFO/FCFS",""
"22","2840","S084","Belady's anomaly通常發生在FCFS(or FIFO)，是當page frame增加時，page fault反而更多。","2","",""
"23","2741","S079","Belady's Anomaly happens when we open more frames trying to map more pages but creates more page fault instead. FCFS algorithm","2","",""
"24","1990","S122","這是一個反直覺的做法，當page 上升時，會導致其他下降
","0","定義模糊不清（「page 上升導致其他下降」），未回答演算法",""
"25","3411","S086","Belady's Anomaly refers to a counter-intuitive situation that increasing number of page frames result in increasing number of page fault.
FCFS has this anomaly.","2","",""
"26","2507","S052","Belady's Anomaly is that when there are more frames can be allocated, it results in more page faults. FIFO has this anomaly.","2","",""
"27","2538","S033","Belady's Anomaly負責處理當page frame數量值增加時所造成的page faults。","0","定義錯誤：將 Belady's Anomaly 描述為「負責處理」的機制而非現象",""
"28","2288","S123","Belady's Anomaly: More page frames may result in more page faults.","1","未回答哪個演算法",""
"29","2329","S027","Belady's Anomaly is a phenomenon in virtual memory management where increase the number of page frames unspectedly causes the number of page fualts to increase instead of decrease.
PFF replacement has this anomaly.","1","演算法答 PFF，非 FIFO/FCFS",""
"30","4436","S081","belady's anomaly allows to properly replace the pages in order of its priority and its size order so the the system can be executed in a shorter time. The replacement algorithm that also has this is ESJ","0","定義完全錯誤，演算法答 ESJ 亦錯",""
"31","2702","S008","The Belady's Anonmaly means sometimes when we increase the page table size, page fault happens more frequently than before. The First Come First Serve has this anomaly.","2","",""
"32","4787","S078","If increase the frame, page fault rate may be increase.
FCFI(First come first in) ","2","",""
"33","2305","S087","Belady's Anomaly是指os分配給一個process的frame越多，反而讓他page fault的次數更高。
FIFO","2","",""
"34","2255","S022","The page fault time increases when increasing the amount of the page frame.

FIFO will have this anomaly.","2","",""
"35","4161","S110","increasing the page number can be used but the page fault counts also increase
least used (choose the victom page which has the longest time from the last time being used)","1","演算法答 least used（LRU），非 FIFO",""
"36","2480","S082","Sometime when we increase the number of page frame, but the page fault increase as well. That is an anomaly. And usually seen in the FIFO algorithm.","2","",""
"37","3231","S105","使用 First In First Out algorithm 時，增加 process 的 frames 數量可能會使 page fault 次數上升。","2","",""
"38","2175","S111","照理來說page提升時，page fault發生的次數也應該降低。但當使用FCFS的時候，在特定情況下可能會發生fage提升，但page fault次數也增加的情況。","2","",""
"39","2215","S085","提升frame數量卻導致page fault增多的反直覺現象，
例如在LRU時可能發生","1","演算法答 LRU，非 FIFO",""
"40","2337","S004","常發生在FIFO，是一個反常現象，給更多的page frames數量，page fault ratio不降反升。","2","",""
"41","1794","S046","Belady's Anomaly : increase page frames will results in a increase of page faults.
Global replacement has this anomaly.","1","演算法答 Global replacement，非 FIFO",""
"42","1743","S005","More page numbers can cause more page fault.
In First In First Out.","2","",""
"43","5004","S061","increasing the number of page frames that increasing the  number of page faults.
","1","未回答哪個演算法",""
"44","3923","S014","page fault多，page frame也變多。
priorty inversion
","0","定義因果倒置，演算法答 priority inversion 完全錯誤",""
"45","2091","S028","1. page replacement 中，在提供更多的page frames的情況下，反而會發生""page fault也增加""的反直覺情況

2. FIFO has this anomaly
","2","",""
"46","2325","S107","it's a phenomenon which more page frames may leads to more page faults.
FIFO algorithm(stack algorithm) has this anomaly.","2","",""
"47","2318","S126","FIFO會遇到Belady anomaly這個狀況，就是你給的frame越多page fault 也會越多，不會因為資源比較多就降低錯誤","2","",""
"48","2427","S017","這是一個反直覺的現象，當page frames數量越多，page fault的數量居然不減反增。

這是FIFO演算法常有的問題，因為此演算法沒有重視各個page的重要性，誰先進來誰就先出去，導致它經常把許多使用頻率高的page丟掉，然後又馬上要找回來，導致page fault數量增多","2","",""
"49","2021","S115","Belady's Anomaly happens when the increase in pages actually increases page defaults, this happens in the First come First go algorithm, where we always replace the oldest page.","2","",""
"50","2100","S089","Belady's Anomaly是指在增加number of frame的情況下，page fault不減反增，我們可能會在FCFS等算法中看到","2","",""
"51","6453","S009","SSTF has this anomaly","0","未解釋定義，演算法答 SSTF（disk scheduling 演算法）完全錯誤",""
"52","6592","S066","FCFS(先到先處理)會發生Belady's Anomaly，此時增加frames反而會增加Page fault。","2","",""
"53","1996","S041","Belady's Anomaly 是一個當增加 frame 的數量，但 page fault 反而上升的反常現象，主要發生在 FIFO algorithm","2","",""
"54","6230","S031","Belady's Anomaly 是給更多page frame，但反而造成更多分頁錯誤。FCFS has this anomaly。","2","",""
"55","4324","S116","Belady's Anomaly指的是當page frame 增加時，出現page fault的次數反而會更多的反直覺現象，會出現在local replacement的演算法裡","1","演算法答 local replacement，非 FIFO/FCFS",""
"56","2905","S059","當memory frames 增多反而造成page fault 增加。

ESTF","1","演算法答 ESTF，非 FIFO/FCFS",""
"57","1696","S064","frame數量增加但page fault不減反增","1","未回答哪個演算法",""
"58","2237","S101","增加page frames反而增加page fault，發生在FIFO中。","2","",""
"59","3483","S103","1. 更多個frame會有更多page fault
2. local replacement","1","演算法答 local replacement，非 FIFO",""
"60","6506","S104","Belady's anomaly is a counterintuitive situation where increasing the number of page frame results in increasing the number of page fault. 
先進先出的方法就會有這個問題  ","2","",""
"61","2239","S023","A counterinuitive situation where increasing the number of page frames results in an increase in page faults.","1","未回答哪個演算法",""
"62","2090","S113","當若使用FIFO的page replacement algorithm時，選用更大的frames number可能反而會提升page fault number","2","",""
"63","2212","S055","這個狀況指的是增加memory frames的數量反而導致page fault增加,常見於FIFO演算法","2","",""
"64","2360","S119","1.working set>resident set導致頻繁的進行page swapping 。

2.FIFO

","1","定義描述的是 thrashing（working set > resident set），非 Belady's Anomaly",""
"65","2779","S067","Belady's Anomaly 是正常情況我給予越多的frame 會得到較少的page fault 但是這個情況發生時,給予更多的frame 卻會導致page fault 變多。

FCFS","2","",""
"66","2737","S076","Belady's Anomaly is the counterintuitive situation in memory management where the increase in the number of page frames results in the increase in the number of page faults. ","1","未回答哪個演算法",""
"67","2929","S074","Belady's Anomaly is when an increment in the number of page frames causes an increase in the number of page faults.
Usually, FCFS has this anomaly.","2","",""
"68","2372","S063","Belay' anomaly is a situation that operating system allocating more pages results in higher number of page fault.
FIFO. The algorithm that replaces the page which is put in the queue earliest. ","2","",""
"69","3065","S090","Belady's Anomaly is the situation that allocate more frames to the process, however let the times of page fault higher. FCFS(FIFO) has this anomaly.","2","",""
"70","5489","S100","When we increase the frame number, the page fault increases. 
First-in first-out  replacement.","2","",""
"71","2426","S114","Belady's Anomaly 是指分配給process的frame數越多，page fault ratio 不僅沒有降低，反而增加的現象。FIFO 就會有Belady's Anomaly的問題。","2","",""
"72","1811","S038","belady'a Anomly may occur at FIFO like 1234512512345 in 3 and 4 pages
","2","",""
