"index","exam_answer_id","username","original_score","original_feedback"
"1","11444","S109","4.0",""
"2","13320","S015","4.0",""
"3","14514","S054","4.0",""
"4","14377","S117","4.0",""
"5","12848","S093","4.0",""
"6","13411","S012","4.0",""
"7","13207","S108","4.0",""
"8","13045","S099","4.0",""
"9","12976","S070","4.0",""
"10","14671","S080","4.0",""
"11","11895","S003","4.0",""
"12","13712","S035","4.0",""
"13","15230","S037","4.0",""
"14","13619","S097","4.0",""
"15","11142","S013","4.0",""
"16","14121","S040","4.0",""
"17","11635","S124","4.0",""
"18","14732","S121","4.0",""
"19","12037","S068","4.0",""
"20","12903","S102","4.0",""
"21","13190","S034","4.0",""
"22","12001","S084","4.0",""
"23","13515","S079","4.0",""
"24","11688","S122","4.0",""
"25","13096","S086","4.0",""
"26","14553","S052","4.0",""
"27","13182","S033","4.0",""
"28","14117","S123","4.0",""
"29","12837","S027","4.0",""
"30","11841","S081","4.0",""
"31","14472","S008","4.0",""
"32","11017","S078","3.0",""
"33","12205","S087","4.0",""
"34","12257","S022","4.0",""
"35","14205","S110","4.0",""
"36","14778","S082","4.0",""
"37","13489","S105","4.0",""
"38","12187","S111","4.0",""
"39","13061","S085","2.0","沒寫缺點"
"40","13212","S004","4.0",""
"41","12819","S046","4.0",""
"42","12003","S005","4.0",""
"43","11854","S014","1.0",""
"44","12794","S107","4.0",""
"45","13889","S126","4.0",""
"46","15927","S017","4.0",""
"47","11963","S115","4.0",""
"48","12825","S089","4.0",""
"49","12226","S009","4.0",""
"50","14035","S094","4.0",""
"51","14094","S066","4.0",""
"52","13002","S041","4.0",""
"53","15969","S031","4.0",""
"54","12970","S116","4.0",""
"55","14025","S059","4.0",""
"56","12118","S064","4.0",""
"57","14246","S101","4.0",""
"58","13040","S103","4.0",""
"59","11439","S104","4.0",""
"60","14201","S023","4.0",""
"61","12724","S113","4.0",""
"62","13127","S055","4.0",""
"63","13577","S119","4.0",""
"64","13243","S067","4.0",""
"65","14623","S076","4.0",""
"66","12075","S074","4.0",""
"67","13778","S063","4.0",""
"68","13822","S090","4.0",""
"69","11699","S100","4.0",""
"70","12441","S114","4.0",""
"71","13615","S038","4.0",""
"72","12958","S047","4.0",""
"73","15091","S044","4.0",""
"74","13229","S075","4.0",""
"75","13155","S030","4.0",""
"76","12920","S106","4.0",""
"77","13552","S019","4.0",""
"78","12698","S020","4.0",""
"79","13001","S010","4.0",""
"80","13392","S091","4.0",""
"81","12990","S051","4.0",""
"82","12326","S039","4.0",""
"83","13179","S018","4.0",""
"84","12753","S049","4.0",""
"85","13377","S053","4.0",""
"86","13826","S092","4.0",""
"87","12603","S125","4.0",""
"88","12053","S021","4.0",""
"89","13331","S050","4.0",""
"90","13104","S036","4.0",""
"91","12909","S048","4.0",""
"92","13516","S112","4.0",""
"93","13117","S006","4.0",""
"94","13421","S057","4.0",""
"95","15551","S002","4.0",""
"96","13322","S007","4.0",""
"97","12709","S118","4.0",""
"98","16200","S016","1.0",""
"99","16156","S083","4.0",""
"100","13566","S088","4.0",""
"101","14787","S058","4.0",""
"102","12486","S043","4.0",""
"103","12296","S060","4.0",""
"104","12878","S024","4.0",""
"105","13288","S095","4.0",""
"106","13644","S077","4.0",""
"107","12874","S120","4.0",""
"108","14031","S073","4.0",""
"109","13298","S069","4.0",""
"110","13892","S072","4.0",""
"111","12949","S042","4.0",""
"112","13586","S071","4.0",""
"113","13057","S062","4.0",""
"114","13400","S045","4.0",""
"115","14664","S056","4.0",""
"116","14075","S128","2.0","Pros: (1) Easier to design and manage. (2) Efficient resource allocation by a centralized master. Cons: (1) Limited scalability (master becomes a bottleneck). (2) Single point of failure."
"117","15365","S029","4.0",""
"118","13252","S065","4.0",""
"119","13727","S098","4.0",""
