"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","3755","S109","local 是只能在自己 allocated 的 frames 中做替換，global 則是可以對all memory frames 做替換","2","兩者定義正確。",""
"2","3626","S015","Local replacement is a process could swap with the pages allocated to it. Global replacement could swap with any pages in the memory.","2","local/global 的分工正確。",""
"3","4722","S054","local:replaced by frame that only in same set of the process;global:can be replaced by all memory frame.","2","意思正確。",""
"4","4723","S117","local: process在自己分到的memory中挑選要替換的page。global: process 在所有memory space中挑選要替換的page","2","local/global 定義正確。",""
"5","3910","S093","local replacement是指在page replacement中，process只會swap out自己的page；而global replacement會swap out其他process的page","2","local 與 global 的差異正確。",""
"6","5067","S012","local replacement means a process can only replace a frame allocated to it. global replacement means a process could replace a frame allocated to other processes.","2","定義正確。",""
"7","5792","S108","當指派給 process 的頁框被寫滿，需要尋找 victim page 來替換時；local: 只能替換分配給此 process 的頁框；global: 可以替換其他 process 的頁框。","2","local/global 說明正確。",""
"8","4438","S099","Local: process 要做 page replacement 時，只能在自己的 memory frames 去選擇要替換的分頁；而 global replacement 則可以在所有的 memory frames 去選擇所要替換掉的分頁。","2","兩者皆正確。",""
"9","4015","S070","local replacement是process只能用他allocate的frame 做replacement，global replacement是可以用全部的frame做replacement","2","意思完整正確。",""
"10","5633","S080","local replacement let the process which are going to replace a page can only choose its own set of page. And global replacement means that when a process can replace any page.","2","核心概念正確。",""
"11","2527","S003","local means process choose a replacement from its own allocated memory, but the global means it may also choose from shared part","1","local 正確，但 global 只提到 shared part，定義不完整。",""
"12","4815","S035","local replacement : the process can only select the frame from its own allocated set when replacement is needed. global replacement : the process can select frame from all the memory frames when replacement is needed.","2","定義正確。",""
"13","5493","S037","Local replacement is that process choose a frame from its own allocated memory to replace. Global replacement is that the process choose the replacement frame from all memory","2","兩者皆正確。",""
"14","4651","S096","Local replacement - on page fault, a process can evict only the frame that belongs to the process. Global replacement - on a page fault, a process can evict a frame that belong to other processes. Global replacement is more efficient, because process that need more memory can take memory from processes that don't use a lot of memory.","2","local/global 概念正確。",""
"15","5025","S013","Local: process can only do ""swap"" in its own; Global: process can do ""swap"" in others","1","有抓到 local/ global 差別，但說明過於簡略。",""
"16","4729","S040","local replacement can only swap process's own memory page, but global can swap any page","2","意思正確。",""
"17","2627","S124","When a process needs a new page to be loaded, local replacement is using one of his allocated frames to do so, while global replacement is using frames outside of its allocated ones","2","兩者定義正確。",""
"18","4356","S121","local replacement : when a process replace its own frames. Global replacement : when a process replace its frames by external frames that it does not owned.","1","local 大致正確，但 global 說法不清楚。",""
"19","5287","S068","{
  ""text"": """"
}","0","未作答。",""
"20","4287","S102","local replacement 只和同個process的換pages，global replacement可以所有人換","2","兩者概念正確。",""
"21","5081","S034","local replacement: process replaces own it allocated frame. global replacement: process replaces ant frame in memory, including those of other process.","2","兩者概念正確。",""
"22","6417","S084","local replacement只能replace掉自己擁有的frame；global replacement可以拿別的process的frame來用。","2","定義正確。",""
"23","5956","S079","local replace can only map pages to its own designated frame memory; global replace can map pages to frame in the whole system memory","2","local/global 分別正確。",""
"24","3691","S122","local:從自己0分配到的memory frame替換 global:可以從全部的memory frame中提取做更換","2","意思正確。",""
"25","5758","S086","local replacement: the process can select the replacement frame from its own set of allocated frames.  Global replacement: the process can select the replacement frame from all memory frames.","2","兩者皆正確。",""
"26","4973","S052","Local replacement是只在process自己的allocated frame中做frame replacement。Global replacement則是可以使用其他process所佔有frame做replacement","2","定義正確。",""
"27","5212","S033","local replacement是指能使用process所分配到的frame，而global replacement則是可以使用所有frame","2","兩者皆正確。",""
"28","4261","S123","Local replacement: a process can only select a replacement frame from its own set of the allocated frames. Global replacement: a process can select a replacement frame from the all memory frames.","2","定義正確。",""
"29","4231","S027","local:replace with owns frames. global:replace with all frames","2","雖然簡短，但意思正確。",""
"30","2783","S081","local replacement is used in the process memory where as the global replacement is used in the access memory and cpu","0","內容偏離題意，未正確說明 local/global replacement。",""
"31","5328","S008","Local replacement means a process can only replace the old page within its resident set. Global replacement means a process can replace its old page with all existing pages. ","2","核心概念正確。",""
"32","4601","S078","local replacement only replace in the same page, but global replacement can replace whole memory","0","local/global 定義不正確。",""
"33","3773","S087","local replacement:發生page fault時，只能使用自身process的frame進行替換,global replacement:發生page fault時，可以使用其他process的frame替換","2","兩者定義正確。",""
"34","3783","S022","Local replacement: A process can only replace frames that are allocated to it. Global replacement: The available frames in the memory can all have a chance to be replaced.","2","意思正確。",""
"35","6472","S110","local replacement means choose the victom page to swap out from the page of its own process, global replacement means choose the victom page from all pages in virtual memory","2","概念正確。",""
"36","4580","S082","local replacement: process only can get the frame in its region. Global replacement: it can take all possible frame, that is, it is possible to take the frame which is assigned to other process.","2","定義正確。",""
"37","5951","S105","local replacement 表示一個 process 要進行 paging 時，只能拿自己的其他 pages 更換；global replacement 則可以拿其他 process 的 pages 做更換。","1","local 說法不夠精確，但大致有抓到與 global 的差別。",""
"38","3941","S111","Local指的是指能用分被給這個process的frame，global則是沒有限制。","2","local/global 差異正確。",""
"39","4178","S085","local:程式只可從自身被分配的frame中選擇替換；global:可從所有分發的frame中選擇","2","定義正確。",""
"40","5021","S004","local replacement:執行中的process發生page fault 且 memory空間不夠要做page replacement時，只能從process自己被分配到的frames中挑選victim frames去做交換。global replacement:能從系統的physical memory裡面挑選victim frames做交換，所以可能挑到其他process的frames。","2","兩者皆正確。",""
"41","4125","S011","local replacement就是只在一定範圍內取代。global replacement沒有限制取代的範圍。","1","只提到範圍限制，未明確說出 allocated frames。",""
"42","3969","S046","Local repalcement: a process can only select the replacement frame from its own set of allocated frames. Global replacement: a process may select the replacement frame from the set of all memory frames.","2","定義正確。",""
"43","2413","S005","local replacement only replace in its own set, global can replace any of all.","2","兩者皆正確。",""
"44","2376","S061","local replacement: it only can replace from its own allocation memory. global replacement: it can replace from global .","1","local 有抓到，global 仍偏簡略。",""
"45","2151","S014","local:replace own frame，global:replace all frame","2","意思正確。",""
"46","3904","S028","local replacement的replacement page只能選用自己被分配到的pages; global replacement則可以使用all memory pages","2","兩者定義正確。",""
"47","3950","S107","local replacement can only replaced its allocated page frames, while global replacement can replaced all the memory frames.","2","概念正確。",""
"48","4398","S126","local只能從這個process 對應的frame去換，但global可以從所有執行中process的frame去換","2","local/global 差異正確。",""
"49","4105","S017","local顧名思義就是想要踢走memory裡的frames替換成自己需要的frames時，只能夠從自己被分配到的memory空間裡去選擇。   global則是能夠從整個memory空間裡去選擇要踢掉哪些frames，想踢別人家的也可以","2","兩者皆正確。",""
"50","5337","S115","local replacement is replacing a page within the attributed space, whereas global replaces the page anywhere in the memory.","2","定義正確。",""
"51","2983","S089","local是指replacement frame只能從allocated的frame選，Global則是可以從所有的frame中選","2","兩者皆正確。",""
"52","4348","S009","local replacement can only happen in one page table, global replacement can happen in multiple page table","0","內容偏離題意，未正確說明 local/global replacement。",""
"53","2864","S094","local replacement：只能跟自己的frame交換 ，global replacement：可以跟整個系統所有的frame交換","2","意思正確。",""
"54","6727","S066","local replacement在需要替換頁面時，只能從分配給自己的空間下手。而global replacement則可對整個System的頁面進行替換。","2","兩者定義正確。",""
"55","2780","S041","local: 只能從程序被分配到的frame找victim page。global: 能從系統所有frame找victim page","2","定義正確。",""
"56","5105","S031","local replace:行程只能請求在同一個配置下的frame 。global replacement :行程可以請求所有memory下的frame","2","兩者皆正確。",""
"57","3637","S116","當一個process要replace frame的時候只能從他的allocated的memory去換，而Global replacdment則是指要replace frame的時候可以從整個全域的記憶體去做替換。","2","概念正確。",""
"58","4837","S059","local replacement: process只能從自己process裡面的frames當中選擇要交換的page.但global replacement是可以在不同的process中的frames當中找到要交換的pages","2","local/global 差異正確。",""
"59","2766","S064","local replacement是占用同一個process內的memory；global replacement則是可以占用其他process的memory","2","意思正確。",""
"60","4248","S101","local replacement: 替換位址時，只從自己被分配到的區塊作替換。global replacement: 可以在整個global的區域作變動。","1","local 大致正確，但 global 說明過於籠統。",""
"61","6042","S103","local replacement : 當page fault發生的時候, 只能跟自己的page替換; global replacement : 當page fault發生的時候, 可以跟所有page替換","2","兩者定義正確。",""
"62","4619","S104","Local replacement means that a process can only choose a replacement frame from its own set of allocated frames.    Global replacement means that a process can choose a replacement frame from the set of all memory frame.","2","定義正確。",""
"63","4842","S023","local replacement: a process can only select a replacement frame from its own set of allocated frames. global replacement: a process may select a replacement frame from the set of all memory frames.","2","兩者皆正確。",""
"64","2806","S113","當需要page replacement時，local replacement只能從process自己的allocated frames set選victim page，global replacement可以從其他process的allocated frame set中選victim page","2","local/global 差異正確。",""
"65","4637","S055","local replacement是replacement frames只能在限制的範圍,而global replacement的範圍是整塊memory space","2","核心概念正確。",""
"66","4311","S119","local replacement :process只能替換自己被分到的memory frame.    global replacement:process替換時可以去用別的process的memory frame.","2","定義正確。",""
"67","5331","S067","local replacement:當要進行replacement 時只能從自己被分配到的memory中找victim   global replacement:可以從其他程式被分配到的memory中尋找victim","2","兩者皆正確。",""
"68","6183","S076","Local replacement only allows taking replacement frames from its own set of replacements frames. Global replacement allows taking replacement frames for all shared replacement frames.","1","local 有抓到，但 global 說明不夠精確。",""
"69","2368","S074","Local replacement deals with memory with the same memory block while global replacement deals or goes beyond to memory access outside of the bound.","1","有提到範圍差異，但未明確說出 allocated frames。",""
"70","3705","S063","Local replacement can chose a replacement page only from its own allocated frames, while global replacement can choose all the frames for replacement frame.","2","兩者定義正確。",""
"71","4927","S090","local replacement is When the process is selecting the victim page to swap out, it can only choose the pages allocated to itself. In contrast, global replacement can choose all the pages in memory.","2","意思正確。",""
"72","3560","S100","Local replacement means we only replace the page frame in resident set of one process. Global replacement means one process may replace another process's working or resident frame in memory.","2","定義正確。",""
"73","4257","S114","兩者差異為page fault 處理時，若是挑選victim page 只能在自己這個process 的 allocated frame 內挑選則為 local replacement , 反之，則為global replacement ","2","兩者皆正確。",""
"74","2878","S038","local replacement can only choose victim from same process  global replacement can replace all process","1","local 有抓到，global 表達過於簡略。",""
"75","4970","S047","(1) 一個是同一個程式會用到的記憶體的那幾個page在replace；(2) 是在整個程式都換掉的時候整坨 replace","0","內容不清楚，未正確說明 local/global replacement。",""
"76","4472","S044","local replacement is that process can only do the frame replacement from its allocated frame set. global replacement is that process can do frame replacement from all set of frames. ","2","定義正確。",""
"77","4674","S075","忘了","0","未作答。",""
"78","4033","S030","前者只能替換屬於自己 process 的 page，後者可以搶其他的","2","local/global 差異正確。",""
"79","5001","S106","it means that when replacing page , local replacement can only select the victim page from it's allocated page , while global replacement can replace all pages in the memory . ","2","兩者皆正確。",""
"80","4744","S019","Local replacement  select replacement page frame from the set of its own allocated pages while global can select from the set of all memory pages","2","意思正確。",""
"81","3465","S020","logical replacement: a process can only select a replacement frame from the set of its own allocated frames. global replacement: a process can select a replacement frame from the set of all memory frames","2","定義正確。",""
"82","2417","S010","local replacement can only select replacement frame from its own assigned frames, while global replacement can select replacement frame from all memory frames in the memory.","2","兩者皆正確。",""
"83","4250","S091","Local replacement:只能使用自己的資源 global replacement:可以使用全局資源","1","有提到 local/global 差異，但過於籠統。",""
"84","5275","S051","local means only change process its own pages, global means can change other processes' pages","2","local/global 差異正確。",""
"85","3442","S039","local replacement is a process can only replace the memory it allocated, global replacement is a process can replace any place in physics memory","2","意思正確。",""
"86","3852","S018","local replacement是process只能替換他被分配的set中的page。 global replacement則是可以替換memory中任意的page","2","定義正確。",""
"87","4083","S049","local只能用自己thread的frame替換 global全部的frame替換","2","概念正確。",""
"88","5268","S053","process在更換page時可以從""自己的""或是""其他的""page來更換","1","有提到 own/other pages，但未明確定義 local/global。",""
"89","4749","S092","local replacement means when doing page replacement, it only replaces the pages of itself . global replacement means it may replace the pages of other processes.","2","兩者皆正確。",""
"90","4120","S125","local replacement :一個process page不夠時，只能替換自己所被分配到的frame。global replacement:可以替換所有的frame","2","定義正確。",""
"91","6552","S021","local- process can only choose the replacement on it own frames. global-process can choose the replacement from all memory frames","2","兩者皆正確。",""
"92","5302","S050","local replacement can only replace the local one, and global replacement can replace the one from all memory","2","意思正確。",""
"93","3779","S036","local replacement:只能從自己分配到的partition選擇Victim。global replacement:可以從all memory 選擇Victim。","2","local/global 差異正確。",""
"94","4442","S048","local replacement就是frame只能替換自己這條的其他frame；而global replacement則是可以替換所有的memory中的frame","1","global 有抓到，但 local 說法不夠精確。",""
"95","4828","S112","The local replacement means that the thread can only use its one page/fragmentation. In contrast, the global replacement means that the thread can use other threads' pages/fragmentations, and it depends on the need. ","1","有抓到可用自己或其他的差異，但用詞不精確。",""
"96","3605","S006","在被分配到的區段執行記憶體更新，或是於整個記憶體執行。","1","有提到區段與整體記憶體，但定義過於模糊。",""
"97","5203","S026","local:只能那個page間替換,global:主記憶體間替換","1","local/global 方向有提到，但不夠完整。",""
"98","6569","S057","一個行程可以轉換自己所屬的子集的 page；一個行程可以轉換任何記憶體內所有位置的 page ","2","定義正確。",""
"99","6461","S002","Local replacement: Only allows to find a replacement in the allocated frames while page fault happens. Global replacement: Allows to find a replacement in all frames while page fault happens.","2","兩者皆正確。",""
"100","4878","S007","A local replacement is a process replace the memory block in its working sets. A global replacement is a process replace the memory based on available memory that the main memory has.","2","概念正確。",""
"101","6381","S016","Local replacement:只能在被分配的記憶體frame的找尋replacement。而Global replacement則能在所有的記憶體中找尋replacement。","2","兩者皆正確。",""
"102","6345","S083","所謂local replacement是指頁框內的分頁替換，為程序本身分配到的記憶體內選擇分頁替換，不會影響其他頁框。所謂global replacement是指任意程式由系統整體選擇替換分頁。","2","定義正確。",""
"103","4392","S088","local replacemant: process只能從被分配到的momory選擇replacement page。 global replacement: process可以從all memory選擇replacement page","2","意思正確。",""
"104","5561","S058","local replacement frame: a process can choose a replacement frame just in it own set. global: it can choose from all memory space.","2","兩者皆正確。",""
"105","4953","S043","local replacement:只能在自身擁有的之間做replacement;global replacement可以在所有記憶體空間中做replacement","2","定義正確。",""
"106","4247","S060","local只能從它的allocated中去replace frame，blobal可以從all memory frame中","2","local/global 差異正確。",""
"107","3857","S024","local replacement: the process can only choose the memory frame of its own set to replace   globalreplacement: the process can choose the memory frame from whole memory to replace","2","兩者皆正確。",""
"108","6392","S095","local replacement can select a replacement frame from the allocated frame. global replacement cna select a replacement frame from memory frame.","2","定義正確。",""
"109","3808","S077","local replacement choose the victim from the process its allocated frame, global replacement choose the victim from all process' allocated frame..","2","local/global 的差異正確。",""
"110","4018","S120","While the frame is full now, we need to take some of them out and replace is with a more essential one. 'Local Replacement' is a policy that you can only replace the frame which is used for the same process while the 'global replacement' permit to replace the frames from other processes.","2","意思正確。",""
"111","4283","S073","local replacement是指一個process只能在被分配到的記憶體frame中選一個替換。而global replacement是指一個process可以在所有記憶體frame中選一個替換","2","兩者皆正確。",""
"112","3899","S069","local replacement 是只能替換掉自己resident set 裡面allocate的frame,global replacement是可以換掉不是自己allocate的memory 整個中的都能替換","2","概念正確。",""
"113","2590","S072","Local replacement : Process can use replacement  just its own set of frame.  Global replacement: Process can use replacement from set of all memory frames.","2","定義正確。",""
"114","3537","S042","local replacement: process can only select from its own set of memory frames. global replacement: process can select from all set of memory frames.","2","兩者皆正確。",""
"115","4016","S071","local replacement是指當發生page fault時，process只能從resident set來決定要替換掉的page；global replacement是指page fault時，process可以從整個memory中決定要替換的page","2","local/global 差異正確。",""
"116","6099","S062","local replacement是指只能從its own frames得到replacement frames，而global replacement可以從all memory frames得到","2","意思正確。",""
"117","4870","S045","local replacement就是只能用自己的frame ，global replacement就是整個memory的frame都能使用","2","兩者皆正確。",""
"118","3713","S056","Local replacement is a thread that can only use its fragmentation from it own replacement set of allocated memory. Global replacement is a thread used other fragmentation from all replacement set of memory.","0","內容不正確，未說明 local/global replacement。",""
"119","5464","S029","local:  在給定的page frame中，當新進程進來時，踢除page frame中執行最久的進程並使用。global: 當系統的總記憶體中有執行較久的，可以將其剔除並使用","0","內容偏離題意，未正確說明 local/global replacement。",""
"120","4473","S065","local replacement只能選擇自己的page做page swap。global replacement可以選擇任意page做page swap。","2","定義正確。",""
"121","6549","S025","local replacement means a process can only find replacement frame in the frame set it has been allocated. Global replacement means the process can find the replacement frame in all the set of frame.","2","定義正確。",""
"122","4998","S098","local:發生page fault時的victim page為自身process的page；golbal:victim page 可為其他process的page","2","local/global 差異正確。",""
