"index","exam_answer_id","username","original_score","original_feedback"
"1","11362","S109","2.0",""
"2","13479","S015","2.0",""
"3","14251","S054","2.0",""
"4","14733","S117","2.0",""
"5","13035","S093","2.0",""
"6","13765","S012","2.0",""
"7","13312","S108","2.0",""
"8","13255","S099","0.0",""
"9","13107","S070","2.0",""
"10","15036","S080","2.0",""
"11","12887","S003","2.0",""
"12","14185","S035","2.0",""
"13","15352","S037","2.0",""
"14","13894","S097","2.0",""
"15","11108","S013","2.0",""
"16","14393","S040","2.0",""
"17","11653","S124","2.0",""
"18","14883","S121","2.0",""
"19","16157","S068","2.0",""
"20","12943","S102","2.0",""
"21","15639","S034","2.0",""
"22","15584","S084","2.0",""
"23","13739","S079","2.0",""
"24","11578","S122","2.0",""
"25","14924","S052","2.0",""
"26","13446","S033","2.0",""
"27","13076","S027","2.0",""
"28","13483","S081","1.0",""
"29","14813","S008","2.0",""
"30","10926","S078","2.0",""
"31","11953","S087","2.0",""
"32","12422","S022","2.0",""
"33","14424","S110","2.0",""
"34","15008","S082","2.0",""
"35","13676","S105","2.0",""
"36","12237","S111","2.0",""
"37","13116","S085","2.0",""
"38","13567","S004","2.0",""
"39","12632","S011","0.0",""
"40","13042","S046","2.0",""
"41","12111","S005","2.0",""
"42","14861","S014","2.0",""
"43","12905","S107","2.0",""
"44","14186","S126","2.0",""
"45","16030","S017","2.0",""
"46","13285","S115","2.0",""
"47","12944","S089","2.0",""
"48","12613","S009","2.0",""
"49","14281","S094","2.0",""
"50","14361","S066","2.0",""
"51","14110","S041","2.0",""
"52","16048","S031","2.0",""
"53","13091","S116","2.0",""
"54","14296","S059","2.0",""
"55","14597","S101","2.0",""
"56","13172","S103","2.0",""
"57","11365","S104","2.0",""
"58","15622","S023","2.0",""
"59","13575","S113","2.0",""
"60","13296","S055","2.0",""
"61","15434","S119","2.0",""
"62","13385","S067","2.0",""
"63","15124","S076","2.0",""
"64","12182","S074","2.0",""
"65","13946","S063","2.0",""
"66","16123","S090","2.0",""
"67","11563","S100","2.0",""
"68","12461","S114","2.0",""
"69","13740","S038","2.0",""
"70","13180","S047","2.0",""
"71","15293","S044","2.0",""
"72","13413","S075","2.0",""
"73","13393","S030","2.0",""
"74","13186","S106","2.0",""
"75","14014","S019","2.0",""
"76","12755","S020","2.0",""
"77","12960","S010","2.0",""
"78","13557","S091","2.0",""
"79","13143","S051","2.0",""
"80","12113","S039","2.0",""
"81","13388","S018","2.0",""
"82","12961","S049","2.0",""
"83","13584","S053","2.0",""
"84","14262","S092","2.0",""
"85","12761","S125","2.0",""
"86","13233","S021","0.0",""
"87","13602","S050","2.0",""
"88","13200","S036","2.0",""
"89","13087","S048","2.0",""
"90","13638","S112","2.0",""
"91","13199","S006","2.0",""
"92","13767","S057","2.0",""
"93","15689","S002","2.0",""
"94","13594","S007","2.0",""
"95","11391","S118","2.0",""
"96","16159","S083","2.0",""
"97","14002","S088","2.0",""
"98","15077","S058","2.0",""
"99","12800","S043","2.0",""
"100","12537","S060","2.0",""
"101","13036","S024","2.0",""
"102","13445","S095","2.0",""
"103","14043","S077","2.0",""
"104","13079","S120","2.0",""
"105","15599","S073","2.0",""
"106","13589","S069","2.0",""
"107","14401","S072","2.0",""
"108","13093","S042","2.0",""
"109","13762","S071","2.0",""
"110","13191","S062","2.0",""
"111","13574","S045","2.0",""
"112","14780","S056","2.0",""
"113","14311","S128","2.0",""
"114","15578","S029","2.0",""
"115","14973","S065","2.0",""
"116","14202","S098","2.0",""
