"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12054","S109","(1) request message is lost (2) reply message is lost (3) server crashes after receiving a request (4) client crashes after sending a request ","3","client crash 非標準項，缺 cannot locate server",""
"2","12677","S015","1. LostReq: The request is lost before server receive it.
2. LostResp: The response is lost before server receive it.
3. Server crash: The server crashes after receiving request.
4. Client crash: The client crashes after sending request.","3","client crash 非標準項，缺 cannot locate server",""
"3","15299","S054","1, 連不上server
2, server 沒有收到 request
3, server crash after receive
4, client crasf after sent","3","client crash 非標準項，缺 reply/response lost",""
"4","13482","S117","1. lost of request
2. lost of response
3. server crash while processing request
3. client crash after sending request","3","client crash 非標準項，缺 cannot locate server",""
"5","12200","S093","1. response message lost
2. request message lost
3. receive server crash
4. cannot locate the server，可能因為版本不合之類的","4","",""
"6","12578","S012","1. reply message is lost
2. request message is lost
3. crash after request
4. crach after reply","3","crash after reply 非標準項，缺 cannot locate server",""
"7","12668","S108","Server crash,
Receiver lost,
Sender lost,
Sender crash after response,
Receiver crash after message sent.","3","Sender/Receiver lost 語意不明確，缺 cannot locate server",""
"8","12478","S099","1. Cannot locate server
2. Request message is lost
3. Reply message is lost
4. Client crash after sending a message","3","client crash 非標準項，缺 server crash after receiving request",""
"9","12539","S070","1.request lost
2.reply lost
3.can't find sever
4.server crash after received request","4","",""
"10","13576","S080","cannot locate the server: server shutdown or version mismatch.
lost request
lost response
the client crash after it send request","3","client crash 非標準項，缺 server crash after receiving request",""
"11","11570","S003","request message lost
response message lost
server crash after receiving request 
client crash before receiving response","3","client crash 非標準項，缺 cannot locate server",""
"12","13119","S035","1. can not locate the server
2. the request message is lost
3. the reply message is lost
4. the server crash after receiving the message.","4","",""
"13","14385","S037","1. Call by pointer: Server do not know the address of client
2. Global variable: Server cannot access client's global variable
3. unbounded array: IDL need to know the message length when transmission.
4. Undecided multiple argument in print","0","所列為 RPC 實作限制（pointer/global variable/unbounded array），非 RPC common failures",""
"14","12948","S097","1. Request lost
2. Response lost
3. Server crash on receiving the request
4. Client crash on receiving the response ","3","client crash 非標準項，缺 cannot locate server",""
"15","12500","S013","1.Server Crash
2.LostReq
3.LostResp
4.Client crashes after sending request","3","client crash 非標準項，缺 cannot locate server",""
"16","13359","S040","1. request loss
2. response loss
3. server crash when processing request
4. client crash after send request","3","client crash 非標準項，缺 cannot locate server",""
"17","11435","S124","- Server crash after replying
- Client crash after requesting
- Request lost 
- Reply lost","3","client crash 非標準項，缺 cannot locate server",""
"18","13697","S121","- The request is lost
- The response is lost
- The server crashed before receiving the request or before sending the response.
- The client crashed before sending the request.","3","client crash 非標準項，缺 cannot locate server",""
"19","14984","S068","1. server crush
2. client crush
3. 訊息送出時遺失
4. 訊息接收超時","1","僅訊息遺失可辨識；server/client crush 過於模糊，缺 reply lost、cannot locate server",""
"20","12465","S102","can not find server
server crash
request message lost
reply message lost","4","",""
"21","12743","S034","1. response message is lost.
2. request message is lost.
3. 找不到server(server down...)
4. server crashes after receiving a request.","4","",""
"22","11738","S084","1. Request message is lost
2. Reply message is lost
3. Server crashes after receiving a message
4. Client crashes after sending a message","3","client crash 非標準項，缺 cannot locate server",""
"23","12997","S079","cannot locate server
request is lost 
reply is lost
server crashes after request received
client crashes after request sent","4","",""
"24","11971","S122","丟失
沒收到回應
中斷
deadlock
","1","僅「沒收到回應」可辨識為 reply lost；其餘過於模糊或非標準項目",""
"25","12678","S086","1. Cannot locate the server
2. The request message is lost
3. The reply message is lost
4. Server crash after receiving the request
5. Client crash after sending the request","4","",""
"26","13565","S052","1. Cannot locate server
2. Request is lost
3. Reply is lost
4. Server crashes","4","",""
"27","12779","S033","1.cannot locate the server 
2.request lost 
3.reply lost
4.server crash when sender sent message","4","",""
"28","13474","S123","1. lost request
2. lost response
3. server crash after receive request
4. client crash after sending request","3","client crash 非標準項，缺 cannot locate server",""
"29","12366","S027","cannot locate server
lost request
lost reply
server crashes","4","",""
"30","11659","S081","1. failure pointer
2. failure allocation
3. spinlocks
4. Failure of the server","1","前三項（pointer/allocation/spinlock）非 RPC failure；Failure of the server 過於模糊",""
