"index","exam_answer_id","username","original_score","original_feedback"
"1","2650","S109","3.0",""
"2","2723","S015","3.0",""
"3","6069","S054","3.0",""
"4","3829","S117","3.0",""
"5","2968","S093","1.0","process program"
"6","3527","S012","3.0",""
"7","4445","S108","3.0",""
"8","3251","S099","3.0",""
"9","2686","S070","3.0",""
"10","4201","S080","3.0",""
"11","3096","S003","3.0",""
"12","3415","S035","3.0",""
"13","4327","S037","3.0",""
"14","3516","S096","3.0",""
"15","4144","S013","3.0",""
"16","3942","S040","3.0",""
"17","2271","S124","3.0",""
"18","2863","S121","3.0",""
"19","6588","S068","3.0",""
"20","2930","S102","2.5","thread"
"21","4302","S034","3.0",""
"22","3736","S084","3.0",""
"23","4712","S079","3.0",""
"24","2501","S122","2.0","process"
"25","3906","S086","3.0",""
"26","3805","S052","3.0",""
"27","3873","S033","3.0",""
"28","3611","S123","3.0",""
"29","3264","S027","3.0",""
"30","1980","S081","2.0","thread"
"31","3296","S008","3.0",""
"32","3704","S078","3.0",""
"33","3299","S087","3.0",""
"34","2838","S022","3.0",""
"35","5232","S110","3.0",""
"36","3430","S082","3.0",""
"37","4816","S105","3.0",""
"38","2749","S111","3.0",""
"39","2765","S085","3.0",""
"40","3200","S004","3.0",""
"41","2811","S011","3.0",""
"42","2962","S046","3.0",""
"43","2013","S005","3.0",""
"44","3421","S061","2.0","thread"
"45","2541","S014","3.0",""
"46","2830","S028","3.0",""
"47","2739","S107","3.0",""
"48","3135","S126","3.0",""
"49","5368","S017","3.0",""
"50","2150","S115","3.0",""
"51","2518","S089","3.0",""
"52","3913","S009","3.0",""
"53","3600","S094","3.0",""
"54","6638","S066","2.0","process"
"55","2371","S041","3.0",""
"56","4017","S031","3.0",""
"57","5158","S116","3.0",""
"58","4025","S059","3.0",""
"59","2319","S064","3.0",""
"60","2848","S101","2.0","program"
"61","4595","S103","3.0",""
"62","6174","S104","3.0",""
"63","3526","S023","3.0",""
"64","3721","S113","3.0",""
"65","3662","S055","3.0",""
"66","3121","S119","3.0",""
"67","3916","S067","3.0",""
"68","4547","S076","3.0",""
"69","4610","S074","3.0",""
"70","3014","S063","3.0",""
"71","3856","S090","3.0",""
"72","3934","S100","3.0",""
"73","3487","S114","3.0",""
"74","2146","S038","3.0",""
"75","3197","S047","3.0",""
"76","3488","S044","3.0",""
"77","3003","S075","3.0",""
"78","2738","S030","3.0",""
"79","3983","S106","3.0",""
"80","3659","S019","3.0",""
"81","2728","S020","3.0",""
"82","4145","S010","3.0",""
"83","2803","S091","3.0",""
"84","4462","S051","3.0",""
"85","4364","S039","3.0",""
"86","2996","S018","3.0",""
"87","3423","S049","3.0",""
"88","4184","S053","3.0",""
"89","3606","S092","3.0",""
"90","2557","S125","3.0",""
"91","6342","S021","3.0",""
"92","2835","S050","3.0",""
"93","2891","S036","3.0",""
"94","3176","S048","3.0",""
"95","6362","S112","3.0",""
"96","2959","S006","3.0",""
"97","3746","S026","3.0",""
"98","2565","S032","3.0",""
"99","5944","S057","3.0",""
"100","6154","S002","3.0",""
"101","6295","S007","3.0",""
"102","4919","S016","3.0",""
"103","5176","S083","3.0",""
"104","3016","S088","3.0",""
"105","3902","S058","3.0",""
"106","3770","S043","3.0",""
"107","2773","S060","3.0",""
"108","2721","S024","3.0",""
"109","6245","S095","3.0",""
"110","3181","S077","2.0","program"
"111","2877","S120","3.0",""
"112","5030","S073","3.0",""
"113","2955","S069","3.0",""
"114","3454","S072","3.0",""
"115","2860","S042","3.0",""
"116","3126","S071","3.0",""
"117","4631","S062","3.0",""
"118","3540","S045","3.0",""
"119","2788","S056","3.0",""
"120","3844","S029","3.0",""
"121","3545","S065","3.0",""
"122","5928","S025","2.0","thread"
"123","3475","S098","3.0",""
