"index","exam_answer_id","username","original_score","original_feedback"
"1","1750","S109","2.0",""
"2","1778","S015","2.0",""
"3","1757","S054","2.0",""
"4","1967","S117","2.0",""
"5","2299","S093","2.0",""
"6","1991","S012","2.0",""
"7","1994","S108","2.0",""
"8","2217","S099","2.0",""
"9","1940","S070","0.5","描述的是 priority inversion 情境，非 busy waiting 的通用定義"
"10","2210","S080","2.0",""
"11","1726","S003","2.0",""
"12","1925","S035","1.0","未明確提及迴圈持續檢查的機制"
"13","1966","S037","2.0",""
"14","1863","S096","1.0","未明確提及以迴圈持續檢查條件的機制"
"15","1852","S013","1.0","描述混淆，未清楚表達等待方以迴圈持續檢查的行為"
"16","1850","S040","2.0",""
"17","1823","S124","2.0",""
"18","1931","S121","2.0",""
"19","2170","S068","2.0",""
"20","1798","S102","2.0",""
"21","1949","S034","2.0",""
"22","2088","S084","2.0",""
"23","2323","S079","2.0",""
"24","1877","S122","1.0","未提及迴圈持續檢查的機制，僅描述「等待」"
"25","1701","S086","2.0",""
"26","1951","S052","2.0",""
"27","1945","S033","2.0",""
"28","2026","S123","2.0",""
"29","1899","S027","2.0",""
"30","5336","S081","1.0","描述的是 priority scheduling/starvation，與 busy waiting 概念不符"
"31","2030","S008","2.0",""
"32","2659","S078","2.0",""
"33","1981","S087","2.0",""
"34","1786","S022","2.0",""
"35","2802","S110","2.0",""
"36","1905","S082","2.0",""
"37","1932","S105","2.0",""
"38","1826","S111","0.5","描述 priority inversion 情境，未明確提及迴圈持續檢查的機制"
"39","1835","S085","2.0",""
"40","2001","S004","2.0",""
"41","1527","S011","2.0",""
"42","1631","S046","2.0",""
"43","1654","S005","2.0",""
"44","2960","S061","2.0",""
"45","3056","S014","1.0","「持續沒有被執行」觀念有誤，busy waiting 的 process 實際上在執行迴圈；描述過於簡略"
"46","1738","S028","2.0",""
"47","1898","S107","2.0",""
"48","1887","S126","1.0","未明確描述以迴圈持續檢查的機制"
"49","2062","S017","2.0",""
"50","3153","S115","1.0","將 spinlock 歸因於 priority，概念混淆"
"51","1785","S089","1.0","未描述持續檢查條件的行為，僅提及卡在 loop 中"
"52","1961","S009","1.0","混淆持有 lock 的 process 與等待方的行為描述"
"53","1730","S094","0.0","答非所問，描述的是虛擬記憶體"
"54","6562","S066","2.0",""
"55","1849","S041","2.0",""
"56","2599","S031","2.0",""
"57","2034","S116","2.0",""
"58","2213","S059","2.0",""
"59","1601","S064","2.0",""
"60","1747","S101","1.0","未描述 busy waiting 的機制（迴圈持續檢查），僅提及「等待」"
"61","2029","S103","0.5","描述的是 priority inversion，非 busy waiting 的定義"
"62","2434","S104","2.0",""
"63","2056","S023","2.0",""
"64","1671","S113","2.0",""
"65","1963","S055","0.5","未解釋 busy waiting 的機制，僅提及導致 priority inversion"
"66","1910","S119","2.0",""
"67","2402","S067","2.0",""
"68","2124","S076","2.0",""
"69","2705","S074","2.0",""
"70","1914","S063","2.0",""
"71","1985","S090","2.0",""
"72","4971","S100","2.0",""
"73","1912","S114","2.0",""
"74","1605","S038","1.0","未明確描述迴圈持續檢查的機制"
"75","2103","S047","2.0",""
"76","1891","S044","2.0",""
"77","1815","S075","2.0",""
"78","1663","S030","2.0",""
"79","1878","S106","2.0",""
"80","1946","S019","2.0",""
"81","1825","S020","1.0","busy waiting 的 process 實際上在執行（佔用 CPU 跑迴圈），而非「未執行」"
"82","3154","S010","2.0",""
"83","2234","S091","0.5","描述的是 priority inversion，非 busy waiting 的定義"
"84","1644","S051","2.0",""
"85","1876","S039","2.0",""
"86","1901","S018","2.0",""
"87","2429","S049","2.0",""
"88","2015","S053","2.0",""
"89","2035","S092","2.0",""
"90","1714","S125","0.0","未回答「什麼是 busy waiting」，僅提及可能的結果"
"91","2028","S021","2.0",""
"92","1716","S050","2.0",""
"93","1784","S036","2.0",""
"94","1944","S048","2.0",""
"95","2678","S112","0.5","描述的是 priority inversion，非 busy waiting 的定義"
"96","1715","S006","2.0",""
"97","2099","S026","2.0",""
"98","4079","S032","1.0","未提及以迴圈(loop)持續檢查的機制，僅描述「等待」"
"99","2569","S057","2.0",""
"100","2111","S002","2.0",""
"101","1948","S007","1.0","觀念有誤，描述接近 deadlock，非 busy waiting"
"102","2208","S016","2.0",""
"103","2533","S083","2.0",""
"104","1976","S088","2.0",""
"105","2220","S058","2.0",""
"106","2060","S043","0.5","將 busy waiting 與 priority inversion 混淆，最後定義有誤"
"107","1828","S060","2.0",""
"108","1885","S024","0.5","描述的是 priority inversion 及其解法，非 busy waiting 的定義"
"109","1799","S095","2.0",""
"110","1806","S077","2.0",""
"111","1923","S120","2.0",""
"112","1845","S073","2.0",""
"113","1848","S069","2.0",""
"114","4944","S072","2.0",""
"115","2032","S042","2.0",""
"116","1906","S071","2.0",""
"117","2382","S062","1.0","未提及迴圈持續檢查的機制，僅描述等待進入 CS 的狀態"
"118","2036","S045","2.0",""
"119","1846","S056","2.0",""
"120","2050","S029","1.0","輪詢對象描述有誤（應為 lock/條件，非 CPU 是否空閒）"
"121","1968","S065","2.0",""
"122","2345","S025","2.0",""
"123","1790","S098","2.0",""
