"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","4040","S109","DMA 是可以讓devices 在沒有cpu 介入下大量transfer data, it saves the cpu time","2","",""
"2","3884","S015","Direct memory access is a technique that the process (or a device) could access the main memory by it self. Doesn't need to be handled by CPU. It could increase the performance of system in the scenario that frequently accesses memory such as swapping pages.","2","",""
"3","3725","S054","let devices can access the data to and from main memory independently, without intervent of CPU, it can keep up efficiency of CPU and performance. ","2","",""
"4","5234","S117","computer transfer data between devices, 不經過processors干預，可以節省processor干預的時間，可用來傳大量資料","2","",""
"5","5384","S093","DMA是可以協助I/O的一種device，當要執行I/O時，CPU可以將所需要的內容告訴DMA，而DMA會負責處裡I/O，雖然可能會跟CPU搶bus，但是用DMA相較polling跟interrupt等方式，會更快速","1","說明 DMA 協助 I/O 及 CPU 效率，但未明確指出裝置直接與主記憶體交換資料的核心機制。",""
"6","5598","S012","external devices like network card or usb can transfer data with memory directly without cpu helping. DMA contorller helps transfer data between devices and memory, meanwhile cpu could do other things. DMA controller notifies cpu when data is done transfering.","2","",""
"7","6144","S108","當 CPU 需要使用 I/O 設備的資料時，CPU 會將所需資料的資訊，寫入 DMA，交由他和 I/O 設備互動以及將資料搬入記憶體。此時資料的移動就不需要 CPU 來管理，他可以做其他事情，而 DMA 在完成之後會發送 interrupt 通知 CPU 資料準備完成。","2","",""
"8","5065","S099","硬體設備可以不用透過 CPU 直接存取 System Memory。","1","僅提「硬體裝置不透過 CPU 直接存取記憶體」，缺少效益或目的說明（如減少 CPU 占用、提升效能）。",""
"9","3566","S070","讓CPU不用去處理memory and disk的IO，可以不用在這部分消耗CPU的資源，交由dma controler處理，等到dma controler處理完會通知CPU","2","",""
"10","6117","S080","Direct memory access is a technique that can transfer data between devices without evolving the cpu.
DMA contoller can access the memory of the cpu independently, and therefore transfer a great amount of data at high speed to reduce cpu usage and improve the performance of cpu.","2","",""
"11","2294","S003","The DMA allow the directly reading and writing for the devices to memory. It allow CPU no need  to help with the data transfer, can save CPU times.","2","",""
"12","5165","S035","The device can transfer data with memory directly, and doesn't need CPU to intervene for every bytes/words, which is faster and efficient.","2","",""
"13","5206","S037","DMA is that cpu allow device to directly access memory and transfer data from memory to device register(or in reverse direction) let cpu do not need to use cpu resource to transfer data.","2","",""
"14","5168","S096","With DMA devices on a computer can directly access memory without CPU intervention. Without DMA these devices would ask a CPU to receive memory for them (which wastes CPU resources)","2","",""
"15","5414","S013","directly access to memory rather than using process","1","過於簡短，僅一句話，缺少裝置類型、資料傳輸說明及 CPU 效益等完整要點。",""
"16","5100","S040","some device can direct control other device's memory without ask cpu to handle it.","1","描述為「控制其他裝置的記憶體」有誤，DMA 應為直接存取主記憶體（main memory），非其他裝置的記憶體。",""
"17","2866","S124","DMA is when an I/O device has directly access to the memory in order to transfer data to/from it. This helps save a lot of time and CPU utilization as the transmission of data does not need the intervention of the OS to process the communication between the memory and the device. ","2","",""
"18","5071","S121","DMA is used to allow network / storage devices to communicate with the memory without the intervention of the CPU. It saves a lot of cpu utilization by using fast bus to write or read data in the memory.","2","",""
"19","4297","S068","DMA 機制可以使 process 在需要存取記憶體時不需要處理器的資源，可以增加整體的吞吐量。然而這樣的機制需要特別的硬體支援。","1","主體描述為 process 存取記憶體，應為 I/O 裝置/設備直接存取主記憶體。",""
"20","3933","S102","DMA is to let devices directly transfer data to memory ,it can reduce the use of CPUs.","2","",""
"21","5430","S034","DMA is technique used by computer to transfer data between device without involving the CPU.","1","僅說明裝置間傳輸不需 CPU，缺少效益說明（如減少 CPU 占用、提升效能）。",""
"22","4673","S084","DMA是device存取memory的一種方式，device可以不用經過CPU就能存取memory，好處是省下的CPU資源可以拿去執行其他程式用。","2","",""
"23","6215","S079","the device can access the system memory bus directly without the help from OS or CPU.","2","",""
"24","4108","S122","可以不須透過CPU，硬體可以直接與MEMORY進行交換","1","有核心概念但缺少效益說明（如減少 CPU 占用、提升效能）。",""
"25","2704","S086","DMA is the technique that allows I/O devices transfer data directly to or from main memory, reducing CPU overhead and improve transfer efficiency.","2","",""
"26","5585","S052","Direct Memory Access let devices access memory/ data transfer between devices directly without involving CPU. This makes data transfer faster, reduce CPU usage and improve system performance. ","2","",""
"27","5702","S033","DMA是一項技術在獲取memory時不用通過CPU。","1","描述模糊，缺少裝置層面的說明以及效益說明。",""
"28","4556","S123","DMA allows devices to access data directly to/from the main memory without involving the CPU.","2","",""
"29","4613","S027","DMA is a techniqe that allows device to transfer data directly to/from main memory without CPU involvement","2","",""
"30","6337","S081","Direct Memory Access","0","僅列出名稱展開，沒有任何實質內容。",""
"31","5778","S008","DMA is the technique that allows devices to access from/to the memory without the help of cpu.","2","",""
"32","6036","S078","no","0","無效作答。",""
"33","5885","S087","DMA是一種資料的傳輸方式，device可以直接將資料傳送到memory中，不需要cpu傳送資料，傳送完成後再發送interrupt告知cpu。","2","",""
"34","5395","S022","A techique of accessing memory without the control from the cpu.","1","缺少裝置主體說明且無效益描述。",""
"35","6590","S110","the device can access the memory without using CPU","1","缺少效益說明（如減少 CPU 占用、提升效能）。",""
"36","5125","S082","it describes the relation between memory and device. DMA means device can access the memory directly. no need to pass processor.","2","",""
"37","6259","S105","其他 bus 上的裝置不透過 CPU 支援，直接存取記憶體。","2","",""
"38","4156","S111","Device可以直接access OS中的memory。","1","存取對象描述不精確（應為主記憶體，非『OS 中的 memory』），缺少效益說明。",""
"39","4554","S085","device可以直接讀寫記憶體，不須透過CPU，提升CPU利用率","2","",""
"40","4377","S004","是一種I/O技術，讓device可以在沒有CPU逐筆搬運data的情況下，直接在memory和device之間傳輸資料。CPU的工作是設定DMA參數並啟動DMA，之後DMA controller取得bus完成bulk transfer。完成之後會發送interrupt通知CPU，可以降低CPU在I/O的overhead，適合大量資料傳輸","2","",""
"41","4461","S011","直接去對整個記憶題存取，而不透過分頁。","0","概念錯誤，把 DMA 誤解為不分頁的記憶體存取，與分頁（paging）混淤。",""
