question_id,question_order,max_score,exam_answer_id,subject_id,human_score,deepseek-v4-flash,deepseek-v4-pro,flash_pro_abs_diff,flash_abs_error,pro_abs_error,mean_ai_score,mean_ai_abs_error,worst_abs_error
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11265,S064,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11392,S124,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11488,S014,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11502,S003,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11505,S115,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11537,S005,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11567,S084,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11715,S111,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11758,S114,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11827,S118,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11923,S060,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,11956,S125,0.0,0.0,1.0,1.0,0.0,1.0,0.5,0.5,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12058,S020,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12078,S122,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12117,S043,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12130,S049,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12155,S113,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12161,S027,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12177,S089,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12180,S046,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12193,S106,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12211,S109,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12240,S116,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12245,S120,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12249,S048,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12269,S085,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12270,S006,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0
0a0d5e7d-9e62-409b-ba1f-fc5a70b32017,11,2.0,12285,S024,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
