"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2311","S109","當有 low priority thread hold high priority 需要的資源，但是因為cpu會先分配給high的，因此low 永遠沒辦法完成自己的task 然後交出鎖；像是high priority 的不斷在critical section 外面 busy waiting ，但是low priority 的卻一直被拿走cpu 不能做完自己的task，因此low不能交出鎖，然後cpu就一直被浪費；可以讓在critical section 裡面的thread 先把priority提升到max(外面在bust waiting thread的最大priority)，完成後再恢復到normal level
","3","",""
"2","2415","S015","Priority inversion is the problem that the low priority task hold a resource which is needed by a high priority task. Causing the high priority task can't be executed.
The scenario where busy waiting lead to it is that. Since the high priority task uses CPU more frequently, the low priority task may not release the resource. When the high priority task uses CPU, it always stays in the busy loop and not really doing anything.
Priority inheritance solve this issue by temporary increase the priority of the low priority task to max priority. It let the task could be finished first. Once the task release the resource, the priority of the task is back to the original value.","3","",""
"3","6278","S054","優先度高的Process 被優先度低的process卡住，但cpu 仍重複在檢查優先度高的process的狀態，無法執行並釋放優先度低的process的資源.

assume process A has higher 優先度，但還未進入critical session, 正在檢查階段，but 低優先度的process B掌握了資源像是lock, 釋放不了，造成cpu空轉.

讓 process B提升到一群A中maximum的優先度，執行B後釋放資源 , 再回復到原本的優先度","3","",""
"4","3055","S117","priority 高的process被priority低的process卡住無法繼續運行。priority高的A嘗試進入critical section，但priority低的B已在cs裡面，cpu time分給了A但因B無法release lock，使得A busy waiting，無法進入cs，A被B卡住無法繼續運行。priority inherence調高進入cs的priority到最高，使得能運行完成cs並釋出lock。
","3","",""
"5","2656","S093","當high priority process所需要的resources被low priority process所持有時，因為low priority process需要等其他高priority process執行，而high priority process因為無法獲得該resource須一直等待。priority inheritance可以透過將high priority process的priority借給low priority process，一旦low priority process釋放出high priority process所需resource時，其priority會恢復原樣，而high priority process可以成功獲得resource去執行","2","b 面向未明確說明 spinlock busy waiting 佔用 CPU 導致低優先任務無法執行的機制",""
"6","2854","S012","當擁有high priority的process在busy waiting時，沒辦法進入CS處理正事，而low priority的process必須等到high priority的process處理完並釋放lock才能進入CS，所以在high priority結束busy waiting之前，low priority process沒辦法做正事。

priority inheritance會把low priority  -> high priority而high priority -> low priority，所以原本的high priority process變成low priority process之後就不會擋在原本low priority process 前面。","1","priority inversion 方向描述錯誤（說 low 等 high 完成才進 CS）；priority inheritance 解釋為互換 priority，亦錯誤",""
"7","3761","S108","priority inversion: 優先程度較小的 process 正在 critical section 中，而優先程度較大的 process 卻因為使用 busy waiting 不斷占用 CPU，使得小 process 永遠無法離開 critical section，而大 process 不斷在詢問做白工。
例子: 當某 process A 的優先程度 > process B，此時 B 在 critical section 中，其 CPU 使用權被 process A 搶走，但 critical section 的鎖尚未解開，A 不斷使用 spinlock 探詢並佔用 CPU，而 B 因為拿不到 CPU 而永遠無法離開 critical section 並解鎖。
priority inheritance: 當 A 被阻擋時，暫時借用其 priority 來給 B 使用，讓 B 可以順利拿到 CPU 來離開 critical section 藉此解決 priotiry inversion 無限卡死的問題。","3","",""
"8","2825","S099","1. 低優先度的 process 擋住高優先度的 process 執行的情況。
2. 假設有 2 process: P1, P2，P1 擁有較高的執行優先度，此時 P2 正在 critical section 執行中，P1 使用 Busy waiting 佔著 CPU 資源去等待 P2 的鎖釋放，但因為 P1 佔著 CPU 資源導致 P2 無法將鎖釋放，P1 的執行反而被低優先度的 P2 擋住。
3. ","2","c 面向（priority inheritance 解法）完全未回答",""
"9","2228","S070","高優先權的占用CPU資源一直空轉，導致低優先權的無法得到足夠的CPU資源而一直占用lock，因此會先將佔用lock低優先權的那個thread的優先權變成在等這個lock的所有thread最高的優先權，他才能獲得足夠的CPU資源去完成","2","b 面向缺乏明確的 spinlock 情境步驟說明；a 的定義以症狀描述代替",""
"10","3308","S080","priority inversion happened when a lower priority process have a resource that higher priority process also want to access, it may cause the lower priority one have the resource but cannot do anything. Spinlock may cause the problem because the lower priority one may have the lock to the resource, but the higher priority come into it and preemt the position without lock, so both of them can do nothing. Priority inheritance can solve it by raise the priority of the executing process with lock to the highest, so no one can defeat it untill it return the lock, and after it return the lock, let the priority of the process change to its original priority.","3","",""
"11","4301","S003","The priority inversion mens that a process with high priority was waiting for resources which held by a low priority.
Lets say there are three processes A, B, C , their priority is from high to low (A > B > C). C is holding a. resource and A is waiting for that resource lock. When C times up, A is waiting and so B could go first.
Which appears that B get done earlier than A the higher one.
The priority inheritance is that we make C to have highest priority as it have the lock, and return to original after releasing it. We can make sure that the real higher one (A) would not be bothered by this kind of situation.
","2","b 面向描述 three-process aging 情境但未提 spinlock busy waiting 佔用 CPU 的機制",""
"12","2884","S035","q1 : priority inversion is a process with higher priority keeps waiting or block by a process with lower priority.
q2 : when a process A with lower priority get a lock or resource , then a process B with higher priority also want to get the lock holded by A. Then process B have to wait(in the busy waiting condition) and be blocked by process A, which leads to priority inversion.
q3 : by using priority inheritance, when process A with lower priority get the lock, its priority will be increased so it won't be preempted by other processes, when A finish its work, its priority will be restored to the original, this can solve the priority inversion.","3","",""
"13","3823","S037","When a low priority process has has locked a resource and a high priority process also want to access the resource, the high priority resource would spin lock to wait for the resource. However, spin lock also needs cpu resource. The high priority process would occupy the cpu resource and low priority process cannot release the lock.

It make the process has the lock to max priority temporily, and return the process to the original priority after it release the lock. To prevent it wait for others spin lock.","3","",""
"14","2358","S096","Priority inversion is when a lower-priority process holds a resource that a higher priority process requires to continue execution and the lower-priority process isn't getting CPU time due to its low priority, which makes the higher-priority process spending its CPU time on busy waiting without any useful work done. 
Priority inheritance solves this because the lower-priority process gets the same priority as the higher-priority-process waiting for the resource, thus the lower-priority process will get CPU-time to execute and to release the resource.","3","",""
"15","3470","S013","1. High priority cannot use the CPU since the low priority cannot release lock.
2. High priority cannot use the CPU and is waiting the low priority to release lock since the priority between them and low priority cannot release lock before using the CPU.
3. upgrade the priority of the low one.","2","三面向均極簡略；a 缺 inversion 明確定義；b 未提 spinlock 機制",""
