"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12609","S109","read after TSL 
TSL with back off","1","Read after TSL 錯誤，應為 Read before TSL",""
"2","11993","S015","1. Read after TSL: Read the status of lock. If the lock is available, try to acquire the lock. Only release lock and get lock cause bus traffic.
2. TSL back off: Periodically acquire the lock. If the access failed, wait for a time and try again. The time of waiting increases when the access failed.","1","Read after TSL 錯誤，應為 Read before TSL",""
"3","16051","S054","1, Read before TSL
2, TSL with back off ","2","",""
"4","12395","S117","1. read before TSL: 在TSL之前先讀lock確定現在是可以access的
2. TSL with back off: 如果tsl時發現無法獲得lock，隔一段時間再去access，每次無法獲得lock，就增加下一次tsl的間隔時間","2","",""
"5","12018","S093","1. read before TSL
2. TSL with back off","2","",""
"6","11977","S012","1. each core spins on its private lock, wait from other core release the private lock
2. backoff spin: if a core ask the lock but get it, wait for a short time to ask for the lock again. if the core still not get the key, wait for a longer time","1","方法一 'private lock' 非 Read before TSL",""
"7","12096","S108","Read before TSL: 會有一個 cache 為 read only 來讓所有需要做 TSL 的 processor 去做讀取，而不會像傳統 TSL 不斷發出修改的請求。 
back down: 在 TSL 失敗以後，會暫停一段時間再去做 TSL.","2","",""
"8","12201","S099","1. Read before TSL
2. TSL with backoff","2","",""
"9","12044","S070","1.read before tsl: 會變成一直讀取自己本地cache的lock變數，直到其他人釋放lock修改本地lock變數才會去嘗試拿
2.tsl with back off: 發現lock有人用就等一段時間再去看釋放了沒，不要一直去看避免bus contention","2","",""
"10","13005","S080","read before the TSL, TSL with backoff","2","",""
"11","11287","S003","read before tsl and tsl back off","2","",""
"12","12604","S035","1. Read before TSL
2. TSL with back off","2","",""
"13","13020","S037","1. Read before TSL: read the lock is free or not before a test which need to write the lock cause contention.
2. backoff TSL: When process access the lock. If the lock is not free, the process would stop access the lock and wait a fix time. If the lock still not unlock after waiting, the process would double the waiting time.","2","",""
"14","12396","S097","1. Read before TSL
2. Write-back after TSL","1","方法二 'Write-back after TSL' 錯誤，應為 TSL with back-off",""
"15","13314","S013","1. read before TSL
2. TSL with back off","2","",""
"16","12618","S040","read before TSL: read the lock status, if lock is free, then use TSL
backoff: if TSL is failed, wait some time before next TSL, and the waiting time can growth exponentially with a upper limit.","2","",""
"17","11249","S124","Back-off and Read-Before","2","",""
