"index","exam_answer_id","username","original_score","original_feedback"
"1","12850","S109","2.0",""
"2","11709","S015","2.0",""
"3","16103","S054","1.0","Omega should use log₂(n), not ln(n)."
"4","11891","S117","2.0",""
"5","11579","S093","2.0",""
"6","11592","S012","2.0",""
"7","11573","S108","2.0",""
"8","11581","S099","2.0",""
"9","11737","S070","2.0",""
"10","12147","S080","2.0",""
"11","11197","S003","2.0",""
"12","11990","S035","2.0",""
"13","12597","S037","2.0",""
"14","12204","S097","2.0",""
"15","13996","S013","2.0",""
"16","12000","S040","2.0",""
"17","11162","S124","2.0",""
"18","12133","S121","2.0",""
"19","14499","S068","1.0","Omega requires (n/2)log₂(n), not just log(n)."
"20","11574","S102","2.0",""
"21","11662","S034","2.0",""
"22","11186","S084","2.0",""
"23","11825","S079","2.0",""
"24","12747","S122","2.0",""
"25","11704","S086","2.0",""
"26","12098","S052","2.0",""
"27","11753","S033","2.0",""
"28","12157","S123","2.0",""
"29","11490","S027","2.0",""
"30","11383","S081","1.0","Omega should be (n/2)log₂(n), not 2log n."
"31","12092","S008","2.0",""
"32","12158","S078","2.0",""
"33","13215","S087","2.0",""
"34","11005","S022","2.0",""
"35","12565","S110","2.0",""
"36","12028","S082","2.0",""
"37","12080","S105","1.0","Both given as Big-O complexity; exact count expected."
"38","11299","S111","2.0",""
"39","11576","S085","2.0",""
"40","11672","S004","2.0",""
"41","11565","S046","2.0",""
"42","11262","S005","2.0",""
"43","11247","S014","2.0",""
"44","11684","S107","2.0",""
"45","11700","S126","2.0",""
"46","13470","S017","2.0",""
"47","11047","S115","2.0",""
"48","11636","S089","2.0",""
"49","11730","S009","1.0","Omega formula should be (n/2)log₂(n), not (n/2)log₂(n/2)."
"50","11951","S094","2.0",""
"51","12324","S066","2.0",""
"52","11726","S041","2.0",""
"53","13781","S031","2.0",""
"54","11557","S116","2.0",""
"55","12122","S059","2.0",""
"56","10979","S064","2.0",""
"57","11752","S101","2.0",""
"58","11529","S103","2.0",""
"59","14471","S104","2.0",""
"60","11932","S023","2.0",""
"61","11499","S113","2.0",""
"62","11779","S055","1.0","Crossbar should be n² switches, not 'one switch'."
"63","11683","S119","2.0",""
"64","11849","S067","2.0",""
"65","12235","S076","2.0",""
"66","10948","S074","1.0","Crossbar should be n², not n."
"67","11938","S063","2.0",""
"68","11795","S090","2.0",""
"69","14415","S100","2.0",""
"70","11303","S114","2.0",""
"71","12671","S038","2.0",""
"72","11750","S047","2.0",""
"73","12494","S044","2.0",""
"74","11722","S075","2.0",""
"75","11680","S030","1.5","Crossbar given as O(n²); exact count n² expected."
"76","11491","S106","2.0",""
"77","11714","S019","2.0",""
"78","11396","S020","2.0",""
"79","11665","S010","2.0",""
"80","11660","S091","2.0",""
"81","11496","S051","2.0",""
"82","13459","S039","2.0",""
"83","11661","S018","2.0",""
"84","11595","S049","2.0",""
"85","11804","S053","2.0",""
"86","11667","S092","2.0",""
"87","11422","S125","2.0",""
"88","11133","S021","2.0",""
"89","11727","S050","2.0",""
"90","11742","S036","2.0",""
"91","11494","S048","2.0",""
"92","11762","S112","1.0","Omega should be (n/2)log₂(n), not (1/n)log₂(n)."
"93","11627","S006","2.0",""
"94","11859","S057","2.0",""
"95","13960","S002","2.0",""
"96","11794","S007","2.0",""
"97","12012","S118","1.0","Crossbar requires n² switches, not 2n."
"98","13659","S016","2.0",""
"99","16203","S083","2.0",""
"100","11640","S088","2.0",""
"101","12334","S058","2.0",""
"102","11545","S043","2.0",""
"103","11462","S060","0.0","Crossbar and Omega formulas are swapped."
"104","11531","S024","1.0","Crossbar should be n², not n."
"105","11833","S095","2.0",""
"106","11864","S077","2.0",""
"107","11540","S120","2.0",""
"108","11146","S073","2.0",""
"109","11740","S069","2.0",""
"110","11959","S072","2.0",""
"111","11479","S042","2.0",""
"112","11907","S071","2.0",""
"113","11816","S062","2.0",""
"114","11881","S045","2.0",""
"115","12467","S056","2.0",""
"116","12432","S128","0.0","Both answers are incorrect. Crossbar: n², Omega: (n/2)log₂(n)."
"117","11865","S029","1.0","Both given as Big-O complexity; exact count expected."
"118","11828","S065","2.0",""
"119","12106","S098","2.0",""
