"index","exam_answer_id","username","original_score","original_feedback"
"1","2727","S109","2.0",""
"2","2845","S015","2.0",""
"3","6544","S054","2.0",""
"4","3926","S117","2.0",""
"5","3043","S093","2.0",""
"6","3717","S012","2.0",""
"7","4508","S108","2.0",""
"8","3458","S099","0.0",""
"9","2849","S070","2.0",""
"10","4322","S080","2.0",""
"11","3017","S003","2.0",""
"12","3506","S035","2.0",""
"13","4432","S037","2.0",""
"14","6075","S096","2.0",""
"15","4255","S013","2.0",""
"16","3996","S040","2.0",""
"17","4481","S124","2.0",""
"18","2940","S121","2.0",""
"19","6750","S068","0.0",""
"20","3148","S102","0.0",""
"21","4384","S034","2.0",""
"22","3930","S084","2.0",""
"23","4720","S079","2.0",""
"24","2572","S122","2.0",""
"25","4137","S086","2.0",""
"26","3912","S052","2.0",""
"27","3975","S033","0.0",""
"28","3363","S123","2.0",""
"29","3398","S027","2.0",""
"30","2946","S081","0.0",""
"31","3481","S008","0.0",""
"32","3845","S078","2.0",""
"33","4194","S087","2.0",""
"34","2935","S022","0.0",""
"35","5317","S110","2.0",""
"36","3653","S082","2.0",""
"37","5002","S105","0.0",""
"38","2799","S111","2.0",""
"39","2834","S085","2.0",""
"40","3393","S004","2.0",""
"41","2072","S011","2.0",""
"42","3040","S046","2.0",""
"43","2077","S005","0.0",""
"44","3511","S061","2.0",""
"45","3862","S014","0.0",""
"46","2856","S028","2.0",""
"47","2896","S107","2.0",""
"48","3175","S126","0.0",""
"49","5215","S017","2.0",""
"50","4435","S115","2.0",""
"51","2558","S089","2.0",""
"52","3986","S009","0.0",""
"53","3491","S094","0.0",""
"54","5548","S066","2.0",""
"55","2440","S041","2.0",""
"56","4114","S031","2.0",""
"57","5263","S116","2.0",""
"58","4085","S059","2.0",""
"59","6000","S064","0.0",""
"60","3023","S101","2.0",""
"61","4734","S103","2.0",""
"62","6113","S104","2.0",""
"63","3031","S023","0.0",""
"64","3774","S113","2.0",""
"65","3762","S055","2.0",""
"66","3390","S119","1.5","96K"
"67","4174","S067","2.0",""
"68","4916","S076","2.0",""
"69","6450","S074","2.0",""
"70","3058","S063","2.0",""
"71","3909","S090","2.0",""
"72","5950","S100","0.0",""
"73","4811","S114","2.0",""
"74","2275","S038","2.0",""
"75","3743","S047","0.0",""
"76","3412","S044","2.0",""
"77","3188","S075","2.0",""
"78","2807","S030","2.0",""
"79","4183","S106","2.0",""
"80","6339","S019","2.0",""
"81","2793","S020","2.0",""
"82","4169","S010","2.0",""
"83","3178","S091","2.0",""
"84","4543","S051","2.0",""
"85","4272","S039","2.0",""
"86","3161","S018","2.0",""
"87","3503","S049","0.0",""
"88","4292","S053","2.0",""
"89","3707","S092","2.0",""
"90","2690","S125","2.0",""
"91","6351","S021","2.0",""
"92","4047","S050","0.0",""
"93","3117","S036","0.0",""
"94","3353","S048","0.0",""
"95","6742","S112","0.0",""
"96","3084","S006","0.0",""
"97","4323","S026","2.0",""
"98","6021","S057","0.0",""
"99","6192","S002","2.0",""
"100","6193","S007","0.0",""
"101","5391","S016","0.0",""
"102","5356","S083","0.0",""
"103","3145","S088","2.0",""
"104","4089","S058","0.0",""
"105","3835","S043","2.0",""
"106","2824","S060","2.0",""
"107","2777","S024","2.0",""
"108","6255","S095","2.0",""
"109","3272","S077","2.0",""
"110","2924","S120","2.0",""
"111","4912","S073","2.0",""
"112","3190","S069","2.0",""
"113","3159","S072","2.0",""
"114","2901","S042","0.0",""
"115","3276","S071","2.0",""
"116","4741","S062","2.0",""
"117","3690","S045","2.0",""
"118","2888","S056","0.0",""
"119","3987","S029","2.0",""
"120","3794","S065","2.0",""
"121","5995","S025","2.0",""
"122","3556","S098","2.0",""
