"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12129","S109","(1) each has its own operating system
(2) master-slave multiprocessor
(3) symmetric multiprocessor","3","",""
"2","12570","S015","1. Each CPU owns its OS.
2. 1 OS image with master-slave architecture (MS-MP)
3. 1 OS image with symmetric CPUs (SMP)","3","",""
"3","15574","S054","1, 各自為政
2, Master-Slave architecture 
3, symmetric architecture ","3","",""
"4","13302","S117","1. every processor has its own OS.
2. MS-OS: a master processor to manage slaves, and scheduling processes
3. SMP: only one copy of OS, every processor use the same OS code.","3","",""
"5","12125","S093","1. Each CPU has its own operating system
2. Master-slave multiprocessor
3. SMP multiprocessor","3","",""
"6","12516","S012","1. each core has a its own OS
2. slave-master multiprocessor
3. symmertric multiprocessor","3","",""
"7","12568","S108","1. 每個處理器有自己的 OS,
2. Master-Slave OS: 一個主要的處理器控制所有資源與工作分配給其處理器,
3. Symmetric OS: 所有處理器平等","3","",""
"8","12399","S099","1. 所有 Processor 都有獨立的 Operating System
2. Master-slave Multiprocessor System
3. Symmetric Multiprocessor System","3","",""
"9","12453","S070","1.每個CPU都有一個自己OS
2.master-slave: master 管理 OS
3.SMP: OS分成各個CR給所有CPU用","3","",""
"10","13488","S080","each has it own cpu
master-slave multiprocessor
symmetric multiprocessor","2","第一項寫成 each has its own CPU 而非 each CPU has its own OS",""
"11","11534","S003","symmetric MP
each cpu have its own OS
master-slave MP","3","",""
"12","13090","S035","1. Each CPU has its own operating system
2. Master-Slave multiprocessor
3. Symmetric multiprocessor","3","",""
"13","14056","S037","1. Each cpu has own os: each cpu has own resource and not share it with others.
2. MS-MP: One master cpu for kernel and multiple slave cpu for user process. Slave cpu can share process.
3. Symmetric MP: Only one kernel code in the whole system, every cpu can access the kernel code but need mutex to handle the kernel structure.","3","",""
"14","12797","S097","1. Each CPU has its own OS
2. Master-slave hierarchy. Master CPU assigns tasks for other CPUs
3. Symmetric approach. All CPU's acting independently on the same OS. They should coordinate on how to schedule tasks among them","3","",""
"15","12616","S013","1.CPU has its own OS
2. MS-MP
3. SMP","3","",""
"16","13280","S040","1. each processor has it's own OS
2. Master-Slave: a master processor run the OS code and other processor as some resource
3. SMP: all processor can run OS code if needed","3","",""
"17","11409","S124","- Each CPU has its own OS 
- Master-Slave MP
- Symmetric MP ","3","",""
