"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","4040","S109","DMA 是可以讓devices 在沒有cpu 介入下大量transfer data, it saves the cpu time","2","有說明裝置可在不經 CPU 介入下大量傳輸資料，且可省 CPU 時間。",""
"2","3884","S015","Direct memory access is a technique that the process (or a device) could access the main memory by it self. Doesn't need to be handled by CPU. It could increase the performance of system in the scenario that frequently accesses memory such as swapping pages.","2","有交代裝置可自行存取主記憶體、無需 CPU 處理，並提到可提升效能。",""
"3","3725","S054","let devices can access the data to and from main memory independently, without intervent of CPU, it can keep up efficiency of CPU and performance. ","2","指出裝置可獨立與主記憶體傳輸且不需 CPU 介入，並提到效率提升。",""
"4","5234","S117","computer transfer data between devices, 不經過processors干預，可以節省processor干預的時間，可用來傳大量資料","2","有說明裝置間資料傳輸不經處理器干預，且可節省時間、搬移大量資料。",""
"5","5384","S093","DMA是可以協助I/O的一種device，當要執行I/O時，CPU可以將所需要的內容告訴DMA，而DMA會負責處裡I/O，雖然可能會跟CPU搶bus，但是用DMA相較polling跟interrupt等方式，會更快速","2","有描述 CPU 交由 DMA 處理 I/O，並提到比其他方式更快。",""
"6","5598","S012","external devices like network card or usb can transfer data with memory directly without cpu helping. DMA contorller helps transfer data between devices and memory, meanwhile cpu could do other things. DMA controller notifies cpu when data is done transfering.","2","有說明裝置可直接和記憶體傳輸、無需 CPU 幫忙，且 CPU 可做其他事。",""
"7","6144","S108","當 CPU 需要使用 I/O 設備的資料時，CPU 會將所需資料的資訊，寫入 DMA，交由他和 I/O 設備互動以及將資料搬入記憶體。此時資料的移動就不需要 CPU 來管理，他可以做其他事情，而 DMA 在完成之後會發送 interrupt 通知 CPU 資料準備完成。","2","有說明 CPU 交給 DMA 搬資料，過程不需 CPU 管理，完成後再通知 CPU。",""
"8","5065","S099","硬體設備可以不用透過 CPU 直接存取 System Memory。","1","只寫到裝置可直接存取主記憶體，未明確提到減少 CPU 介入或效益。",""
"9","3566","S070","讓CPU不用去處理memory and disk的IO，可以不用在這部分消耗CPU的資源，交由dma controler處理，等到dma controler處理完會通知CPU","2","有說明 CPU 不必處理 I/O，由 DMA controller 處理，並可通知 CPU。",""
"10","6117","S080","Direct memory access is a technique that can transfer data between devices without evolving the cpu.
DMA contoller can access the memory of the cpu independently, and therefore transfer a great amount of data at high speed to reduce cpu usage and improve the performance of cpu.","2","有完整說明 DMA 可不經 CPU 傳輸、降低 CPU 使用並提升效能。",""
"11","2294","S003","The DMA allow the directly reading and writing for the devices to memory. It allow CPU no need  to help with the data transfer, can save CPU times.","2","有說明裝置可直接讀寫記憶體且可節省 CPU 時間。",""
"12","5165","S035","The device can transfer data with memory directly, and doesn't need CPU to intervene for every bytes/words, which is faster and efficient.","2","有說明裝置直接和記憶體傳輸、無需 CPU 逐次介入，並提到較快有效率。",""
"13","5206","S037","DMA is that cpu allow device to directly access memory and transfer data from memory to device register(or in reverse direction) let cpu do not need to use cpu resource to transfer data.","2","有說明裝置可直接存取記憶體傳輸資料，並可減少 CPU 資源消耗。",""
"14","5168","S096","With DMA devices on a computer can directly access memory without CPU intervention. Without DMA these devices would ask a CPU to receive memory for them (which wastes CPU resources)","2","有說明裝置可直接存取記憶體且不需 CPU 介入，概念正確。",""
"15","5414","S013","directly access to memory rather than using process","1","僅提到直接存取記憶體，未完整說明 DMA 的裝置/CPU 關係與優點。",""
"16","5100","S040","some device can direct control other device's memory without ask cpu to handle it.","1","有提到不需 CPU 處理，但對 DMA 的作用描述不夠精確。",""
"17","2866","S124","DMA is when an I/O device has directly access to the memory in order to transfer data to/from it. This helps save a lot of time and CPU utilization as the transmission of data does not need the intervention of the OS to process the communication between the memory and the device. ","2","有說明 I/O 裝置可直接存取記憶體傳輸資料，並可節省 CPU 使用。",""
"18","5071","S121","DMA is used to allow network / storage devices to communicate with the memory without the intervention of the CPU. It saves a lot of cpu utilization by using fast bus to write or read data in the memory.","2","有說明裝置可不經 CPU 與記憶體通訊，且可降低 CPU 負擔。",""
"19","4297","S068","DMA 機制可以使 process 在需要存取記憶體時不需要處理器的資源，可以增加整體的吞吐量。然而這樣的機制需要特別的硬體支援。","1","有提到減少處理器資源與提升吞吐量，但對 DMA 核心定義不夠完整。",""
"20","3933","S102","DMA is to let devices directly transfer data to memory ,it can reduce the use of CPUs.","2","有說明裝置可直接傳輸到記憶體，並能降低 CPU 使用。",""
"21","5430","S034","DMA is technique used by computer to transfer data between device without involving the CPU.","2","有說明裝置間傳輸資料不需 CPU 介入。",""
"22","4673","S084","DMA是device存取memory的一種方式，device可以不用經過CPU就能存取memory，好處是省下的CPU資源可以拿去執行其他程式用。","2","有說明裝置可直接存取記憶體，並可節省 CPU 資源。",""
"23","6215","S079","the device can access the system memory bus directly without the help from OS or CPU.","2","有說明裝置可直接存取記憶體匯流排，不需 CPU/OS 協助。",""
"24","4108","S122","可以不須透過CPU，硬體可以直接與MEMORY進行交換","2","有說明硬體可不透過 CPU 直接與記憶體交換資料。",""
"25","2704","S086","DMA is the technique that allows I/O devices transfer data directly to or from main memory, reducing CPU overhead and improve transfer efficiency.","2","有說明 I/O 裝置可直接與主記憶體傳輸並降低 CPU 負擔。",""
"26","5585","S052","Direct Memory Access let devices access memory/ data transfer between devices directly without involving CPU. This makes data transfer faster, reduce CPU usage and improve system performance. ","2","有說明裝置可直接與記憶體傳輸，並提到可減少 CPU 使用、提升效能。",""
"27","5702","S033","DMA是一項技術在獲取memory時不用通過CPU。","1","只提到存取 memory 不經 CPU，未說明效益。",""
"28","4556","S123","DMA allows devices to access data directly to/from the main memory without involving the CPU.","2","有說明裝置可直接存取主記憶體且不需 CPU 介入。",""
"29","4613","S027","DMA is a techniqe that allows device to transfer data directly to/from main memory without CPU involvement","2","有說明裝置可直接與主記憶體傳輸，且不需 CPU 介入。",""
"30","6337","S081","Direct Memory Access","0","僅寫出名詞，未說明 DMA 內容。",""
"31","5778","S008","DMA is the technique that allows devices to access from/to the memory without the help of cpu.","2","有說明裝置可不需 CPU 協助直接存取記憶體。",""
"32","6036","S078","no","0","未作答，無法給分。",""
"33","5885","S087","DMA是一種資料的傳輸方式，device可以直接將資料傳送到memory中，不需要cpu傳送資料，傳送完成後再發送interrupt告知cpu。","2","有說明裝置可直接傳資料到記憶體，且完成後會通知 CPU。",""
"34","5395","S022","A techique of accessing memory without the control from the cpu.","1","有提到不受 CPU 控制即可存取記憶體，但未說明效益。",""
"35","6590","S110","the device can access the memory without using CPU","1","只提到裝置可不經 CPU 存取記憶體，未提到效益。",""
"36","5125","S082","it describes the relation between memory and device. DMA means device can access the memory directly. no need to pass processor.","1","有提到裝置可直接存取記憶體，但未說明 CPU 省工或效率提升。",""
"37","6259","S105","其他 bus 上的裝置不透過 CPU 支援，直接存取記憶體。","1","有提到不透過 CPU 直接存取記憶體，但描述不夠完整。",""
"38","4156","S111","Device可以直接access OS中的memory。","1","僅表達 device 可直接存取記憶體，概念不夠完整。",""
"39","4554","S085","device可以直接讀寫記憶體，不須透過CPU，提升CPU利用率","2","有說明可直接讀寫記憶體、不須透過 CPU，並提升 CPU 利用率。",""
