subject_id,model_id,ai_score,human_score,diff,abs_diff
S002,deepseek-v4-flash,44.5,49.0,-4.5,4.5
S002,deepseek-v4-pro,41.5,49.0,-7.5,7.5
S003,deepseek-v4-flash,49.0,56.0,-7.0,7.0
S003,deepseek-v4-pro,45.0,56.0,-11.0,11.0
S004,deepseek-v4-flash,60.0,62.0,-2.0,2.0
S004,deepseek-v4-pro,57.5,62.0,-4.5,4.5
S005,deepseek-v4-flash,51.0,54.0,-3.0,3.0
S005,deepseek-v4-pro,46.5,54.0,-7.5,7.5
S006,deepseek-v4-flash,53.5,53.5,0.0,0.0
S006,deepseek-v4-pro,45.5,53.5,-8.0,8.0
S007,deepseek-v4-flash,45.0,51.0,-6.0,6.0
S007,deepseek-v4-pro,42.5,51.0,-8.5,8.5
S008,deepseek-v4-flash,50.5,54.0,-3.5,3.5
S008,deepseek-v4-pro,48.5,54.0,-5.5,5.5
S009,deepseek-v4-flash,34.5,41.5,-7.0,7.0
S009,deepseek-v4-pro,31.5,41.5,-10.0,10.0
S010,deepseek-v4-flash,52.5,51.5,1.0,1.0
S010,deepseek-v4-pro,47.5,51.5,-4.0,4.0
S011,deepseek-v4-flash,35.0,40.0,-5.0,5.0
S011,deepseek-v4-pro,31.0,40.0,-9.0,9.0
S012,deepseek-v4-flash,57.5,57.0,0.5,0.5
S012,deepseek-v4-pro,55.0,57.0,-2.0,2.0
S013,deepseek-v4-flash,39.5,41.5,-2.0,2.0
S013,deepseek-v4-pro,40.5,41.5,-1.0,1.0
S014,deepseek-v4-flash,37.0,42.5,-5.5,5.5
S014,deepseek-v4-pro,36.0,42.5,-6.5,6.5
S015,deepseek-v4-flash,56.0,57.5,-1.5,1.5
S015,deepseek-v4-pro,54.5,57.5,-3.0,3.0
S016,deepseek-v4-flash,42.0,48.0,-6.0,6.0
S016,deepseek-v4-pro,44.0,48.0,-4.0,4.0
S017,deepseek-v4-flash,55.0,58.0,-3.0,3.0
S017,deepseek-v4-pro,55.5,58.0,-2.5,2.5
S018,deepseek-v4-flash,62.0,61.0,1.0,1.0
S018,deepseek-v4-pro,60.0,61.0,-1.0,1.0
S019,deepseek-v4-flash,54.5,58.0,-3.5,3.5
S019,deepseek-v4-pro,57.0,58.0,-1.0,1.0
S020,deepseek-v4-flash,56.5,60.0,-3.5,3.5
S020,deepseek-v4-pro,52.0,60.0,-8.0,8.0
S021,deepseek-v4-flash,41.5,42.0,-0.5,0.5
S021,deepseek-v4-pro,39.5,42.0,-2.5,2.5
S022,deepseek-v4-flash,51.5,55.5,-4.0,4.0
S022,deepseek-v4-pro,52.0,55.5,-3.5,3.5
S023,deepseek-v4-flash,37.0,39.0,-2.0,2.0
S023,deepseek-v4-pro,35.5,39.0,-3.5,3.5
S024,deepseek-v4-flash,49.5,53.5,-4.0,4.0
S024,deepseek-v4-pro,48.5,53.5,-5.0,5.0
S025,deepseek-v4-flash,42.5,46.5,-4.0,4.0
S025,deepseek-v4-pro,41.5,46.5,-5.0,5.0
S026,deepseek-v4-flash,31.0,32.5,-1.5,1.5
S026,deepseek-v4-pro,29.5,32.5,-3.0,3.0
S027,deepseek-v4-flash,50.0,55.0,-5.0,5.0
S027,deepseek-v4-pro,49.5,55.0,-5.5,5.5
S028,deepseek-v4-flash,45.0,51.5,-6.5,6.5
S028,deepseek-v4-pro,46.0,51.5,-5.5,5.5
S029,deepseek-v4-flash,39.5,43.5,-4.0,4.0
S029,deepseek-v4-pro,37.0,43.5,-6.5,6.5
S030,deepseek-v4-flash,56.0,57.5,-1.5,1.5
S030,deepseek-v4-pro,51.0,57.5,-6.5,6.5
S031,deepseek-v4-flash,48.5,48.5,0.0,0.0
S031,deepseek-v4-pro,46.0,48.5,-2.5,2.5
S032,deepseek-v4-flash,18.0,20.0,-2.0,2.0
S032,deepseek-v4-pro,19.0,20.0,-1.0,1.0
S033,deepseek-v4-flash,34.0,39.0,-5.0,5.0
S033,deepseek-v4-pro,31.0,39.0,-8.0,8.0
S034,deepseek-v4-flash,47.5,49.5,-2.0,2.0
S034,deepseek-v4-pro,48.0,49.5,-1.5,1.5
S035,deepseek-v4-flash,56.0,61.0,-5.0,5.0
S035,deepseek-v4-pro,59.0,61.0,-2.0,2.0
S036,deepseek-v4-flash,39.0,45.5,-6.5,6.5
S036,deepseek-v4-pro,37.5,45.5,-8.0,8.0
S037,deepseek-v4-flash,56.0,58.5,-2.5,2.5
S037,deepseek-v4-pro,58.0,58.5,-0.5,0.5
S038,deepseek-v4-flash,42.0,46.5,-4.5,4.5
S038,deepseek-v4-pro,39.0,46.5,-7.5,7.5
S039,deepseek-v4-flash,50.0,58.5,-8.5,8.5
S039,deepseek-v4-pro,49.5,58.5,-9.0,9.0
S040,deepseek-v4-flash,48.0,51.5,-3.5,3.5
S040,deepseek-v4-pro,43.0,51.5,-8.5,8.5
S041,deepseek-v4-flash,49.0,54.0,-5.0,5.0
S041,deepseek-v4-pro,49.0,54.0,-5.0,5.0
S042,deepseek-v4-flash,45.0,45.5,-0.5,0.5
