"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2832","S109","progress, bounded waiting, mutual exclusive","2","三個名稱均正確，但完全無概念說明，Progress 的核心意涵無法辨識",""
"2","3030","S015","1. mutual exclusive: at most 1 process could be in critical section at a given time.
2. progress: When a process isn't in critical section, it must execute.
3. finite waiting: the time a process waits for entering should be finite.","2","Bounded Waiting 正確，Mutual Exclusion 正確，但 Progress 說明錯誤（「must execute」不符 Progress 定義）",""
"3","4209","S117","no preemption: 原子操作，cs中的操作一次執行完不能被打斷
mutual excution: 一次只有一個process可以進入cs
hold and wait: 等待正在cs裡的process結束cs部分，才能access","1","只有 mutual execution ≈ Mutual Exclusion 部分正確，no preemption 與 hold and wait 均非 CS 三要件",""
"4","3185","S093","mutual exclusion, bounded waiting, progress","2","三個名稱正確但無任何說明，Progress 概念無法驗證",""
"5","3951","S012","1. 有限等待
2. 有progress
3. 同時間只有一個process能進入CS","3","",""
"6","4785","S108","bounded waiting: 等待的 process 等待的時間必須為有限的
mutual exclution: 不可以同時有兩個 process 進入 critical section
離開 critical section 的 process 不能再有 lock 的控制權","2","Bounded Waiting 與 Mutual Exclusion 正確，第三項非 Progress（未說明選擇不可無限期延遲）",""
"7","6550","S099","1. 
2. 
3.","0","未作答",""
"8","5963","S070","1.lock
2.progress
3.unlock","1","lock/progress/unlock 非正確三要件說明，僅 progress 名稱可辨識，其餘概念錯誤",""
"9","4653","S080","must not considered the amount of process, it should be suitable of all kinds of resource compete.
","0","答非所問，未列三要件",""
"10","5789","S003","The whole section should be done in once.","0","僅提原子性執行，未列三要件",""
"11","3686","S035","1. mutual exclusion : no two or more thread can be in the critical section simultaneously.
2. progress :  when no thread in the critical section, the next thread want to enter the critical section should be decided in finite time.
3. bounded waiting : no one should wait the resource or lock forever","3","",""
"12","4542","S037","mutual exclusion, progress, atomic","2","atomic 非 Bounded Waiting，Progress 僅名稱無說明，缺第三要件",""
"13","6335","S096","- obtaining/releasing a resource should be an atomic operation, i.e. there can't be a race condition during resource obtaining/releasing
- only threads/processes holding the resource can enter the critical section, other processes should busy wait or sleep
- resource releasing order must be in the reverse order of resource obtaining order","0","三項均非 Critical Section 三要件（原子操作、持有才能進入、釋放順序）",""
"14","4553","S013","Lock, wait, and no one can always stay inside Critical Section.","1","概念模糊，最多可辨識一個條件（no one always stays ≈ 暗示 Mutual Exclusion），其餘不清",""
"15","4242","S040","mutual exclusive: only one process/thread can in critical section at the same time
progress: no process outside critical section can avoid other outside process enter critical section
: os should deside which process to enter critical section in limit time","2","Mutual Exclusion 與 Progress 正確，Bounded Waiting 未明確描述",""
"16","3962","S124","No process outside the CS can be blocking to a process inside it
If a CS is free, a process that wants to access it needs to be able to do so in a finite time 
There can only be one process executing a CS at one time ","2","Mutual Exclusion 與 Progress 正確，Bounded Waiting 缺漏",""
"17","3273","S121","- Mutual exlclusion : only one thread is allowed to be in the critical section
- Progress
- Waiting bounded : a thread which is waiting to enter in the critical section should not be waiting forever","2","Mutual Exclusion 與 Bounded Waiting 正確，Progress 僅列名稱無說明",""
"18","6516","S068","1. 同一時間只能夠有一個或是有限個 process 進入 critical section
2. 如果沒有任何 process 在 critical section 裡面，則需要在有限時間裡面決定哪一個 process 要進入 critical section
3. 假設有 n 個 process 同時發出需要進入 critical section 的請求，則任一個 process 最長所需等待的 process 數量都不可以超過 n-1。","3","",""
"19","5355","S102","要能確保一次只能有一個在執行
限制時間內至少要有一個能進入執行
要能保證他有完整執行並儲存好結果","2","Mutual Exclusion 與 Progress 方向正確，第三項說明的是完整執行而非 Bounded Waiting",""
"20","6250","S034","1)使用號誌
2)一次只讓一個thread/process進到critical section裡
3)critical section外面沒有thread/process在一直等，只有當critical section裡的做完，才讓下一個進去","1","Mutual Exclusion 正確，使用號誌非要件，第三項概念錯誤（CS 外沒有等待不符 Bounded Waiting）",""
"21","4086","S084","1. Mutual exclusion : 一次只能有一個人進入。
2. Progress : 不想進入的話也不能阻擋別人進入。
3. Bounded waiting : 有排隊等待的人都一定進的去。","3","",""
"22","5034","S079","mutual exclusion: there should not be two processes entering CS at the same time
progress: the process running outside CS has no rights to block other process to go into CS; if there is no process in CS then the next process should decide whether to enter it in finite time
bounded waiting: a process should not wait forever to enter CS","3","",""
"23","6632","S122","排程時間 處理時間 檢查時間 條件判斷","0","答非所問，內容與 CS 三要件完全無關",""
"24","4151","S052","1. Mutual exclusion(互斥): 不能有兩個以上的thread同時在critical section
2. Progression : 一個thread離開critical section，在有限時間內要趕快讓下一個thread進去critical section
3. Bounded waiting : 每一個thread都不能永遠進不到critical section(不能無限等待)","3","",""
"25","4232","S033","1.不能同時有多個process在critical section處理
2.高priority的process需要優先解決
3.","1","ME 正確，第二項為優先級條件（非 Progress），第三項空白",""
"26","5920","S123","1.mutual exclusive
2.","1","僅列出 Mutual Exclusion 名稱，其餘空白",""
"27","3534","S027","Critical Section 就是一次只有一個process可以進入執行,wait,block,p,v","1","ME 正確，wait/block/p/v 非三要件說明",""
"28","3733","S081","the three requirements for critical section problem
1.  
2.
3.","0","三項均空白",""
"29","4291","S008","1. Mutual Exclusive.
2. No process will wait forever.
3. ","2","ME 與 Bounded Waiting 正確，第三項空白（Progress 缺漏）",""
"30","6150","S078","mutual exclusion
can preemption

","1","ME 正確，can preemption 非三要件且概念有誤",""
"31","3383","S087","1.mutual exclusion:只能有一個thread進入critical section
2.progress:thread不能防止其他thread進入critical section
3.bounded waiting:每個要進入的thread等待的時間是有限的","3","",""
"32","2997","S022","Mutual exclusion, progress, bounded waiting.","2","三名稱正確但無說明，Progress 概念無法驗證",""
"33","6002","S110","mutual exclusive, only one access to the critical section at the same time
have to choose the next process in the waiting queue to get the lock in finite time
process waiting the lock can't be starvation
","3","",""
"34","6146","S082","1. 每一個process 都能執行到
2. 沒有process 需要無限等待
3. processes 不會同時出現在critical section","2","ME 與 Bounded Waiting 正確，Progress 說明缺漏",""
"35","5231","S105","1. A thread outside the critical section must not block the other threads.
2. Only one thread at a time can enter the critical section.
3. ","2","Progress 與 ME 正確，第三項空白（Bounded Waiting 缺漏）",""
"36","3438","S111","Progress -> 在CS外的process不能阻止其他process進入CS.
Mutual exclusion -> 同時只能有一個process在CS.
Bounded waiting -> 不能有process無止境的在外等待進入CS.","3","",""
"37","3677","S085","不在CS內者不影響其他程式進入CS
限定時間內決定進入CS者
有限等待","2","Progress 與 Bounded Waiting 正確，ME 說明不明確",""
"38","3510","S004","1.mutual exculsion
2.progress
3.bounded wait","2","三名稱正確但無說明，Progress 概念無法驗證",""
"39","6556","S046","１．
２．
３．","0","三項均空白",""
"40","4890","S005","1. For any numbers of process all can work.
2. Only one thread access the shared memory in the same time
3. Will not cause deadlock
","1","ME 正確，no deadlock 非 Bounded Waiting，第一項非標準要件",""
"41","6251","S061","starvation
priority inversion
deadline","0","starvation/priority inversion/deadline 均非 CS 三要件",""
"42","6487","S014","preemptive
","0","答非所問",""
"43","2944","S107","1.mutual exclusion
2.bounded waiting time
3.fairness","2","ME 與 Bounded Waiting 正確，fairness 非 Progress（缺 Progress）",""
"44","3428","S126","1.互斥:不能有兩格以上的process or thread
2.cs如果是空的，要在有限時間把process or thread丟進去
3.不能有thread永遠都進不去cs","3","",""
"45","5089","S017","1.同一時間只能有一個人進入critical section
2.進入critical section後不能一直完成不了執行(busy waiting和priority inversion)
3.離開critical section時要能夠正常把資源釋放出去","1","ME 正確，第二項說明执行間題非 Progress，第三項說資源釋放非要件",""
"46","2238","S115","There must be a key. 
When there is no key the critical section cannot be accessed.
The key must be free when a critical section is completed.","0","描述 lock 機制而非三要件",""
"47","2641","S089",".","0","未作答",""
"48","5201","S009","every process has get into critical section at least one time,
no busy waiting occur, ","0","沒有正確對應三要件概念",""
"49","6647","S066","1. use the lock
2. 硬體上做出區隔","0","鎖機制與硬體區隔非三要件",""
"50","5817","S041","1.偵測high priority process是否太久沒被執行
2.交換high priority 跟 low priority process 的 priority
3.處理完後復原原本的 priority","0","描述 priority aging 機制，非 CS 三要件",""
"51","6736","S031","Peterson's Solution  is a software-based solution","0","描述 Peterson's Solution 而非三要件",""
"52","6003","S116","1.每一個程式最後都會被執行
2.執行後的結果都相同
3.不會出現有兩個程式同時在CS中運行的情況","1","ME 正確，其餘兩項概念錯誤",""
"53","4223","S059","1. TLB
2. page
3. frame","0","TLB/page/frame 與 CS 三要件完全無關",""
"54","3636","S101","1. 當一個process執行時，其他process waiting
2. 被共享的資料，一次只開放一個process存取
","1","兩項均為 ME 相關描述，缺 Progress 與 Bounded Waiting",""
"55","4982","S103","1. 拿到lock就不能被preempt
2.
3.","0","第一項非要件，其餘空白",""
"56","5900","S104","鎖在誰身上
鎖釋放了沒
下一個拿鎖的是誰","0","鎖狀態描述非三要件",""
"57","6739","S023","Peterson's solution","0","Peterson's solution 非三要件",""
"58","3879","S113","mutual exclusion:一次只能一個thread進入CS
progress:進入CS的thread不能阻止其他thread進入CS
bounded waiting:每個thread不能永無止盡的等待進入CS","3","",""
"59","3893","S055","其CPU scheduling 演算法需要是preemptive 
有LOCK機制
有aging機制","0","preemptive/lock/aging 均非 CS 三要件",""
"60","6426","S119","1.一個critical section裡面只能有一個process
2.沒有要進去的process不能阻擋要進去critical section 裡面的process
3.從發出request要進去critical section到真正進去critical section要有一個bound time時間限制","3","",""
"61","4244","S067","Mutual exclusion:同時只能有一個程式進到C.S.裡面

progress: 1.沒有要進到C.S.裡的程式不能阻止其他程式進去 2. 如果C.S.裡面沒有程式必須在有限的時間內決定誰可以進去

bounded-time:想進去C.S.裡的程式要在有限的時間內進去,不能無限等待","3","",""
"62","5311","S076","- Priority Inheritance: Increasing the priority of processes or threads in the critical section to maximum priority until the lock is released.

- Only one process or thread can enter the critical section at any given time.
 ","1","ME 正確，Priority Inheritance 非要件，缺 Progress 與 Bounded Waiting",""
"63","4778","S074","1. Must acquire the lock
2. The existing process must release the lock.","0","acquire/release lock 非 CS 三要件",""
