"index","exam_answer_id","username","original_score","original_feedback"
"1","3410","S109","3.0",""
"2","3243","S015","2.5",""
"3","6595","S054","2.5",""
"4","4469","S117","2.5",""
"5","3571","S093","3.0",""
"6","4205","S012","3.0",""
"7","5076","S108","3.0",""
"8","3747","S099","3.0",""
"9","4941","S070","3.0",""
"10","4955","S080","3.0",""
"11","4608","S003","2.5",""
"12","4008","S035","3.0",""
"13","4966","S037","3.0",""
"14","3868","S096","3.0",""
"15","4788","S013","2.0",""
"16","4409","S040","3.0",""
"17","2525","S124","3.0",""
"18","3429","S121","2.5",""
"19","6435","S068","2.5",""
"20","4540","S102","3.0",""
"21","4740","S034","2.5",""
"22","6236","S084","3.0",""
"23","5351","S079","2.5",""
"24","3344","S122","3.0",""
"25","4665","S086","2.5",""
"26","4630","S052","2.5",""
"27","4594","S033","2.5",""
"28","3980","S123","2.5",""
"29","3824","S027","3.0",""
"30","6185","S081","1.0",""
"31","4634","S008","3.0",""
"32","4066","S078","3.0",""
"33","5471","S087","3.0",""
"34","3297","S022","3.0",""
"35","6308","S110","2.5",""
"36","3947","S082","3.0",""
"37","5469","S105","3.0",""
"38","3576","S111","2.5",""
"39","3850","S085","2.5",""
"40","5748","S004","3.0",""
"41","2148","S011","2.0",""
"42","3168","S046","2.5",""
"43","2197","S005","3.0",""
"44","3995","S061","2.5",""
"45","2392","S014","2.5",""
"46","3472","S028","2.5",""
"47","6284","S107","2.5",""
"48","3851","S126","2.5",""
"49","5048","S017","3.0",""
"50","4717","S115","2.5",""
"51","2726","S089","3.0",""
"52","4965","S009","2.0",""
"53","3375","S094","3.0",""
"54","6665","S066","3.0",""
"55","4315","S041","3.0",""
"56","4489","S031","2.5",""
"57","5796","S116","2.5",""
"58","4267","S059","3.0",""
"59","2540","S064","3.0",""
"60","3819","S101","3.0",""
"61","5325","S103","2.5",""
"62","5716","S104","2.5",""
"63","4000","S023","3.0",""
"64","4100","S113","3.0",""
"65","3938","S055","3.0",""
"66","3642","S119","2.5",""
"67","4625","S067","3.0",""
"68","5639","S076","3.0",""
"69","5190","S074","2.5",""
"70","3466","S063","3.0",""
"71","5450","S090","3.0",""
"72","4591","S100","3.0",""
"73","3922","S114","3.0",""
"74","2531","S038","2.5",""
"75","4694","S047","3.0",""
"76","3901","S044","3.0",""
"77","3842","S075","3.0",""
"78","3638","S030","3.0",""
"79","4575","S106","2.5",""
"80","4238","S019","3.0",""
"81","3053","S020","3.0",""
"82","2925","S010","3.0",""
"83","5286","S091","1.0",""
"84","4903","S051","3.0",""
"85","4042","S039","2.5",""
"86","3271","S018","3.0",""
"87","3802","S049","3.0",""
"88","4804","S053","3.0",""
"89","4023","S092","2.5",""
"90","3671","S125","2.5",""
"91","6379","S021","2.5",""
"92","4529","S050","2.5",""
"93","3478","S036","2.5",""
"94","3555","S048","2.5",""
"95","6179","S112","2.5",""
"96","3361","S006","3.0",""
"97","4791","S026","2.5",""
"98","6334","S057","2.5",""
"99","6246","S002","3.0",""
"100","5837","S007","3.0",""
"101","6081","S016","3.0",""
"102","5637","S083","2.5",""
"103","3641","S088","3.0",""
"104","4847","S058","3.0",""
"105","4308","S043","3.0",""
"106","2953","S060","2.5",""
"107","3107","S024","3.0",""
"108","6332","S095","3.0",""
"109","3495","S077","3.0",""
"110","3252","S120","3.0",""
"111","4780","S073","2.5",""
"112","3676","S069","3.0",""
"113","6050","S072","2.5",""
"114","3095","S042","3.0",""
"115","3646","S071","3.0",""
"116","5431","S062","3.0",""
"117","4127","S045","2.5",""
"118","5924","S056","2.5",""
"119","4662","S029","2.5",""
"120","4057","S065","3.0",""
"121","6320","S025","2.5",""
"122","4615","S098","2.5",""
