"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1591","S109","hellohello","2","有兩個 hello",""
"2","1597","S015","hello hello","2","兩個行程各印一次 hello",""
"3","1541","S054","print 兩個 hello (excel後不會執行最後一行的print done)","2","指出兩個 hello，且 printf 不會執行",""
"4","1578","S117","hello hello","2","有兩個 hello",""
"5","1530","S093","輸出2個hello","2","輸出為兩個 hello",""
"6","1564","S012","hellohello","2","有兩個 hello",""
"7","1498","S108","two times of hello","2","表示 hello 會出現兩次",""
"8","2066","S099","hello","1","只寫出一個 hello，未完整交代兩次輸出",""
"9","1568","S070","hellohello","2","有兩個 hello",""
"10","1616","S080","hello","1","只寫出一個 hello，答案不完整",""
"11","1539","S003","hello hello","2","兩個 hello，符合結果",""
"12","1510","S035","print hello two times","2","表示 hello 會印兩次",""
"13","1531","S037","兩個process分別echo hello","2","指出兩個 process 都會 echo hello",""
"14","1520","S096","hello","1","只寫出一個 hello，未說明兩次輸出",""
"15","1554","S013","hello","1","只寫出一個 hello，未完整交代結果",""
"16","1600","S040","output hello in two line","2","指出 hello 會輸出兩行，等同兩次",""
"17","1580","S124","It prints ""hello"" 2 times","2","明確寫出 hello 會印兩次",""
"18","1641","S121","It prints 2 times : hello","2","明確表示 hello 印兩次",""
"19","6747","S068","hellow hellow done","0","把 done 也列為輸出，結論錯誤",""
"20","1464","S102","print hello 2 times","2","表示 hello 會印兩次",""
"21","1787","S034","fork(): generate child process; excel():transfer function to print ""hello"", and final print ""done"".","0","把 done 當成結果，且未指出兩次 hello",""
"22","5435","S084","2次hello跟2次的done","0","內容錯誤，done 也被算入輸出",""
"23","1779","S079","parent 和children的process or function都會被改成echo and terminate, after that the system will print done.","0","認為最後還會印 done，結論錯誤",""
"24","1445","S122","done","0","只寫 done，與實際輸出不符",""
"25","1521","S086","hello hello done done","0","把 done 也列入輸出，答案錯誤",""
"26","1545","S052","print out : hellodone","0","輸出描述不正確，未反映兩次 hello",""
"27","1552","S033","done","0","只寫 done，與結果不符",""
"28","1594","S123","none","0","未回答實際輸出結果",""
"29","1532","S027","hello hello","2","hello 會輸出兩次",""
"30","1463","S081","echo hello done","0","把 done 也算進結果，結論錯誤",""
"31","1456","S008","hello hello","2","hello 會輸出兩次",""
"32","2423","S078","hellohello","2","hello 會輸出兩次",""
"33","1479","S087","""hello""""hello""","2","兩個 hello，符合結果",""
"34","1473","S022","echo hellodone\n","0","把 done 也列為輸出，答案錯誤",""
"35","2576","S110","hellohello","2","hello 會輸出兩次",""
"36","1537","S082","hellohello","2","hello 會輸出兩次",""
"37","1657","S105","hellohello","2","hello 會輸出兩次",""
"38","1582","S111","hello","1","只寫出一個 hello，未完整交代兩次輸出",""
"39","1556","S085","hello\nhello，不會輸出done","2","指出兩次 hello，且不會輸出 done",""
"40","1558","S004","hellohello","2","hello 會輸出兩次",""
"41","1470","S011","印兩次hello","2","指出會印兩次 hello",""
"42","2205","S046","print hello 2 times","2","表示 hello 會印兩次",""
"43","3436","S005","hello hello","2","hello 會輸出兩次",""
"44","4688","S061","hello hello done","0","把 done 也列入輸出，結果錯誤",""
"45","4480","S014","done done","0","只寫 done done，與實際輸出不符",""
"46","1566","S028","hellohello","2","hello 會輸出兩次",""
"47","1538","S107","hello done","0","把 done 當成輸出，答案錯誤",""
"48","5993","S126","done","0","只寫 done，與結果不符",""
"49","1744","S017","hellohello    該程式只會輸出兩個hello，因為excel會取代程式碼，所以後面的printf(""done\n"")根本不會被執行，parent process和child process都只執行到execl那行，各自輸出一個hello就結束了","2","完整指出兩次 hello 且 done 不會執行",""
