experiment_id,exam_key,preset,contest_id,question_id,question_order,question_type,max_score,answer_count,scored_count,blank_score_count,model_id,run_status,terminal_event_type,started_at,ended_at,elapsed_seconds,input_tokens,output_tokens,cost_cents,cost_usd,session_id,run_id,prompt_preview,run_dir,grade_csv_path,rubric_path
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,66ec6c12-2ebb-42e2-8aea-814f9b9a4c49,1,short_answer,2,123,123,0,claude-sonnet-4-6,completed,run_completed,2026-05-27T05:15:46.645943Z,2026-05-27T05:21:05.669468Z,319.035,1085402,21281,358,3.5800,453bc3f7-824b-4832-8ea5-b23fd0493ac0,2536cd3b-8e65-496d-935f-c93edbcdee6b,"What is the result of this code? ```c main() { fork(); execl(""/bin/echo"", ""echo"", ""hello"", 0); printf(""done\n""); } ```",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/claude-sonnet-4-6,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/claude-sonnet-4-6/grade.csv,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/66ec6c12-2ebb-42e2-8aea-814f9b9a4c49/claude-sonnet-4-6/rubric.md
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,199417a2-c63c-436e-8a8d-869d348dbbdd,2,essay,2,123,0,123,claude-sonnet-4-6,error,exception,2026-05-27T05:21:05.711676Z,2026-05-27T05:27:39.108366Z,393.411,,,,,,,List two advantages of kernel-level threads over user-level threads.,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/claude-sonnet-4-6,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/199417a2-c63c-436e-8a8d-869d348dbbdd/claude-sonnet-4-6/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,bc513144-2e7e-4363-8375-56c87bc07ff0,3,essay,2,123,0,123,openai-mini-medium,error,exception,2026-05-27T05:27:39.140941Z,2026-05-27T05:27:39.175069Z,0.034,,,,,,,What is busy waiting (spinlock)?,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/openai-mini-medium,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/openai-mini-medium/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,bc513144-2e7e-4363-8375-56c87bc07ff0,3,essay,2,123,0,123,claude-sonnet-4-6,error,exception,2026-05-27T05:27:39.193191Z,2026-05-27T05:27:39.222596Z,0.029,,,,,,,What is busy waiting (spinlock)?,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/claude-sonnet-4-6,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/bc513144-2e7e-4363-8375-56c87bc07ff0/claude-sonnet-4-6/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,f2dac513-8733-4f95-8e93-ce1e5e922334,4,essay,2,114,0,114,openai-mini-medium,error,exception,2026-05-27T05:27:39.238165Z,2026-05-27T05:27:39.264927Z,0.027,,,,,,,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/openai-mini-medium,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/openai-mini-medium/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,f2dac513-8733-4f95-8e93-ce1e5e922334,4,essay,2,114,0,114,claude-sonnet-4-6,error,exception,2026-05-27T05:27:39.279846Z,2026-05-27T05:27:39.304242Z,0.024,,,,,,,"Describe the concept of ""demand paging"" as a virtual memory implementation. Why is it commonly used?",/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/claude-sonnet-4-6,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/f2dac513-8733-4f95-8e93-ce1e5e922334/claude-sonnet-4-6/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,47cb43c4-ca23-4831-960c-018702c06992,5,essay,3,123,0,123,openai-mini-medium,error,exception,2026-05-27T05:27:39.318937Z,2026-05-27T05:27:39.344018Z,0.025,,,,,,,What is the difference between a preemptive scheduler and a non-preemptive scheduler? Provide an example scenario where preemptive scheduling is beneficial.,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/47cb43c4-ca23-4831-960c-018702c06992/openai-mini-medium,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/47cb43c4-ca23-4831-960c-018702c06992/openai-mini-medium/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,47cb43c4-ca23-4831-960c-018702c06992,5,essay,3,123,0,123,claude-sonnet-4-6,error,exception,2026-05-27T05:27:39.358766Z,2026-05-27T05:27:39.384633Z,0.026,,,,,,,What is the difference between a preemptive scheduler and a non-preemptive scheduler? Provide an example scenario where preemptive scheduling is beneficial.,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/47cb43c4-ca23-4831-960c-018702c06992/claude-sonnet-4-6,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/47cb43c4-ca23-4831-960c-018702c06992/claude-sonnet-4-6/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,fe59c063-d7d5-4d1a-8d82-90dd1e67c55b,6,essay,2,118,0,118,openai-mini-medium,error,exception,2026-05-27T05:27:39.399251Z,2026-05-27T05:27:39.424128Z,0.025,,,,,,,Explain Belady’s Anomaly in the context of page replacement algorithms. Which replacement algorithm has this anomaly?,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/fe59c063-d7d5-4d1a-8d82-90dd1e67c55b/openai-mini-medium,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/fe59c063-d7d5-4d1a-8d82-90dd1e67c55b/openai-mini-medium/grade.csv,
exam1-openai-claude-thinking-medium-recovery-20260527-131546,exam1,exam1-subjective,08545ef3-9b1b-40ac-9afc-a751c36d2c4a,fe59c063-d7d5-4d1a-8d82-90dd1e67c55b,6,essay,2,118,0,118,claude-sonnet-4-6,error,exception,2026-05-27T05:27:39.438872Z,2026-05-27T05:27:39.463826Z,0.025,,,,,,,Explain Belady’s Anomaly in the context of page replacement algorithms. Which replacement algorithm has this anomaly?,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/fe59c063-d7d5-4d1a-8d82-90dd1e67c55b/claude-sonnet-4-6,/Users/quan/online_judge-paper-cli/reports/qjudge-paper-experiments/exam1-openai-claude-thinking-medium-recovery-20260527-131546/runs/fe59c063-d7d5-4d1a-8d82-90dd1e67c55b/claude-sonnet-4-6/grade.csv,
