"index","exam_answer_id","username","original_score","original_feedback"
"1","4096","S109","2.0",""
"2","3945","S015","2.0",""
"3","2761","S054","2.0",""
"4","5295","S117","1.0",""
"5","4271","S093","2.0",""
"6","5699","S012","2.0",""
"7","6182","S108","2.0",""
"8","5138","S099","2.0",""
"9","3462","S070","2.0",""
"10","6158","S080","2.0",""
"11","2192","S003","2.0",""
"12","5219","S035","2.0",""
"13","5101","S037","2.0",""
"14","5327","S096","2.0",""
"15","5563","S013","2.0",""
"16","5157","S040","2.0",""
"17","2880","S124","2.0",""
"18","5144","S121","2.0",""
"19","4157","S068","0.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"20","3849","S102","2.0",""
"21","5528","S034","2.0",""
"22","4726","S084","0.0","那甚麼是race condition?"
"23","6280","S079","2.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"24","4186","S122","0.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"25","2588","S086","2.0",""
"26","5692","S052","2.0",""
"27","5832","S033","2.0",""
"28","4702","S123","2.0",""
"29","4698","S027","2.0",""
"30","3001","S081","1.0",""
"31","3580","S008","2.0",""
"32","2321","S078","0.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"33","4282","S087","2.0",""
"34","4140","S022","2.0",""
"35","6611","S110","2.0",""
"36","5246","S082","2.0",""
"37","6323","S105","2.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"38","4206","S111","2.0","two or more threads or processes access a shared resource"
"39","4643","S085","2.0",""
"40","4133","S004","2.0",""
"41","3222","S011","2.0",""
"42","4574","S046","1.0",""
"43","2643","S005","2.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"44","1833","S061","2.0",""
"45","1959","S014","2.0",""
"46","4330","S028","2.0",""
"47","3362","S107","2.0",""
"48","4733","S126","2.0",""
"49","3552","S017","2.0",""
"50","5616","S115","2.0",""
"51","3166","S089","1.0",""
"52","3497","S009","2.0",""
"53","2348","S094","2.0",""
"54","6741","S066","2.0","two or more threads or processes access a shared resource"
"55","4600","S041","2.0",""
"56","5745","S031","2.0",""
"57","2760","S116","2.0",""
"58","5225","S059","2.0",""
"59","2991","S064","2.0",""
"60","4885","S101","1.0",""
"61","6300","S103","2.0",""
"62","3734","S104","2.0",""
"63","5904","S023","2.0",""
"64","2451","S113","2.0",""
"65","5053","S055","2.0",""
"66","5035","S119","1.0",""
"67","5997","S067","2.0",""
"68","6480","S076","2.0",""
"69","2064","S074","2.0",""
"70","4024","S063","2.0",""
"71","4592","S090","2.0",""
"72","2250","S100","2.0",""
"73","3307","S114","2.0",""
"74","3496","S038","2.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"75","5300","S047","1.0",""
"76","5029","S044","2.0",""
"77","4961","S075","1.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"78","4561","S030","2.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"79","5553","S106","2.0",""
"80","5449","S019","1.0",""
"81","3765","S020","2.0",""
"82","2061","S010","2.0",""
"83","3960","S091","0.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"84","5599","S051","2.0",""
"85","3098","S039","2.0",""
"86","4275","S018","2.0",""
"87","4622","S049","2.0",""
"88","5714","S053","2.0",""
"89","5388","S092","2.0",""
"90","4646","S125","2.0",""
"91","6448","S021","2.0",""
"92","5677","S050","2.0",""
"93","4097","S036","2.0",""
"94","4703","S048","2.0",""
"95","3971","S112","2.0",""
"96","3998","S006","2.0",""
"97","5819","S026","1.0",""
"98","5491","S032","1.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"99","6641","S057","2.0",""
"100","6572","S002","2.0",""
"101","3903","S007","2.0",""
"102","6568","S016","2.0",""
"103","6631","S083","2.0",""
"104","4940","S088","2.0",""
"105","6071","S058","2.0",""
"106","5266","S043","0.0","A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"107","4711","S060","2.0",""
"108","4337","S024","2.0",""
"109","6471","S095","2.0",""
"110","4200","S077","2.0",""
"111","4644","S120","2.0",""
"112","3841","S073","2.0",""
"113","4305","S069","2.0",""
"114","2078","S072","2.0",""
"115","4182","S042","2.0",""
"116","4490","S071","2.0",""
"117","6291","S062","1.0","不一定只有兩個
A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"118","5403","S045","2.0",""
"119","3988","S056","2.0",""
"120","6387","S029","2.0",""
"121","5221","S065","1.0","不完整
A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"122","6619","S025","1.0","不完整
A race condition occurs when two or more threads or processes access a shared resource such as a variable, file, or database record, and the final outcome of the program depends on the order in which the threads or processes execute."
"123","5549","S098","2.0",""
