"index","exam_answer_id","username","original_score","original_feedback"
"1","2311","S109","3.0",""
"2","2415","S015","3.0",""
"3","6278","S054","3.0",""
"4","3055","S117","3.0",""
"5","2656","S093","2.0","Partially correct. Spinlock scenario unclear."
"6","2854","S012","1.0","Incorrect understanding of priority inversion and inheritance."
"7","3761","S108","3.0",""
"8","2825","S099","2.0","missing priority inheritance"
"9","2228","S070","3.0",""
"10","3308","S080","3.0",""
"11","4301","S003","3.0",""
"12","2884","S035","3.0",""
"13","3823","S037","3.0",""
"14","2358","S096","3.0",""
"15","3470","S013","0.5","Unclear and incomplete answer."
"16","2796","S040","2.0","Priority inheritance description incorrect."
"17","2087","S124","3.0",""
"18","2454","S121","3.0",""
"19","6728","S068","2.0","Scenario unclear and concept partly incorrect."
"20","2185","S102","3.0",""
"21","3831","S034","2.5","Scenario partly incorrect but concept correct."
"22","3227","S084","3.0",""
"23","3667","S079","2.0","Incorrect scenario and priority inheritance confused with aging."
"24","2158","S122","2.0","Missing spinlock scenario."
"25","3740","S086","2.0","Missing spinlock/busy waiting scenario."
"26","2890","S052","3.0",""
"27","2826","S033","2.0","How can priority inheritance solve this issue?"
"28","2662","S123","2.5","Scenario not fully described."
"29","2535","S027","3.0",""
"30","6085","S081","0.0",""
"31","4185","S008","3.0",""
"32","5054","S078","2.0","Missing spinlock/busy waiting scenario."
"33","2911","S087","3.0",""
"34","2526","S022","2.5","Spinlock scenario not clearly described."
"35","4648","S110","3.0",""
"36","2813","S082","2.0","Incomplete. Spinlock scenario missing."
"37","3587","S105","3.0",""
"38","2354","S111","1.5","Partially correct. Wrong priority inheritance."
"39","2466","S085","3.0",""
"40","2577","S004","3.0",""
"41","4818","S011","0.0",""
"42","2080","S046","0.5",""
"43","1837","S005","2.0","Missing spinlock/busy-waiting scenario"
"44","5321","S061","2.0","Explanation too brief."
"45","4065","S014","1.5","priority inheritance Incomplete. Spinlock scenario missing."
"46","2375","S028","3.0",""
"47","2350","S107","3.0",""
"48","2554","S126","3.0",""
"49","2645","S017","3.0",""
"50","3392","S115","3.0",""
"51","2247","S089","2.0","Spinlock scenario incorrect. High priority should busy wait."
"52","2536","S009","0.0",""
"53","5562","S094","1.5","priority inheritance Incomplete. Spinlock scenario missing."
"54","6618","S066","2.0","Incomplete. Spinlock scenario missing."
"55","4107","S041","2.0","Incorrect priority inheritance (not priority swap)."
"56","6152","S031","3.0",""
"57","4772","S116","3.0",""
"58","3702","S059","3.0",""
"59","1950","S064","2.0","Describe a scenario"
"60","2409","S101","3.0",""
"61","3680","S103","3.0",""
"62","6446","S104","2.0","Missing priority inheritance solution."
"63","2479","S023","2.0","Describe a scenario where busy waiting (spinlock) can lead to it"
"64","3315","S113","2.0","missing scenario where busy waiting"
"65","2404","S055","2.0","Incorrect. Uses aging instead of priority inheritance."
"66","2646","S119","2.0","Priority inversion correct, but spinlock scenario missing."
"67","3508","S067","2.0","missing scenario where busy waiting"
"68","3752","S076","2.0","Correct scenario, but priority inheritance confused with aging."
"69","3609","S074","0.0",""
"70","2676","S063","2.0","Describe a scenario"
"71","3485","S090","3.0",""
"72","5888","S100","3.0",""
"73","2767","S114","3.0",""
"74","1998","S038","1.5","Partially correct. Not deadlock and spinlock scenario unclear."
"75","2552","S047","3.0",""
"76","2484","S044","3.0",""
"77","2598","S075","3.0",""
"78","2341","S030","3.0",""
"79","2647","S106","3.0",""
"80","2931","S019","3.0",""
"81","2448","S020","3.0",""
"82","3750","S010","2.0","Missing spinlock/busy waiting scenario."
"83","2517","S091","1.0","Incomplete. Missing spinlock scenario and priority inheritance."
"84","3932","S051","0.5","Incorrect. Uses aging instead of priority inheritance."
"85","5050","S039","3.0",""
"86","2471","S018","3.0",""
"87","5665","S049","3.0",""
"88","3699","S053","3.0",""
"89","6135","S092","3.0",""
"90","6374","S125","0.0",""
"91","2919","S021","1.0","Too brief; spinlock scenario missing."
"92","2304","S050","2.0","Missing explanation of priority inversion"
"93","2313","S036","1.0","What is priority inversion? Describe a scenario?"
"94","2611","S048","3.0",""
"95","6513","S112","3.0",""
"96","2675","S006","3.0",""
"97","3184","S026","1.0","Incorrect scenario. High priority should occupy CPU, not low."
"98","1720","S032","1.5","Incomplete answer."
"99","4110","S057","1.0","missing scenario and  priority inheritance"
"100","5375","S002","3.0",""
"101","2859","S007","0.0",""
"102","3042","S016","3.0",""
"103","3846","S083","2.0","Priority inheritance confused with aging."
"104","2734","S088","3.0",""
"105","3134","S058","0.5","Incorrect understanding of priority inversion."
"106","3034","S043","2.0","Priority inheritance confused with aging."
"107","2340","S060","3.0",""
"108","2333","S024","3.0",""
"109","2655","S095","1.5","Wrong definition, but scenario correct."
"110","2752","S077","3.0",""
"111","2626","S120","3.0",""
"112","2652","S073","3.0",""
"113","2597","S069","3.0",""
"114","4304","S072","3.0",""
"115","2472","S042","3.0",""
"116","2548","S071","3.0",""
"117","3152","S062","3.0",""
"118","2586","S045","3.0",""
"119","2357","S056","1.0",""
"120","3051","S029","1.0","Incorrect description and incomplete explanation."
"121","2898","S065","3.0",""
"122","5122","S025","2.5","Minor error in spinlock scenario;"
"123","2455","S098","2.0","Describe a scenario where busy waiting (spinlock) can lead to it."
