"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","4096","S109","是當多個process 嘗試要去access shared data 的情況，這時結果會取決於process執行的順序","2","",""
"2","3945","S015","The race condition is that more than 1 processes try to write a change to the same destination (ex. variable, file). The result of destination depends on the order of writting.","2","",""
"3","2761","S054","the result of the program infected by the order of execution threads, and it could cause unwanted result.","1","僅提及執行順序影響結果（要素B），未明確說明多個執行緒/行程存取共享資源（要素A缺）",""
"4","5295","S117","two or more process access a resource at the same time","1","僅提及多個process同時存取資源（要素A），未提結果取決於執行順序（要素B缺）",""
"5","4271","S093","如果有很多process或thread共同分享一個variable時，每個process搶到CPU使用權要對該variable做write的時候，會發生race condition，因為會造成該write的數值尚未完成CPU就被搶走了，導致最後的數值結果不正確","2","",""
"6","5699","S012","multiple process needs to use a resource in the same time and the different excution orders leads to different results","2","",""
"7","6182","S108","當兩個 process 都要讀取與寫入相同的資料，若管理不當，可能導致某一 process 在讀取時被中斷，變成另一個 process 讀取與寫入，此時兩邊資料不對齊，計算結果就會出錯。","2","",""
"8","5138","S099","多個 threads 去存取同個 data，且不同的存取順序會導致不同的結果，造成計算結果不一致的情況。","2","",""
"9","3462","S070","當多個thread(process)同時access一個share data的時候 他的結果取決於那些thread修改完的順序","2","",""
"10","6158","S080","two or more threads or process want to access the same resource, and the final result will depends on the execution order of the threads or process.","2","",""
"11","2192","S003","When multiple process accessing same shared data space, and the outputs would be based on the order of each.","2","",""
"12","5219","S035","when two or more threads(or processes) want to access the shared memory(like data or file)  and their execution order will influence the outcome result.","2","",""
"13","5101","S037","When two process access the same resouce concurrently and the result of the program would be change if the order is different.","2","",""
"14","5327","S096","When the result of a program depends on the execution order of threads or processes that use a shared resource ","2","",""
"15","5563","S013","the shared data is modified at a moment and is unpredictable since it's decided by the order of the process","1","提到shared data取決於process順序（要素B），但多個執行緒並行存取共享資源（要素A）表述不明確",""
"16","5157","S040","two or more threads use the same memory at the same time and the result depends on access order","2","",""
"17","2880","S124","Race condition is when multiple threads try to access a shared resource (read/write it), but the result of the computation is dependent from the order of access","2","",""
"18","5144","S121","A race condition occurs when two or more threads/processes try to access to the same data simustaneousy.","1","僅提及多個thread/process同時存取相同data（要素A），未提結果取決於執行順序（要素B缺）",""
"19","4157","S068","兩個 process 互相擁有對方所需的資源，且這些資源是不可以同時被兩個 process所共享的，造成互相等待對方（hold and wait）","0","描述的是Deadlock（hold and wait互相等待），非race condition",""
"20","3849","S102","when more than one process want the same shared data, the result will depend on the order they reach","2","",""
"21","5528","S034","race condition occurs when threads/processes access a shared resource concurrently, and the final outcome depends on their execution order.","2","",""
"22","4726","S084","當兩個程式都想存取共享且未受保護的資源時，就會發生race condition。","1","提到共享資源存取（要素A），未提結果取決於執行順序（要素B缺）",""
"23","6280","S079","if the two process is using the same resource and the result is determined based on the order of when the process operates then the race condition happens.","2","",""
"24","4186","S122","多PROCESS THREAD同時進入共享資源時，根據先後順序來做執行處理","2","",""
