"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2503","S109","SCAN: 90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
"2","2566","S015","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"3","6358","S054","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 40","1","C-SCAN 最後應為 45 非 40",""
"4","3655","S117","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"5","2791","S093","SCAN: 90 120 130 45 20 10 5
C-SCAN: 90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確",""
"6","3172","S012","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"7","3978","S108","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"8","2981","S099","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"9","2469","S070","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確",""
"10","3946","S080","SCAN: 80->90->120->130->45->20->10->5
C-SCAN: 80->90->120->130->5->10->20->45","2","SCAN 與 C-SCAN 順序皆正確（含起始軌 80 可接受）",""
"11","3301","S003","Scan
90, 120, 130, 45, 20, 10, 5
C-SCAN
90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"12","3171","S035","SCAN : 90 120 130 45 20 10 5
C-SCAN : 90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確",""
"13","4020","S037","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確（含起始軌 80 可接受）",""
"14","2573","S096","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"15","3937","S013","1. 80, 90, 120, 130, 149, 0, 5, 10, 20, 45 
2. 80, 90, 120, 130, 5, 10, 20, 45","1","SCAN 路徑錯誤（149 後不應跳到 0）",""
"16","3843","S040","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"17","2206","S124","SCAN : 90 120 130 45 20 10 5 
C-SCAN : 90 120 130 5 10 20 45 ","2","SCAN 與 C-SCAN 順序皆正確",""
"18","2706","S121","SCAN : 90, 120, 130, 5, 10, 20, 45
C-SCAN : 90, 120, 130, 5, 10, 20, 45","1","SCAN 反轉後應為 45,20,10,5 非 5,10,20,45",""
"19","6616","S068","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"20","2747","S102","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN:90, 120, 130, 5,10,20,45

","2","SCAN 與 C-SCAN 順序皆正確",""
"21","4046","S034","SCAN: 90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
"22","3346","S084","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN : 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"23","4031","S079","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確（含起始軌 80 可接受）",""
"24","2385","S122","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確",""
"25","3210","S086","SCAN: 80, 90, 120, 130, 45, 20, 10, 5
C-SCAN: 80, 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確（含起始軌 80 可接受）",""
"26","3590","S052","SCAN : 90, 120, 130, 45, 20, 10, 5
C-SCAN : 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"27","3627","S033","SCAN:90 120 130 45 20 10 5
C-SCAN:90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確",""
"28","2827","S123","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN:90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"29","2782","S027","SCAN:90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
"30","1926","S081","scan: 90, 120, 130, 45, 20, 10, 5
c-scan: 90, 120, 130, 45, 20, 5, 10","0","SCAN 順序錯誤（20 後為 5,10）、C-SCAN 順序錯誤（應為 5,10,20,45）",""
"31","3112","S008","SCAN: 90, 120, 130, (149), 45, 20, 5
C-SCAN: 90, 120, 130, (149), (0), 5, 20, 45","1","SCAN 缺 10、C-SCAN 缺 10",""
"32","3230","S078","SCAN 90 120 130 5 10 20 45 
C-scan 90 120 130 45 20 10 5","0","SCAN 與 C-SCAN 答案互換",""
"33","3131","S087","SCAN:90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
"34","2709","S022","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"35","4833","S110","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"36","3063","S082","SCAN: 80 90 120 130 45 20 10 5
C-SCAN: 80 90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確（含起始軌 80 可接受）",""
"37","4059","S105","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"38","2608","S111","SCAN: 80->90->120->130->45->20->10->5
C-SCAN: 90->90->120->130->5->10->20","1","C-SCAN 重複 90 且缺末項 45",""
"39","2632","S085","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"40","2879","S004","先sort:5,10,20,45,90,120,130
SCAN:90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
"41","1795","S011","SCAN: 90, 120, 130, 45, 20, 10, 5.
C-SCAN: 90, 120, 130, 5, 10, 20, 45.","2","SCAN 與 C-SCAN 順序皆正確",""
"42","2660","S046","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120,130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"43","4497","S005","SCAN:  90=>120=>130=>45=>20=>10=>5

C-SCAN: 90=>120=>130=>5=>10=>20=>45","2","SCAN 與 C-SCAN 順序皆正確",""
"44","3304","S061","SCAN : 90,120,130,45,20,10,5
C-SCAN : 90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
"45","2624","S014","scan:80 90 120 130 45 20 10 5
c-scan:80 90 120 130  5 10 20 45 ","2","SCAN 與 C-SCAN 順序皆正確（含起始軌 80 可接受）",""
"46","2669","S028","SCAN: 90 120 130 45 20 10 5
C-SCAN: 90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確",""
"47","2688","S107","SCAN: 90, 120, 130, 45, 20, 10, 5
C-SCAN: 90, 120, 130, 5, 10, 20, 45
 ","2","SCAN 與 C-SCAN 順序皆正確",""
"48","2735","S126","scan:90 120 130 45 20 10 5
c-scan:90 120 130 5 10 20 45","2","SCAN 與 C-SCAN 順序皆正確",""
"49","2865","S017","SCAN     80 90 120 120 45 20 10 5

C-SCAN 80 90 120 130 5 10 20 45","1","SCAN 缺 130 且重複 120",""
"50","4109","S115","SCAN: 90, 120, 130, 45, 20, 10, 5
CSCAN: 90, 120, 130, 5, 10, 20, 45","2","SCAN 與 C-SCAN 順序皆正確",""
"51","2387","S089","SCAN : 80(初始),90,120,130,45,20,10,5
C-SCAN : 80(初始),90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確（含起始軌 80 可接受）",""
"52","2605","S009","SCAN:90,120,130,45,20,10,5
C-SCAN:90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
"53","3911","S094","SCAN：90,120,130,45,20,10,5
C-SCAN：90,120,130,5,10,20,45","2","SCAN 與 C-SCAN 順序皆正確",""
