"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1513","S109","5","2","",""
"2","1504","S015","5","2","",""
"3","1434","S054","5","2","",""
"4","1446","S117","5","2","",""
"5","1449","S093","5","2","",""
"6","1466","S012","5","2","",""
"7","1460","S108","5","2","",""
"8","2031","S099","5","2","",""
"9","1534","S070","5","2","",""
"10","1567","S080","4","0","fork() 流程分析錯誤，正確答案為 5",""
"11","1471","S003","5","2","",""
"12","1444","S035","5","2","",""
"13","1441","S037","5","2","",""
"14","1488","S096","5","2","",""
"15","1522","S013","6","0","fork() 流程分析錯誤，正確答案為 5",""
"16","1454","S040","5","2","",""
"17","1514","S124","5","2","",""
"18","1581","S121","5","2","",""
"19","1429","S068","3","0","fork() 流程分析錯誤，正確答案為 5",""
"20","1418","S102","5","2","",""
"21","1604","S034","3","0","fork() 流程分析錯誤，正確答案為 5",""
"22","5349","S084","5","2","",""
"23","1623","S079","1","0","fork() 流程分析錯誤，正確答案為 5",""
"24","1419","S122","2","0","fork() 流程分析錯誤，正確答案為 5",""
"25","1440","S086","5","2","",""
"26","1459","S052","5","2","",""
"27","1452","S033","4","0","fork() 流程分析錯誤，正確答案為 5",""
"28","1553","S123","5","2","",""
"29","1455","S027","5","2","",""
"30","1409","S081","2","0","fork() 流程分析錯誤，正確答案為 5",""
"31","1411","S008","5","2","",""
"32","1467","S078","5","2","",""
"33","1413","S087","5","2","",""
"34","1414","S022","4","0","fork() 流程分析錯誤，正確答案為 5",""
"35","2512","S110","5","2","",""
"36","1417","S082","5","2","",""
"37","1490","S105","5","2","",""
"38","1540","S111","3","0","fork() 流程分析錯誤，正確答案為 5",""
"39","1507","S085","5","2","",""
"40","1474","S004","5次","2","",""
"41","1428","S011","5","2","",""
"42","2141","S046","4","0","fork() 流程分析錯誤，正確答案為 5",""
"43","3407","S005","5","2","",""
"44","2902","S061","5","2","",""
"45","4696","S014","5","2","",""
"46","1483","S028","5","2","",""
"47","1503","S107","5","2","",""
"48","1432","S126","5","2","",""
"49","1524","S017","5","2","",""
"50","1634","S115","5","2","",""
"51","1461","S089","5","2","",""
"52","1506","S009","5","2","",""
"53","1496","S094","3","0","fork() 流程分析錯誤，正確答案為 5",""
"54","2733","S066","5","2","",""
"55","1442","S041","5","2","",""
"56","2231","S031","5","2","",""
"57","1482","S116","5","2","",""
"58","1781","S059","5","2","",""
"59","1422","S064","3","0","fork() 流程分析錯誤，正確答案為 5",""
"60","1447","S101","5","2","",""
"61","1542","S103","5","2","",""
"62","1674","S104","5","2","",""
"63","1433","S023","3","0","fork() 流程分析錯誤，正確答案為 5",""
"64","1408","S113","5","2","",""
"65","1517","S055","5","2","",""
"66","1481","S119","5","2","",""
"67","2110","S067","5","2","",""
"68","1632","S076","5","2","",""
"69","2437","S074","5","2","",""
"70","1546","S063","5","2","",""
"71","1451","S090","5 times","2","",""
"72","1658","S100","5","2","",""
"73","1502","S114","5","2","",""
"74","1525","S038","5","2","",""
"75","1739","S047","5","2","",""
"76","1565","S044","5","2","",""
"77","1512","S075","5","2","",""
"78","1438","S030","5","2","",""
"79","1646","S106","5","2","",""
"80","6076","S019","4","0","fork() 流程分析錯誤，正確答案為 5",""
"81","1509","S020","5","2","",""
"82","1412","S010","5","2","",""
"83","1962","S091","5","2","",""
"84","1426","S051","5","2","",""
"85","1420","S039","5","2","",""
"86","1430","S018","5","2","",""
"87","1592","S049","5","2","",""
"88","1588","S053","5","2","",""
"89","1718","S092","5","2","",""
"90","1569","S125","3","0","fork() 流程分析錯誤，正確答案為 5",""
"91","1584","S021","5","2","",""
"92","1499","S050","5","2","",""
"93","1427","S036","7","0","fork() 流程分析錯誤，正確答案為 5",""
"94","1599","S048","3","0","fork() 流程分析錯誤，正確答案為 5",""
"95","2165","S112","5","2","",""
"96","1407","S006","5","2","",""
"97","1598","S026","4","0","fork() 流程分析錯誤，正確答案為 5",""
"98","4256","S032","2","0","fork() 流程分析錯誤，正確答案為 5",""
"99","1788","S057","4 time","0","fork() 流程分析錯誤，正確答案為 5",""
"100","1721","S002","4","0","fork() 流程分析錯誤，正確答案為 5",""
"101","1469","S007","5","2","",""
"102","1630","S016","3","0","fork() 流程分析錯誤，正確答案為 5",""
"103","1543","S083","5","2","",""
"104","1576","S088","5","2","",""
"105","1748","S058","4","0","fork() 流程分析錯誤，正確答案為 5",""
"106","1484","S043","5","2","",""
"107","1425","S060","5","2","",""
"108","1435","S024","5","2","",""
"109","6538","S095","3","0","fork() 流程分析錯誤，正確答案為 5",""
"110","1528","S077","5","2","",""
"111","1561","S120","5","2","",""
"112","1533","S073","4","0","fork() 流程分析錯誤，正確答案為 5",""
"113","1415","S069","5","2","",""
"114","5385","S072","3","0","fork() 流程分析錯誤，正確答案為 5",""
"115","4251","S042","3","0","fork() 流程分析錯誤，正確答案為 5",""
"116","1489","S071","5","2","",""
"117","1979","S062","5","2","",""
"118","1636","S045","5","2","",""
"119","1706","S056","5","2","",""
"120","1529","S029","3次","0","fork() 流程分析錯誤，正確答案為 5",""
"121","1642","S065","5","2","",""
"122","1640","S025","4","0","fork() 流程分析錯誤，正確答案為 5",""
"123","1487","S098","5","2","",""
