"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","12787","S109","(1)call a poll to check the buffer 
(2)pop-up thread created to handle
(3)interrupt handler to map and handle
(4)","3","缺少 active message（在 interrupt handler 處理）",""
"2","11769","S015","1. Interrupt the process.
2. The process periodically polls the pool and check the message. Needs `poll()` and `get_message()` functions.
3. Use a pop-up thread to handle the incoming message.
4. Directly handle the message in trap handler after receiving message.","4","",""
"3","16179","S054","1, session method (used in AFS)","0","未列出任何正確方法（session method 不屬四種方式）",""
"4","11958","S117","1. interrupt the receiver
2. process active messages into interrupt handler
3. a pop up thread to handle the message
4. periodically to poll the buffer, check whether any message arrive or not","4","",""
"5","11634","S093","1. 當message has arrived就直接interrupt
2. 當message has arrived就直接create一個new thread，讓該thread去處理message
3. 一直花時間去做poll，確認message是否已經抵達
4. 將message傳送這件事在interrupt handler中處理，以此確認是否收到
","4","",""
"6","11689","S012","1. signal
2. interrupt
3. polling
4. fork a process to deal with the data","2","signal/interrupt 算 1 分、polling 算 1 分；缺少 pop-up thread 與 active message",""
"7","11628","S108","interrupt: 當訊息抵達時會發出 interrupt 中斷 processor 並且讓 handler 來處理訊息
message buffer: 訊息抵達時會修改某處資料，當 processer 去做詢問時便會知道 message 已經抵達。 
pop up thread: 在訊息抵達時，一個 threads 會被創建來處理此訊息。
message action: 訊息本身自帶要執行的動作，直接在 handler 內執行，此需要 completly trusted environment.","4","",""
"8","11685","S099","1. 訊息送達時，系統直接打一個 interrupt 給 receiver。
2. 接收端定期地去確認 buffer 狀態是否改變。
3. 訊息送達時，系統動態地建立 pop-up thread 來處理訊息。
4. 訊息送達時直接在 interrupt handler 裡面處理。","4","",""
"9","11803","S070","1.interupt直接通知 2.polling 不斷去check收到了沒 3.收到message就直接產生新的thread 4.利用interupt handler 直接處理message","4","",""
"10","12325","S080","1. interrupt when the message arrived.
2. the receiver need to poll the status of message buffer, and retrieve the message when the status change. it requires poll( ) and get_message( ).
3. pop-up thread to cope with the message.
4. executing the arriving active message in the interrupt handler, this operation can only done in fully trusted environment.","4","",""
"11","11243","S003","interrupt message
pop-up thread
message in receiver's buffer","2","提到 interrupt 與 pop-up thread；缺少 polling 與 active message",""
"12","12091","S035","1. interrupt the receiver when the message is arrived.
2. the caller polls to check whether the message is arrived or not.
3. a pop-up thread is created to handle the comming message.
4. let the message be handled at interrupt handler (should be in the trusted environment).","4","",""
"13","12684","S037","1. poll
2. Interrupt handler
3. pop up thread
4. application message(need  trust source)","4","",""
"14","12230","S097","1. Interrupt receiver with a new message
2. Create a separate thread to notify receive of the message
3. Receiver should poll for new messages
4. ","3","缺少 active message（在 interrupt handler 處理）",""
"15","13692","S013","1. Interrupts
2. Poll
3. Establish Pop-up thread to notify  the receiver that a message has arrived
4. Notify active message","4","",""
"16","12124","S040","1. receiver process check if message arrive every 1 second (some thing like this)
2. OS interrupt receiver process to tell it
3. OS pop up a thread to handle the message
4. execution the code in received message in interrupt handler of OS","4","",""
"17","11177","S124","- Interrupt the sender on message reception 
- Use a handler on message reception 
- Create a thread to notify 
- Polling the messages to verify if the sent message's status changed (needs poll() and get_messages())
 ","4","",""
"18","12255","S121","- the receiver is interrupted by the reception
- The receiver thread polls regularly the flag and the buffer for the reception
- A pop-up thread is ran when the message is received
- The reception trigger the Interrupt Handler and execute directly the associated function.","4","",""
"19","14737","S068","poll, interrupt, ","2","僅提到 poll 與 interrupt；缺少 pop-up thread 與 active message",""
"20","11671","S102","interrupt
polling
pop-up thread 
active message","4","",""
"21","11786","S034","1. interrupt
2. polling
3. pop-up thread
4. 直接在interrupt handler做掉","4","",""
"22","11255","S084","1. 用軟體中斷(interrupt)通知訊息到了。
2. 用poll()及get_message()定期檢查訊息到了沒。
3. 當訊息到達時用pop-up thread去處理。
4. 在interrupt handler中處理active message(要在完全信任的環境)。","4","",""
"23","11944","S079","1. Upon message arrived, interrupt the receiver
2. Constant poll the status of the buffer, and tell receiver if the buffer state change
3. Upon message arrived, use pop-up thread to manage it
4. Directly execute the message with the process code in interrupt handler","4","",""
"24","12648","S122","polling
回應
動態式 
中斷
","2","僅提到 polling 與 interrupt（中斷）；缺少 pop-up thread 與 active message",""
"25","11837","S086","1. interrupt receiver when the message is arrived","1","僅提到 interrupt；缺少 polling、pop-up thread 與 active message",""
"26","12167","S052","1. Interrupt the receiver when a message arrives.
2. Receiver polls the status of the buffer periodically to determine whether a message comes.
3. A pop-up thread handles the arriving message.
4. Process the arriving active message inside the interrupt handler. It can only be done in a trust environment.","4","",""
"27","11869","S033","1.在收到訊息時中斷
2.使用彈出thread處理接受到的訊息
3.
4.","2","僅提到 interrupt 與 pop-up thread；缺少 polling 與 active message",""
"28","12283","S123","1. interrupt
2. pop-up thread
3. polling the status of buffer periodically
4.","3","缺少 active message（在 interrupt handler 處理）",""
"29","11630","S027","interrupt:自己叫receiver
polling:一直用poll()看，再用get_message()取出
pop up thread:開新的thread處理
active message: interrupt handler 直接處理","4","",""
"30","14257","S081","1. crossbar
2. atomic messages
3. node receives the message
4.","0","未列出任何正確方法（crossbar, atomic messages 不屬四種通知方式）",""
"31","12128","S008","1. Interrupt the receiver that a message is arrived.
2. Use a pop up thread to handle the message arrival.
3. Let the receiver periodically polls the status of the the message buffer to check whether a message is arrived.
4. Execute certain code received from the message in the interrupt handler, it can only work in a trusted environment.","4","",""
"32","13168","S087","1.interrupt
2.用polling的方式去輪巡查看是否完成","2","僅提到 interrupt 與 polling；缺少 pop-up thread 與 active message",""
"33","13671","S022","1. Check message ID.
2. Check message sender address.
3. Check message receiver address.
4.","0","未列出任何正確通知方法（僅檢查 message ID/sender/receiver）",""
"34","12610","S110","1. interrupt receiver 
2. receiver periodly check the buffer if there is message
3. process the message in interrupt handler","3","缺少 pop-up thread",""
"35","12119","S082","1. interrupt
2. poll & retrieve
3. build a additional thread for the message
4. tackle the message in the exception section","4","",""
"36","12250","S105","{
  ""text"": """"
}","0","未作答（空白）",""
"37","11373","S111","1. Interrupt to alert
2. polling to check
3. pop up thread直接處理
4. 在interrupt handeler中直接處理","4","",""
"38","11690","S085","直接中斷
接收者輪詢訊息傳送狀態
pop-out thread
active message","4","",""
"39","11766","S004","1.當訊息抵達時interrupt通知receiver
2.The caller週期性poll buffer狀態，狀態改變就取出訊息
3.建立一個pop-up thread來處理抵達的訊息
4.直接在interrupt handler處理抵達active message","4","",""
"40","11651","S046","1. Interrupt: 接收到之後中斷
2. polling: 時刻關注buffer
3. pop-up thread: 跳新視窗出來
4. active message: 在中斷程序中去處理","4","",""
"41","11331","S005","1.polling
2.check periodically
3.interrupt
","2","polling 與 check periodically 實為同一方法（polling）；缺少 pop-up thread 與 active message",""
"42","11327","S014","interupt
polling
thread","2","提到 interrupt 與 polling；""thread"" 未明確為 pop-up thread，缺少 active message",""
"43","11754","S107","1. Interrupt the receiver
2. Caller polls the buffer periodically
3. Pop-up thread
4. Processing the active message in Interrupt handler","4","",""
"44","11796","S126","1.建立pop-up-thread
2.持續poll buffer狀態，再用get message接收訊息
3.收到message後就中斷reciever
4.","3","缺少 active message（在 interrupt handler 處理）",""
"45","13556","S017","1.Interrupt the receiver when the message arrives
2.The caller polls continously and retrive the message when the status change, it requires poll() and get_message()
3.When the message arrive, a pop-up thread is created to handle it.
4.processing the message inside the interrupt handler, this requires completely trust environment","4","",""
"46","11100","S115","Poll a buffer until state changes
Interrupt handler in a trusted environment
Interrupt the reciever
Create a seperate thread to deal with the recieve","4","",""
"47","11710","S089","1. interrupt the receiver
2. Polling the statues
3. pop up thread
4.arriving active massage","4","",""
"48","12017","S094","1. 直接發送中斷程序給receiver
2. 在中斷程序中執行目前的message
3. 建立一個新的thread來處理message
4. 透過檢查buffer狀態","4","",""
"49","12528","S066","1. 當message傳到時，中斷傳輸
2. 創建一個新的thread處理
3. 持續關注buffer的狀態
4. ","3","缺少 active message（在 interrupt handler 處理）",""
"50","11855","S041","Interrupt:
用中斷提醒receiver訊息已送達
Polling cache state:
每個一段時間定期檢查cache狀態，確認有無訊息送達
Pop-up thread:
當收到訊息時，系統新增一個process來處理該訊息
Active message:
直接執行interrupt handler，執行訊息內的handler code","4","",""
"51","13905","S031","1. 接收端中斷
2. 持續poll，直到get_message
3. 接收到訊息後，彈出執行序pop_up thread
4. 資源必須在安全的環境操作","3","缺少 active message（第4點僅提到安全環境，未具體說明在 interrupt handler 處理）",""
"52","11669","S116","1.打斷 interrupt
2.poll and get_message()
3.pop out threads
4.在interrupt的時候就直接處理資料 只用在絕對確認安全的sender","4","",""
"53","12159","S059","1. interrupt: 當訊號送達是會interrupt receiver 讓他暫時不要再接收新訊號
2. polling: caller 會一直去檢查message delivering operation 的狀態(polling the state) 如果有訊息就會retrieve(拿走) 所以會需要polling() and get_message()
3. pop-up threads: 當訊號到達 會隨機出現pop-up threads處理訊號
4. active message: 當acitve message 到達 會在interrupt handler內直接處理，只適用在completely trusted environment","4","",""
"54","12039","S064","passing pointer
","0","未列出任何正確通知方法（passing pointer 不屬四種方式）",""
"55","11823","S101","1. Interrupt: 收到訊息直接中斷接收者原來的工作。
2. Pop-up thread: 產生新的執行緒來執行接收到的訊息。
3. Polling: 定期檢查緩衝區有沒有收到新訊息。
4. Active message: 動態觀察收到的訊息。","4","",""
"56","11583","S103","1. interrupt receiver when a message comes
2. receiver定期去詢問buffer
3. 用pop-up thread處理
4. 在handler indicator裡把訊息處理掉","4","",""
"57","14109","S104","interrupt : 當訊息抵達時，系統會執行硬體或軟體中斷來通知receiver
polling : receiver會定期輪詢(polling)訊息緩衝區的狀態
pop-up thread : 當訊息抵達時，系統會自動建立一個執行緒來處理這個訊息
active message : 由interrupt handler直接處理訊息，適合操作在可靠度高的系統","4","",""
"58","12135","S023","1. Interrupt
2. Polling
3. Pop-up Thread
4. Active Message","4","",""
"59","11564","S113","1.interrupt
2.poll
3.pop-up thread
4.active message inside interrupt handler(需要很高信任度)","4","",""
"60","11916","S055","1.polling
2.interrupt
3.interrupt handler 但僅限極度安全的環境
4.透過pop up thread 處理","4","",""
"61","11810","S119","1. Interrupt the receiver when the message arrives
2. The caller polls the status of the message buffer periodically and retrieves the massage when the state change.
3.On receiving a message, a pop-up thread is created to handle the message.
4.Process the arriving active message inside the interrupt handler.","4","",""
"62","11915","S067","1.receiver在收到message後 ,interrupt
2.使用active message,但只能用在完全信任的訊息,直接在O.S.執行
3.當receiver收到後使用pop-up 程式
4.receiver每隔一段時間就去查看訊息到了沒使用poll ","4","",""
"63","12433","S076","Poll the status of the buffer. It needs poll() and get_message() operations
Create a pop up thread for arriving messages
Interrupt/signal the receiver
Arriving active messages notified in the interrupt handler. This is only possible in a completely trusted environment","4","",""
"64","16143","S074","i. Polling (Bus waiting)
ii. Interrupts
iii. Signals/ Callbacks 
iv. Condition variables/Events","2","signals/callbacks 與 interrupt 同類；僅 polling 與 interrupt 符合，缺少 pop-up thread 與 active message",""
"65","11984","S063","interrupt the execution of receiver
poll the status of buffer
use a pop up thread to handle
get arrive active message in interrupt handler","4","",""
"66","11822","S090","1. Interrupt the receiver when the message arrived.
2. When the message arrives, the pop-up thread is created to handle the message.
3. The receiver keep polling the status of buffer and retrieve messages when the status changes. It needs poll() and get_message() to support.
4. Deal with messages in the interrupt handler. It only works on completely trusted environment.","4","",""
"67","14259","S100","1. Interrupt when message arrives
2. Pop-up thread when message arrives.
3. Poll the message buffer periodically.
4. Process the message in interrupt-handler.","4","",""
"68","11377","S114","1. pop a thread to handle it 
2. interrupt 
3. CPU polling 
4. 一個專門處理的程式 不斷 listening","3","缺少 active message；第4點 listening 非四種方法之一",""
"69","12732","S038","1.mailbox notify
2. pop-up notify
3. sound notify
4. money notify","1","僅 pop-up notify 接近 pop-up thread；mailbox/sound/money notify 不屬四種方式",""
