"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1591","S109","hellohello","2","",""
"2","1597","S015","hello hello","2","",""
"3","1541","S054","print 兩個 hello (excel後不會執行最後一行的print done)","2","",""
"4","1578","S117","hello hello","2","",""
"5","1530","S093","輸出2個hello","2","",""
"6","1564","S012","hellohello","2","",""
"7","1498","S108","two times of hello","2","",""
"8","2066","S099","hello","1","僅提到一個 hello，忽略 fork 產生的第二個 process",""
"9","1568","S070","hellohello","2","",""
"10","1616","S080","hello","1","僅提到一個 hello，忽略 fork 產生的第二個 process",""
"11","1539","S003","hello hello","2","",""
"12","1510","S035","print hello two times","2","",""
"13","1531","S037","兩個process分別echo hello","2","",""
"14","1520","S096","hello","1","僅提到一個 hello，忽略 fork 產生的第二個 process",""
"15","1554","S013","hello","1","僅提到一個 hello，忽略 fork 產生的第二個 process",""
"16","1600","S040","output hello in two line","2","",""
"17","1580","S124","It prints ""hello"" 2 times","2","",""
"18","1641","S121","It prints 2 times : hello","2","",""
"19","6747","S068","hellow hellow done","1","輸出包含 done，未理解 execl 取代 process image",""
"20","1464","S102","print hello 2 times","2","",""
"21","1787","S034","fork(): generate child process; excel():transfer function to print ""hello"", and final print ""done"".","1","理解 fork 與 execl 機制，但認為 done 仍會印出",""
"22","5435","S084","2次hello跟2次的done","1","正確指出 hello 兩次，但錯誤包含 done",""
"23","1779","S079","parent 和children的process or function都會被改成echo and terminate, after that the system will print done.","1","理解 execl 取代機制，但認為 done 仍會執行",""
"24","1445","S122","done","0","輸出結果錯誤",""
"25","1521","S086","hello hello done done","1","正確指出 hello 兩次，但錯誤包含 done",""
"26","1545","S052","print out : hellodone","1","僅提到一個 hello 且包含 done",""
"27","1552","S033","done","0","輸出結果錯誤",""
"28","1594","S123","none","0","輸出結果錯誤",""
"29","1532","S027","hello hello","2","",""
"30","1463","S081","echo hello done","0","輸出結果錯誤",""
"31","1456","S008","hello hello","2","",""
"32","2423","S078","hellohello","2","",""
"33","1479","S087","""hello""""hello""","2","",""
