"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","4040","S109","DMA 是可以讓devices 在沒有cpu 介入下大量transfer data, it saves the cpu time","","",""
"2","3884","S015","Direct memory access is a technique that the process (or a device) could access the main memory by it self. Doesn't need to be handled by CPU. It could increase the performance of system in the scenario that frequently accesses memory such as swapping pages.","","",""
"3","3725","S054","let devices can access the data to and from main memory independently, without intervent of CPU, it can keep up efficiency of CPU and performance. ","","",""
"4","5234","S117","computer transfer data between devices, 不經過processors干預，可以節省processor干預的時間，可用來傳大量資料","","",""
"5","5384","S093","DMA是可以協助I/O的一種device，當要執行I/O時，CPU可以將所需要的內容告訴DMA，而DMA會負責處裡I/O，雖然可能會跟CPU搶bus，但是用DMA相較polling跟interrupt等方式，會更快速","","",""
"6","5598","S012","external devices like network card or usb can transfer data with memory directly without cpu helping. DMA contorller helps transfer data between devices and memory, meanwhile cpu could do other things. DMA controller notifies cpu when data is done transfering.","","",""
"7","6144","S108","當 CPU 需要使用 I/O 設備的資料時，CPU 會將所需資料的資訊，寫入 DMA，交由他和 I/O 設備互動以及將資料搬入記憶體。此時資料的移動就不需要 CPU 來管理，他可以做其他事情，而 DMA 在完成之後會發送 interrupt 通知 CPU 資料準備完成。","","",""
"8","5065","S099","硬體設備可以不用透過 CPU 直接存取 System Memory。","","",""
"9","3566","S070","讓CPU不用去處理memory and disk的IO，可以不用在這部分消耗CPU的資源，交由dma controler處理，等到dma controler處理完會通知CPU","","",""
"10","6117","S080","Direct memory access is a technique that can transfer data between devices without evolving the cpu.
DMA contoller can access the memory of the cpu independently, and therefore transfer a great amount of data at high speed to reduce cpu usage and improve the performance of cpu.","","",""
"11","2294","S003","The DMA allow the directly reading and writing for the devices to memory. It allow CPU no need  to help with the data transfer, can save CPU times.","","",""
"12","5165","S035","The device can transfer data with memory directly, and doesn't need CPU to intervene for every bytes/words, which is faster and efficient.","","",""
"13","5206","S037","DMA is that cpu allow device to directly access memory and transfer data from memory to device register(or in reverse direction) let cpu do not need to use cpu resource to transfer data.","","",""
"14","5168","S096","With DMA devices on a computer can directly access memory without CPU intervention. Without DMA these devices would ask a CPU to receive memory for them (which wastes CPU resources)","","",""
"15","5414","S013","directly access to memory rather than using process","","",""
"16","5100","S040","some device can direct control other device's memory without ask cpu to handle it.","","",""
"17","2866","S124","DMA is when an I/O device has directly access to the memory in order to transfer data to/from it. This helps save a lot of time and CPU utilization as the transmission of data does not need the intervention of the OS to process the communication between the memory and the device. ","","",""
"18","5071","S121","DMA is used to allow network / storage devices to communicate with the memory without the intervention of the CPU. It saves a lot of cpu utilization by using fast bus to write or read data in the memory.","","",""
"19","4297","S068","DMA 機制可以使 process 在需要存取記憶體時不需要處理器的資源，可以增加整體的吞吐量。然而這樣的機制需要特別的硬體支援。","","",""
"20","3933","S102","DMA is to let devices directly transfer data to memory ,it can reduce the use of CPUs.","","",""
"21","5430","S034","DMA is technique used by computer to transfer data between device without involving the CPU.","","",""
"22","4673","S084","DMA是device存取memory的一種方式，device可以不用經過CPU就能存取memory，好處是省下的CPU資源可以拿去執行其他程式用。","","",""
"23","6215","S079","the device can access the system memory bus directly without the help from OS or CPU.","","",""
"24","4108","S122","可以不須透過CPU，硬體可以直接與MEMORY進行交換","","",""
"25","2704","S086","DMA is the technique that allows I/O devices transfer data directly to or from main memory, reducing CPU overhead and improve transfer efficiency.","","",""
"26","5585","S052","Direct Memory Access let devices access memory/ data transfer between devices directly without involving CPU. This makes data transfer faster, reduce CPU usage and improve system performance. ","","",""
"27","5702","S033","DMA是一項技術在獲取memory時不用通過CPU。","","",""
"28","4556","S123","DMA allows devices to access data directly to/from the main memory without involving the CPU.","","",""
"29","4613","S027","DMA is a techniqe that allows device to transfer data directly to/from main memory without CPU involvement","","",""
"30","6337","S081","Direct Memory Access","","",""
"31","5778","S008","DMA is the technique that allows devices to access from/to the memory without the help of cpu.","","",""
"32","6036","S078","no","","",""
"33","5885","S087","DMA是一種資料的傳輸方式，device可以直接將資料傳送到memory中，不需要cpu傳送資料，傳送完成後再發送interrupt告知cpu。","","",""
"34","5395","S022","A techique of accessing memory without the control from the cpu.","","",""
"35","6590","S110","the device can access the memory without using CPU","","",""
"36","5125","S082","it describes the relation between memory and device. DMA means device can access the memory directly. no need to pass processor.","","",""
"37","6259","S105","其他 bus 上的裝置不透過 CPU 支援，直接存取記憶體。","","",""
"38","4156","S111","Device可以直接access OS中的memory。","","",""
"39","4554","S085","device可以直接讀寫記憶體，不須透過CPU，提升CPU利用率","","",""
"40","4377","S004","是一種I/O技術，讓device可以在沒有CPU逐筆搬運data的情況下，直接在memory和device之間傳輸資料。CPU的工作是設定DMA參數並啟動DMA，之後DMA controller取得bus完成bulk transfer。完成之後會發送interrupt通知CPU，可以降低CPU在I/O的overhead，適合大量資料傳輸","","",""
"41","4461","S011","直接去對整個記憶題存取，而不透過分頁。","","",""
"42","4482","S046","DMA is a technique that allows hardware devices access system memory directly, without the intervention of the CPU.","","",""
"43","2567","S005","裝置可以不用透過ＣＰＵ介入 直接讀取傳輸資料","","",""
"44","1973","S061","DMA is a technique that can transfer data without involving CPU. Hard device can read or write from main memory without involving CPU.","","",""
"45","5058","S014","不用透過CPU，直接傳輸至記憶體","","",""
"46","4259","S028","DMA是一個方法讓device在不受CPU介入的情況下，可以直接對memory去做讀/寫，減少CPU time","","",""
"47","3433","S107","DMA is a way to directly access memory resources without the CPU help.","","",""
"48","4617","S126","裝置可以直接從記憶體去存取，不用用到cpu","","",""
"49","3698","S017","他能夠讓devices之間的data transfer不需要透過cpu的幫助，比如能夠讓hard drives、sound cards、network cards直接access memory。讓devices之間不需要cpu介入就能夠高效傳輸資料，減少了cpu usage，大大提升了效率，使cpu能夠花費精力去做更多其他的事情","","",""
"50","2615","S115","DMA is when a seperate entity like a drive can directly access the memory without the help of OS, this can decrease CPU load and result in a more efficient system.","","",""
"51","3125","S089","device能不透過CPU直接access memory，可以減少memory usage和省下使用CPU的時間","","",""
"52","3520","S009","DMA can access the data directly without CPU utilization ","","",""
"53","2405","S094","裝置直接跟記憶體傳送資料，不用透過CPU，可減少CPU負擔，增加I/O傳輸效率","","",""
"54","6740","S066","一種不用藉由CPU，device直接和OS溝通的技術。","","",""
"55","4523","S041","一種能讓裝置直接存取記憶體，不需要 CPU 介入的技術","","",""
"56","5597","S031","DMA是一種資料傳遞的方法，資料傳遞不需要經過CPU，可降低CPU的使用率並提升效能，可大量快速地傳遞資料。","","",""
"57","2850","S116","DMA能讓資料的轉輸不用透過CPU，並且能讓外部裝置像是硬碟可以不用透過CPU的幫助直接讀取或是改寫主記憶體。DMA能大幅降低CPU的使用率並減少資料傳輸所需的時間。","","",""
"58","5188","S059","DMA是直接記憶體存取，可以讓裝置直接與主記憶體(RAM)傳輸資料,不須經過CPU逐筆介入.
DMA可以直接讀寫記憶體,可以減少CPU負擔增加使用效率,提升效能.","","",""
"59","2875","S064","直接存取系統的記憶體","","",""
"60","4843","S101","access memory without request to system","","",""
"61","6256","S103","可以不用透過CPU, 直接讀寫記憶體","","",""
"62","3976","S104","DMA is a technique used by computer to transfer data between without involving CPU. DMA allows device such as hard drives, sound cards ,and network cards to read/write data directly to/from the main memory.Without using CPU, it can reduce CPU usage and improve system performance.","","",""
"63","5546","S023","DMA is a technique that allows transfer data directly to or from the main memory without CPU intervention, saving CPU time.","","",""
"64","2551","S113","Device上的資料可以透過DMA controller經由memory bus搬到memory中，CPU只需要負責最一開始的基礎設定，這樣CPU就不用親自去搬device上的資料，可以大幅提升CPU的使用率","","",""
"65","4956","S055","指不需要透過cpu, 就可以將例如hard device等等的數據傳送到memory, 進而增加CPU真正在工作的時間,而不是浪費在IO","","",""
"66","4967","S119","The device can access system memory directly.
The device can use DMA to transfer data without processing.
","","",""
"67","5948","S067","是指我可以直接存取Memory不需要透過CPU,例如某程式在執行過程中如果有一個I/O需求,會透過O.S.發出一個interrupt 告訴CPU他要的資料,CPU會直接透過disk 中的general register 將I/O需求完成並送到記憶體中,之後只要發出一個interrupt告訴O.S.他完成了,這樣可以增加CPU的使用率","","",""
"68","6431","S076","Direct memory access is a technique that allows drives to read and write directly to main memory without the CPU. This allows hard disks to read and write to main memory and high speeds. This improves CPU uiltization.","","",""
"69","5979","S074","Direct Memory Access is a mechanism that bypasses logical memory access and provides direct access to physical memory to ensure smooth paging and context switching.","","",""
"70","3958","S063","A technique to transfer data between devices and system memory directly without involving of CPU.","","",""
"71","5191","S090","DMA is the technique that DMA controller is responsible for the data transfer between memory and I/O devices. So the CPU is not require to supervise the data transfer.","","",""
"72","2359","S100","It allows devices to access main memory directly and interrupts CPU when DMA finishs its work. It will help  the CPU utilization.","","",""
"73","3336","S114","一個hardware device用來做 storage device 與 memory 之間的 data 傳輸，以此提高cpu utilization . ","","",""
"74","3455","S038","It didn't require to use virtual memory address ","","",""
"75","5238","S047","一些裝置不需要透過 CPU 慢慢 copy memory，CPU 可以呼叫 DMA controller 進行 copy 一段 memory，完成後再通知 CPU，就不用佔用 CPU 資源慢慢地複製","","",""
"76","4875","S044","dma can transfer data without intervention of cpus","","",""
"77","4894","S075","讀取需求極大時，可以和CPU要求直接讀取記憶體的(權限)，這樣可以不用對CPU一直提出請求
如: 電腦螢幕輸出","","",""
"78","4518","S030","原本 cpu 從 memory 資料 要不斷輪詢來知道進度進而拖慢 CPU 執行速度，DMA 接手了 CPU  從 memory 中取資料的過程 ，來達到讓 CPU 不需要一直等待 block 和加速整個系統的目的。 ","","",""
"79","5401","S106","DMA means that certain device such as internet  cards can dirrectly access the memory without involving cpu ,since these devices need to frequently interact with memory , if cpu is involved , it will waste a lot of time  . ","","",""
"80","5124","S019","DMA 可以在做 I/O 時幫助 translate between logical address and physical address. 並且不需要 CPU 介入","","",""
"81","3701","S020","DMA is used to transfer data between I/O device and memory. By that, CPU doesn't waste time to transfer data.","","",""
"82","2138","S010","DMA allows devices to directly read or write on the memory without the need of CPU, making it more efficient to communicate with other devices.","","",""
"83","4034","S091","不需要透過stack暫存現在的pointer即可使用memory","","",""
"84","5690","S051","Can access memory without telling CPU, can let memory access be more efficient.","","",""
"85","3138","S039","device can directly access system memory without CPU to deal with it","","",""
"86","4199","S018","DMA可以讓各個device與main memory之間可以不需要CPU介入就能transfer data。","","",""
"87","4525","S049","dma allow i/o device directly access memory to read/write data to/from the memory","","",""
"88","5636","S053","其他的程式要存取記憶體的內容進行讀寫時，不需要受到CPU的影響，可以直接進行","","",""
"89","5292","S092","it will not concerning CPU, it only goes straight forward to memory.","","",""
"90","4564","S125","allow device access to system memory directly  ，mamory 中的資料可以直接傳送給device","","",""
"91","6460","S021","transfer the data between devices without involving the CPU","","",""
"92","5592","S050","can directly access the memory without the help from CPU","","",""
"93","4028","S036","不須透過CPU便可直接存取記憶體。","","",""
"94","6107","S048","不分配記憶體直接存取","","",""
"95","4074","S112","DMA means that if I/O devices need to communicate/get data from the memory, it can access the memory directly instead of accessing through the OS","","",""
"96","3959","S006","DMA 可以不需要透過 OS 就直接與 memory 交流並快速傳輸數據。","","",""
"97","5722","S026","不透過cpu直接運算I/O設備","","",""
"98","6115","S032","Direct Memory Access is when a device is able to exchange data with the OS without involving the CPU (device tells OS directly about the memory addresses) ","","",""
"99","6626","S057","設備直接存取記憶體。設備傳送資料不需要經過 CPU 則直接可以讀寫記憶體，以增加效能。
如音效卡，網路卡，硬碟。DMA 暫存器獨立於 CPU 記憶體，快速讀寫。","","",""
"100","6557","S002","Devices transfer data without involving the CPU, which makes less CPU utilization and faster data transfer.","","",""
"101","3984","S007","The Direct Memory Access is a unit that a process can directly access memory without CPU sceduling. It helps reduce the loading and time for CPU to manage the memory for processes.","","",""
"102","6547","S016","DMA是一種可以讓裝置不須CPU介入就可以在主記憶體間傳輸資料的技術，由於不需要使用CPU,因此讓系統更有效率。","","",""
"103","6601","S083","直接記憶體存取(DMA)是指IO裝置直接可存取主記憶體傳輸的技術，只須裝置傳輸完成再以中斷通知CPU，CPU過程不須持續參與及處理。","","",""
"104","4844","S088","process可以直接讀寫memory，不需要經過CPU，節省CPU time，提升效能","","",""
