"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","1591","S109","hellohello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"2","1597","S015","hello hello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"3","1541","S054","print 兩個 hello (excel後不會執行最後一行的print done)","2","正確：hello 輸出兩次，且明確指出 execl 後 printf(""done"") 不會執行",""
"4","1578","S117","hello hello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"5","1530","S093","輸出2個hello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"6","1564","S012","hellohello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"7","1498","S108","two times of hello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"8","2066","S099","hello","0","錯誤：fork() 後應有兩個 process 各輸出一次 hello，僅輸出一次不正確",""
"9","1568","S070","hellohello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"10","1616","S080","hello","0","錯誤：fork() 後應有兩個 process 各輸出一次 hello，僅輸出一次不正確",""
"11","1539","S003","hello hello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"12","1510","S035","print hello two times","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"13","1531","S037","兩個process分別echo hello","2","正確：說明兩個 process 分別 echo hello，隱含 execl 取代、done 不執行",""
"14","1520","S096","hello","0","錯誤：fork() 後應有兩個 process 各輸出一次 hello，僅輸出一次不正確",""
"15","1554","S013","hello","0","錯誤：fork() 後應有兩個 process 各輸出一次 hello，僅輸出一次不正確",""
"16","1600","S040","output hello in two line","1","部分正確：hello 輸出兩行（兩次）正確，但未提及 done 不會被印出",""
"17","1580","S124","It prints ""hello"" 2 times","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"18","1641","S121","It prints 2 times : hello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"19","6747","S068","hellow hellow done","0","錯誤：done 實際上不會被印出（execl 取代 process）",""
"20","1464","S102","print hello 2 times","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"21","1787","S034","fork(): generate child process; excel():transfer function to print ""hello"", and final print ""done"".","0","錯誤：execl 取代 process image，printf(""done"") 不會執行",""
"22","5435","S084","2次hello跟2次的done","0","錯誤：done 實際上不會被印出（execl 取代 process）",""
"23","1779","S079","parent 和children的process or function都會被改成echo and terminate, after that the system will print done.","0","錯誤：execl 取代 process image 後 process 終止，done 不會被印出",""
"24","1445","S122","done","0","錯誤：execl 取代 process image，printf(""done"") 不會執行；應輸出兩次 hello",""
"25","1521","S086","hello hello done done","0","錯誤：done 實際上不會被印出（execl 取代 process）",""
"26","1545","S052","print out : hellodone","0","錯誤：done 實際上不會被印出（execl 取代 process）",""
"27","1552","S033","done","0","錯誤：execl 取代 process image，printf(""done"") 不會執行；應輸出兩次 hello",""
"28","1594","S123","none","0","錯誤：fork() 後兩個 process 各自執行 execl，應輸出兩次 hello",""
"29","1532","S027","hello hello","1","部分正確：hello 輸出兩次正確，但未提及 done 不會被印出",""
"30","1463","S081","echo hello done","0","錯誤：done 實際上不會被印出（execl 取代 process）",""
