"index","exam_answer_id","username","original_score","original_feedback"
"1","14537","S109","2.0","Has server down and request message lost, but 'client is down after sending a request' is not one of the three exceptions."
"2","10956","S015","0.0","Off-topic: describes parameter passing issues (pointer, unbounded array, global variable), not message exchange exceptions."
"3","13780","S054","3.0",""
"4","10910","S117","3.0",""
"5","13478","S093","3.0",""
"6","10866","S012","3.0",""
"7","15063","S108","3.0",""
"8","10902","S099","3.0",""
"9","10861","S070","3.0",""
"10","10855","S003","3.0",""
"11","10858","S035","3.0",""
"12","11031","S037","3.0",""
"13","10922","S097","3.0",""
"14","15221","S013","3.0",""
"15","11006","S040","3.0",""
"16","10991","S124","2.5","Has Lost reply and Lost request, but 'Server not found' is not a standard exception. Missing SerCrash."
"17","11082","S121","3.0",""
"18","10874","S068","3.0",""
"19","10853","S102","3.0",""
"20","14600","S034","3.0",""
"21","10891","S084","3.0",""
"22","16176","S079","0.0","Off-topic: describes distributed system goals (transparency, scalability, fault tolerance), not message exchange exceptions."
"23","14039","S122","3.0",""
"24","10854","S052","3.0",""
"25","10906","S033","2.0","Only lists 'message lost' (does not distinguish request vs response) and 'server crash' — missing one distinct exception."
"26","10863","S027","3.0",""
"27","15279","S081","0.0","Off-topic: 'redundant concurrency' is not one of the three fundamental exceptions."
"28","10923","S008","3.0",""
"29","14208","S078","3.0",""
"30","10862","S087","3.0",""
"31","12398","S022","1.0","Only lists 'Server lost'; incomplete answer — missing two exceptions."
"32","11603","S110","3.0",""
"33","10878","S082","3.0",""
"34","10873","S105","3.0",""
"35","10857","S111","3.0",""
"36","10913","S085","3.0",""
"37","10984","S004","3.0",""
"38","15491","S046","3.0",""
"39","13153","S005","3.0",""
"40","15041","S014","0.0","Nonsensical answer (RARA, RRA, RR) — no meaningful content."
"41","10889","S107","3.0",""
"42","12294","S017","3.0",""
"43","11235","S115","2.5","Lists Lost response and System crash, but 'Lost reply' duplicates response lost; missing request lost."
"44","11095","S089","3.0",""
"45","10919","S041","0.0","Off-topic: describes parameter passing issues (pointer, unbounded array, global variable), not message exchange exceptions."
"46","12601","S031","3.0",""
"47","10917","S116","3.0",""
"48","10881","S059","3.0",""
"49","10920","S101","3.0",""
"50","10914","S103","3.0",""
"51","16043","S104","3.0",""
"52","16130","S023","0.0","Off-topic: describes parameter passing issues (pointer, unbounded array, variable arguments), not message exchange exceptions."
"53","10850","S113","3.0",""
"54","10897","S055","0.0","Off-topic: describes parameter passing issues (pointer, unbounded array/parameters), not message exchange exceptions."
"55","12796","S119","3.0",""
"56","10907","S067","3.0",""
"57","16141","S076","3.0",""
"58","13237","S074","1.5","Only 'Message loss' matches; 'Process/Node failure' and 'Time out/Performance failure' are not among the three fundamental exceptions."
"59","15298","S063","0.0","Off-topic: describes client-server communication flow (passive server, active client), not the three exception types."
"60","11382","S090","3.0",""
"61","12347","S100","3.0",""
"62","10869","S114","3.0",""
"63","10890","S038","2.5","Has request lost and server crash, but 'client crash after receive the reply' is not one of the three exceptions."
"64","10945","S047","3.0",""
"65","11251","S044","3.0",""
"66","10870","S075","0.0","Off-topic: describes parameter passing issues (pointer, global variables, unbounded array), not message exchange exceptions."
"67","10868","S030","3.0",""
"68","10912","S106","3.0",""
"69","16000","S019","3.0",""
"70","14227","S020","3.0",""
"71","11012","S010","3.0",""
"72","10900","S091","3.0",""
"73","10867","S051","3.0",""
"74","14093","S039","3.0",""
"75","10888","S018","3.0",""
"76","10939","S049","3.0",""
"77","10918","S053","3.0",""
"78","10871","S092","3.0",""
"79","10894","S125","3.0",""
"80","13198","S021","0.0","Answer is just '.' — no meaningful content."
"81","15807","S050","3.0",""
"82","14187","S036","3.0",""
"83","10893","S048","3.0",""
"84","14832","S112","3.0",""
"85","10899","S006","2.5","Contains correct concepts (request lost, response lost, server crash) but also incorrect items (client crashed, can't locate server)."
"86","10995","S057","0.0","Off-topic: describes general client-server characteristics (resource sharing), not the three exception types."
"87","13282","S002","3.0",""
"88","10943","S007","3.0",""
"89","11945","S118","3.0",""
"90","12477","S016","3.0",""
"91","11068","S083","3.0",""
"92","10872","S088","3.0",""
"93","16105","S058","0.5","Lists only 'request, reply' — these are message types, not exceptions. Missing all three."
"94","16082","S043","3.0",""
"95","10852","S060","3.0",""
"96","10856","S024","3.0",""
"97","10880","S095","3.0",""
"98","11011","S077","3.0",""
"99","14527","S120","0.0","Off-topic: describes parameter passing/marshalling issues (pointer, memory address, array), not message exchange exceptions."
"100","10987","S069","3.0",""
"101","10860","S072","3.0",""
"102","10851","S042","3.0",""
"103","10993","S071","3.0",""
"104","10999","S062","3.0",""
"105","10876","S045","3.0",""
"106","11403","S056","3.0",""
"107","11049","S128","0.0","Off-topic: answers about Master-Slave, Event-driven, Pub/sub architecture, not the three exceptions."
"108","10916","S029","1.0","Describes generic communication failures (client didn't send, server didn't receive), not the three fundamental exceptions (LostReq, LostResp, SerCrash)."
"109","13524","S065","3.0",""
"110","11000","S098","3.0",""
