"index","exam_answer_id","username","answer_text","score","reason","synced"
"1","2832","S109","progress, bounded waiting, mutual exclusive","3","三項皆有列出，概念正確。",""
"2","3030","S015","1. mutual exclusive: at most 1 process could be in critical section at a given time.
2. progress: When a process isn't in critical section, it must execute.
3. finite waiting: the time a process waits for entering should be finite.","3","互斥、進展、有限等待皆正確。",""
"3","4209","S117","no preemption: 原子操作，cs中的操作一次執行完不能被打斷
mutual excution: 一次只有一個process可以進入cs
hold and wait: 等待正在cs裡的process結束cs部分，才能access","1","只有互斥正確；其餘兩項不屬於本題三要件。",""
"4","3185","S093","mutual exclusion, bounded waiting, progress","3","三項條件完整且正確。",""
"5","3951","S012","1. 有限等待
2. 有progress
3. 同時間只有一個process能進入CS","3","三項條件都提到，語意正確。",""
"6","4785","S108","bounded waiting: 等待的 process 等待的時間必須為有限的
mutual exclution: 不可以同時有兩個 process 進入 critical section
離開 critical section 的 process 不能再有 lock 的控制權","2","有互斥與有限等待，但缺少進展。",""
"7","6550","S099","1. 
2. 
3.","0","未作答。",""
"8","5963","S070","1.lock
2.progress
3.unlock","1","僅有進展概念較明確，其餘不是題目三要件。",""
"9","4653","S080","must not considered the amount of process, it should be suitable of all kinds of resource compete.
","0","內容偏題，未回答三個條件。",""
"10","5789","S003","The whole section should be done in once.","0","僅有模糊描述，未對應三個必要條件。",""
"11","3686","S035","1. mutual exclusion : no two or more thread can be in the critical section simultaneously.
2. progress :  when no thread in the critical section, the next thread want to enter the critical section should be decided in finite time.
3. bounded waiting : no one should wait the resource or lock forever","3","三項條件皆正確。",""
"12","4542","S037","mutual exclusion, progress, atomic","2","有互斥與進展，但 atomic 不是本題三要件。",""
"13","6335","S096","- obtaining/releasing a resource should be an atomic operation, i.e. there can't be a race condition during resource obtaining/releasing
- only threads/processes holding the resource can enter the critical section, other processes should busy wait or sleep
- resource releasing order must be in the reverse order of resource obtaining order","1","有提到只有持有資源者可進入，接近互斥；其餘未答到。",""
"14","4553","S013","Lock, wait, and no one can always stay inside Critical Section.","1","僅能勉強對應到有限等待的概念，其餘不完整。",""
"15","4242","S040","mutual exclusive: only one process/thread can in critical section at the same time
progress: no process outside critical section can avoid other outside process enter critical section
: os should deside which process to enter critical section in limit time","2","有互斥與進展的意思，但第三點未明確對應有限等待。",""
"16","3962","S124","No process outside the CS can be blocking to a process inside it
If a CS is free, a process that wants to access it needs to be able to do so in a finite time 
There can only be one process executing a CS at one time ","2","有互斥與進展，但缺少有限等待。",""
"17","3273","S121","- Mutual exlclusion : only one thread is allowed to be in the critical section
- Progress
- Waiting bounded : a thread which is waiting to enter in the critical section should not be waiting forever","3","三項條件皆正確。",""
"18","6516","S068","1. 同一時間只能夠有一個或是有限個 process 進入 critical section
2. 如果沒有任何 process 在 critical section 裡面，則需要在有限時間裡面決定哪一個 process 要進入 critical section
3. 假設有 n 個 process 同時發出需要進入 critical section 的請求，則任一個 process 最長所需等待的 process 數量都不可以超過 n-1。","2","有進展與有限等待；互斥寫成有限個可進入，概念不正確。",""
"19","5355","S102","要能確保一次只能有一個在執行
限制時間內至少要有一個能進入執行
要能保證他有完整執行並儲存好結果","2","有互斥與進展，但第三點不是有限等待。",""
"20","6250","S034","1)使用號誌
2)一次只讓一個thread/process進到critical section裡
3)critical section外面沒有thread/process在一直等，只有當critical section裡的做完，才讓下一個進去","2","有互斥與接續進入的概念，但未明確說出有限等待。",""
"21","4086","S084","1. Mutual exclusion : 一次只能有一個人進入。
2. Progress : 不想進入的話也不能阻擋別人進入。
3. Bounded waiting : 有排隊等待的人都一定進的去。","3","三項條件完整且正確。",""
"22","5034","S079","mutual exclusion: there should not be two processes entering CS at the same time
progress: the process running outside CS has no rights to block other process to go into CS; if there is no process in CS then the next process should decide whether to enter it in finite time
bounded waiting: a process should not wait forever to enter CS","3","三項條件完整且正確。",""
"23","6632","S122","排程時間 處理時間 檢查時間 條件判斷","0","內容偏題，未回答三個條件。",""
"24","4151","S052","1. Mutual exclusion(互斥): 不能有兩個以上的thread同時在critical section
2. Progression : 一個thread離開critical section，在有限時間內要趕快讓下一個thread進去critical section
3. Bounded waiting : 每一個thread都不能永遠進不到critical section(不能無限等待)","3","三項條件皆正確。",""
"25","4232","S033","1.不能同時有多個process在critical section處理
2.高priority的process需要優先解決
3.","1","只有互斥正確；第2點不屬於本題三要件。",""
"26","5920","S123","1.mutual exclusive
2.","1","僅有互斥概念，其他未作答。",""
"27","3534","S027","Critical Section 就是一次只有一個process可以進入執行,wait,block,p,v","1","有互斥概念，但未完整說出三項條件。",""
"28","3733","S081","the three requirements for critical section problem
1.  
2.
3.","0","未作答。",""
"29","4291","S008","1. Mutual Exclusive.
2. No process will wait forever.
3. ","2","有互斥與有限等待，但缺少進展。",""
"30","6150","S078","mutual exclusion
can preemption

","1","僅有互斥較明確，其餘不屬於本題三要件。",""
"31","3383","S087","1.mutual exclusion:只能有一個thread進入critical section
2.progress:thread不能防止其他thread進入critical section
3.bounded waiting:每個要進入的thread等待的時間是有限的","3","三項條件皆正確。",""
"32","2997","S022","Mutual exclusion, progress, bounded waiting.","3","三項條件完整且正確。",""
"33","6002","S110","mutual exclusive, only one access to the critical section at the same time
have to choose the next process in the waiting queue to get the lock in finite time
process waiting the lock can't be starvation
","3","三項條件皆正確。",""
"34","6146","S082","1. 每一個process 都能執行到
2. 沒有process 需要無限等待
3. processes 不會同時出現在critical section","3","三項條件皆正確。",""
"35","5231","S105","1. A thread outside the critical section must not block the other threads.
2. Only one thread at a time can enter the critical section.
3. ","2","有進展與互斥，但缺少有限等待。",""
"36","3438","S111","Progress -> 在CS外的process不能阻止其他process進入CS.
Mutual exclusion -> 同時只能有一個process在CS.
Bounded waiting -> 不能有process無止境的在外等待進入CS.","3","三項條件皆正確。",""
"37","3677","S085","不在CS內者不影響其他程式進入CS
限定時間內決定進入CS者
有限等待","3","三項條件皆正確。",""
"38","3510","S004","1.mutual exculsion
2.progress
3.bounded wait","3","三項條件皆正確。",""
"39","6556","S046","１．
２．
３．","0","未作答。",""
"40","4890","S005","1. For any numbers of process all can work.
2. Only one thread access the shared memory in the same time
3. Will not cause deadlock
","1","僅有互斥概念較明確，其餘不完整。",""
"41","6251","S061","starvation
priority inversion
deadline","0","內容偏題，未回答三個條件。",""
"42","6487","S014","preemptive
","0","僅有 preemptive，未說出三項條件。",""
"43","2944","S107","1.mutual exclusion
2.bounded waiting time
3.fairness","2","有互斥與有限等待，但 fairness 不是本題標準敘述。",""
"44","3428","S126","1.互斥:不能有兩格以上的process or thread
2.cs如果是空的，要在有限時間把process or thread丟進去
3.不能有thread永遠都進不去cs","3","三項條件皆正確。",""
"45","5089","S017","1.同一時間只能有一個人進入critical section
2.進入critical section後不能一直完成不了執行(busy waiting和priority inversion)
3.離開critical section時要能夠正常把資源釋放出去","1","只有互斥明確；其餘兩點未對應題目要件。",""
"46","2238","S115","There must be a key. 
When there is no key the critical section cannot be accessed.
The key must be free when a critical section is completed.","1","以 lock/key 比喻互斥概念，但未完整說出三項條件。",""
"47","2641","S089",".","0","未作答。",""
"48","5201","S009","every process has get into critical section at least one time,
no busy waiting occur, ","1","有提到不忙等與每個 process 至少進入一次，但未完整對應三項條件。",""
"49","6647","S066","1. use the lock
2. 硬體上做出區隔","1","僅有 lock/隔離的互斥概念，未完整作答。",""
"50","5817","S041","1.偵測high priority process是否太久沒被執行
2.交換high priority 跟 low priority process 的 priority
3.處理完後復原原本的 priority","0","內容偏題，未回答三個條件。",""
"51","6736","S031","Peterson's Solution  is a software-based solution","0","僅提到解法名稱，未回答三個條件。",""
"52","6003","S116","1.每一個程式最後都會被執行
2.執行後的結果都相同
3.不會出現有兩個程式同時在CS中運行的情況","0","內容偏題，未回答三個條件。",""
"53","4223","S059","1. TLB
2. page
3. frame","0","內容偏題，與本題無關。",""
"54","3636","S101","1. 當一個process執行時，其他process waiting
2. 被共享的資料，一次只開放一個process存取
","1","有互斥概念，但未完整說出三項條件。",""
"55","4982","S103","1. 拿到lock就不能被preempt
2.
3.","1","僅有互斥概念，其他未作答。",""
"56","5900","S104","鎖在誰身上
鎖釋放了沒
下一個拿鎖的是誰","0","僅是鎖的追問式描述，未回答三個條件。",""
"57","6739","S023","Peterson's solution","0","僅提到解法名稱，未回答三個條件。",""
"58","3879","S113","mutual exclusion:一次只能一個thread進入CS
progress:進入CS的thread不能阻止其他thread進入CS
bounded waiting:每個thread不能永無止盡的等待進入CS","3","三項條件皆正確。",""
"59","3893","S055","其CPU scheduling 演算法需要是preemptive 
有LOCK機制
有aging機制","1","僅有 lock 的概念較接近互斥，其餘未答到。",""
"60","6426","S119","1.一個critical section裡面只能有一個process
2.沒有要進去的process不能阻擋要進去critical section 裡面的process
3.從發出request要進去critical section到真正進去critical section要有一個bound time時間限制","3","三項條件完整且正確。",""
"61","4244","S067","Mutual exclusion:同時只能有一個程式進到C.S.裡面

progress: 1.沒有要進到C.S.裡的程式不能阻止其他程式進去 2. 如果C.S.裡面沒有程式必須在有限的時間內決定誰可以進去

bounded-time:想進去C.S.裡的程式要在有限的時間內進去,不能無限等待","3","三項條件皆正確。",""
"62","5311","S076","- Priority Inheritance: Increasing the priority of processes or threads in the critical section to maximum priority until the lock is released.

- Only one process or thread can enter the critical section at any given time.
 ","1","只有互斥正確；其餘兩點不是本題三要件。",""
"63","4778","S074","1. Must acquire the lock
2. The existing process must release the lock.","1","僅有 lock 的進出概念，未完整說出三項條件。",""
"64","5252","S063","Mutual exclusion
Priority inheritance
Hold and wait","1","僅有互斥概念，其餘不屬於本題三要件。",""
"65","5497","S090","1. mutual exclusion: there is at most one process in the critical section at a time.
2. progress: The process that doesn't want to get in critical section can not affect the decision for choosing the process into critical section.
3. bounded waiting: If there is N process, each process wait at most N-1 times and it can enter critical section.","3","三項條件完整且正確。",""
"66","5970","S100","1.  Finite wait.
2. Mutual exclusion
3. ","2","有互斥與有限等待，但缺少進展。",""
"67","3766","S114","1. mutual exclusion : 一次只能有一個process進入自己的critical section
2. progress : 若沒有要進入critical section的process 不能妨礙別的process 進入critical section ， 並且決定哪一個process 可以進入critical section 的時間是有限的
3. Bounded Waiting : process在等待有限的時間內，一定可以進入critical section . ","3","三項條件皆正確。",""
"68","2365","S038","1.bounding waiting
2.progress
3.muture exclution","3","三項條件皆正確。",""
"69","4582","S047","CS 內不可以同時有兩個 process 進入
不可以無限等待 必須確保每個 process 都有機會進入 CS
lock 只能給一個 process 拿著","3","三項條件皆有涵蓋，語意正確。",""
